ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615007,A,Acanthaceae,,Acanthopale,,"albosetulosa",,"","C.B.Clarke",Accepted,,M,WCSP (in review),738878,44815-1,"Fl. Trop. Afr.","5: 64","","1899"
kew-2615011,A,Acanthaceae,,Acanthopale,,"confertiflora",,"","(Lindau) C.B.Clarke",Accepted,,L,WCSP (in review),738882,44819-1,"Fl. Trop. Afr.","5: 64","","1899"
kew-2615013,A,Acanthaceae,,Acanthopale,,"decempedalis",,"","C.B.Clarke",Accepted,,M,WCSP (in review),738884,44821-1,"Fl. Trop. Afr.","5: 63","","1899"
kew-2615016,A,Acanthaceae,,Acanthopale,,"laxiflora",,"","(Lindau) C.B.Clarke",Accepted,,M,WCSP (in review),738887,44824-1,"Fl. Trop. Afr.","5: 63","","1899"
kew-2615017,A,Acanthaceae,,Acanthopale,,"longipilosa",,"","Mildbr. ex Bremek.",Accepted,,M,WCSP (in review),738888,44825-1,"Bot. Jahrb. Syst.","73: 146","","1943"
kew-2606048,A,Acanthaceae,,Acanthopale,,"macrocarpa",,"","Vollesen",Accepted,,M,WCSP (in review),730660,77092225-1,"in Fl. Trop. E. Afr.","Acanth.(1): 218","","2008"
kew-2615018,A,Acanthaceae,,Acanthopale,,"madagascariensis",,"","(Baker) C.B.Clarke ex Bremek.",Accepted,,M,WCSP (in review),738889,44826-1,"Bot. Jahrb. Syst.","73: 143","","1943"
kew-2615020,A,Acanthaceae,,Acanthopale,,"pubescens",,"","(Lindau) C.B.Clarke",Accepted,,M,WCSP (in review),738891,44828-1,"Fl. Trop. Afr.","5: 64","","1899"
kew-2615142,A,Acanthaceae,,Acanthopsis,,"carduifolia",,"","(L.f.) Schinz",Accepted,,M,WCSP (in review),739013,44830-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 200","","1890"
kew-2615144,A,Acanthaceae,,Acanthopsis,,"disperma",,"","Harv.",Accepted,,M,WCSP (in review),739015,44831-1,"London J. Bot.","1: 28","","1842"
kew-2615145,A,Acanthaceae,,Acanthopsis,,"glauca",,"","(E.Mey.) Schinz",Accepted,,M,WCSP (in review),739016,44832-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 201","","1890"
kew-2615146,A,Acanthaceae,,Acanthopsis,,"hoffmannseggiana",,"","(Nees) C.B.Clarke",Accepted,,M,WCSP (in review),739017,44833-1,"Fl. Cap.","5(1): 35","","1912"
kew-2615147,A,Acanthaceae,,Acanthopsis,,"horrida",,"","(Nees) Nees",Accepted,,M,WCSP (in review),739018,44834-1,"Prodr.","11: 278","","1847"
kew-2615148,A,Acanthaceae,,Acanthopsis,,"scullyi",,"","(S.Moore) Oberm.",Accepted,,M,WCSP (in review),739019,44835-1,"Ann. Transvaal Mus.","19: 138","","1937"
kew-2615149,A,Acanthaceae,,Acanthopsis,,"spathularis",,"","(E.Mey.) Schinz",Accepted,,M,WCSP (in review),739020,44837-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 201","","1890"
