ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-13201051,A,Achariaceae,,Buchnerodendron,,"lasiocalyx",,"","(Oliv.) Gilg",Accepted,,M,TRO,13201051,364995-1,"Bot. Jahrb. Syst.","40: 467","467","1908"
tro-50040736,A,Achariaceae,,Caloncoba,,"brevipes",,"","(Stapf) Gilg",Accepted,,M,TRO,50040736,365005-1,"Bot. Jahrb. Syst.","40: 459","459","1908"
tro-13201057,A,Achariaceae,,Caloncoba,,"crepiniana",,"","(De Wild. & T. Durand) Gilg",Accepted,,M,TRO,13201057,365007-1,"Bot. Jahrb. Syst.","40: 460","460","1908"
tro-50040734,A,Achariaceae,,Caloncoba,,"echinata",,"","(Oliv.) Gilg",Accepted,,M,TRO,50040734,365009-1,"Bot. Jahrb. Syst.","40: 464","464","1908"
tro-50040737,A,Achariaceae,,Caloncoba,,"gilgiana",,"","(Sprague) Gilg",Accepted,,M,TRO,50040737,365013-1,"Bot. Jahrb. Syst.","40(3): 460-461","460","1908"
tro-13201043,A,Achariaceae,,Caloncoba,,"glauca",,"","(P. Beauv.) Gilg",Accepted,,M,TRO,13201043,365014-1,"Bot. Jahrb. Syst.","40: 459","459","1908"
tro-13201107,A,Achariaceae,,Caloncoba,,"lophocarpa",,"","(Oliv.) Gilg",Accepted,,M,TRO,13201107,365018-1,"Bot. Jahrb. Syst.","40: 462","462","1908"
tro-13200948,A,Achariaceae,,Caloncoba,,"welwitschii",,"","(Oliv.) Gilg",Accepted,,M,TRO,13200948,365023-1,"Bot. Jahrb. Syst.","40: 462","462","1908"
tro-13200949,A,Achariaceae,,Camptostylus,,"mannii",,"","(Oliv.) Gilg",Accepted,,M,TRO,13200949,365027-1,"Nat. Pflanzenfam.","21: 398","398","1925"
tro-13201108,A,Achariaceae,,Camptostylus,,"ovalis",,"","(Oliv.) Chipp",Accepted,,M,TRO,13201108,365028-1,"Bull. Misc. Inform. Kew","1923: 266","266","1923"
tro-13201115,A,Achariaceae,,Carpotroche,,"brasiliensis",,"","(Raddi) A. Gray",Accepted,,M,TRO,13201115,,"U.S. Expl. Exp., Atlas Phan.","1: 72","72","1854"
tro-50150694,A,Achariaceae,,Carpotroche,,"crispidentata",,"","Ducke",Accepted,,M,TRO,50150694,47692-2,"Arq. Inst. Biol. Veg.","4: 55","55","1938"
tro-13200071,A,Achariaceae,,Carpotroche,,"grandiflora",,"","Spruce ex Benth.",Accepted,,M,TRO,13200071,,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 81","81","1861"
tro-13200448,A,Achariaceae,,Carpotroche,,"longifolia",,"","(Poepp.) Benth.",Accepted,,M,TRO,13200448,111511-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 82","82","1861"
tro-13201138,A,Achariaceae,,Carpotroche,,"pacifica",,"","(Cuatrec.) Cuatrec.",Accepted,,M,TRO,13201138,47701-2,"Trop. Woods","101: 28","28","1955"
