ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617232,A,Achatocarpaceae,,Achatocarpus,,"balansae",,"","Schinz & Autran",Accepted,,M,WCSP (in review),741104,2257-2,"Bull. Herb. Boissier","1: 6","","1893"
kew-2617234,A,Achatocarpaceae,,Achatocarpus,,"brasiliensis",,"","H.Walter",Accepted,,M,WCSP (in review),741106,2259-2,"Pflanzenr.","IV, 83: 138","","1909"
kew-2617235,A,Achatocarpaceae,,Achatocarpus,,"brevipedicellatus",,"","H.Walter",Accepted,,M,WCSP (in review),741107,2260-2,"Pflanzenr.","IV, 83: 138","","1909"
kew-2617236,A,Achatocarpaceae,,Achatocarpus,,"gracilis",,"","H.Walter",Accepted,,M,WCSP (in review),741108,2261-2,"Pflanzenr.","IV, 83: 137","","1909"
kew-2617237,A,Achatocarpaceae,,Achatocarpus,,"hasslerianus",,"","Heimerl",Accepted,,M,WCSP (in review),741109,2262-2,"Verh. K. K. Zool.-Bot. Ges. Wien","62: 14","","1912"
kew-2617239,A,Achatocarpaceae,,Achatocarpus,,"microcarpus",,"","Schinz & Autran",Accepted,,M,WCSP (in review),741111,2264-2,"Bull. Herb. Boissier","1: 8","","1893"
kew-2617242,A,Achatocarpaceae,,Achatocarpus,,"nigricans",,"","Triana",Accepted,,M,WCSP (in review),741114,58636-1,"Ann. Sci. Nat., Bot.","IV, 9: 46","","1858"
kew-2617243,A,Achatocarpaceae,,Achatocarpus,,"oaxacanus",,"","Standl.",Accepted,,M,WCSP (in review),741115,2267-2,"Contr. U. S. Natl. Herb.","23: 264","","1922"
kew-2617245,A,Achatocarpaceae,,Achatocarpus,,"praecox",,"","Griseb.",Accepted,,M,WCSP (in review),741117,58638-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 32","","1879"
kew-2617246,A,Achatocarpaceae,,Achatocarpus,,"praecox",var.,"bicornutus","(Schinz & Autran) Botta",Accepted,,L,WCSP (in review),741118,953917-1,"in Fl. Illustr. Entre Ríos","3: 223","","1987"
kew-2617247,A,Achatocarpaceae,,Achatocarpus,,"praecox",f.,"obovatus","(Schinz & Autran) Hauman",Accepted,,L,WCSP (in review),741119,2270-2,"Anales Mus. Nac. Hist. Nat. Buenos Aires","24: 506","","1913"
kew-2617248,A,Achatocarpaceae,,Achatocarpus,,"praecox",f.,"spinulosus","(Griseb.) Hauman",Accepted,,L,WCSP (in review),741120,2269-2,"Anales Mus. Nac. Hist. Nat. Buenos Aires","24: 505","","1913"
kew-2617249,A,Achatocarpaceae,,Achatocarpus,,"pubescens",,"","C.H.Wright",Accepted,,M,WCSP (in review),741121,2271-2,"Bull. Misc. Inform. Kew","1906: 6","","1906"
tro-24800178,A,Achatocarpaceae,,Phaulothamnus,,"spinescens",,"","A. Gray",Accepted,,M,TRO,24800178,327318-2,"Proc. Amer. Acad. Arts","20: 294","294","1885"
