ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623230,A,Adoxaceae,,Adoxa,,"moschatellina",,"","L.",Accepted,,M,WCSP (in review),747087,148240-1,"Sp. Pl.","367","","1753"
kew-2623238,A,Adoxaceae,,Adoxa,,"xizangensis",,"","G.Yao",Accepted,,M,WCSP (in review),747095,961129-1,"Acta Phytotax. Sin.","30: 179","","1992"
tro-6000746,A,Adoxaceae,,Sambucus,,"adnata",,"","Wall. ex DC.",Accepted,,M,TRO,6000746,,"Prodr.","4: 322","322","1830"
tro-50044259,A,Adoxaceae,,Sambucus,,"australasica",,"","(Lindl.) Fritsch",Accepted,,M,TRO,50044259,149294-1,"Nat. Pflanzenfam.","4(4): 162","162","1891"
tro-6000522,A,Adoxaceae,,Sambucus,,"australis",,"","Cham. & Schltdl.",Accepted,,M,TRO,6000522,149295-1,"Linnaea","3: 140","140","1828"
kew-2486578,A,Adoxaceae,,Sambucus,,"canadensis",,"","L.",Accepted,,M,WCSP (in review),614339,321978-2,"Sp. Pl.","269","","1753"
tro-6000749,A,Adoxaceae,,Sambucus,,"chinensis",,"","Lindl.",Accepted,,M,TRO,6000749,149306-1,"Trans. Hort. Soc. London","6: 297","297","1826"
tro-6000026,A,Adoxaceae,,Sambucus,,"nigra",,"","L.",Accepted,,M,TRO,6000026,30122169-2,"Sp. Pl.","1: 269-270","269","1753"
tro-50233828,A,Adoxaceae,,Sambucus,,"nigra",var.,"cerulea","(Raf.) B.L. Turner",Accepted,,L,TRO,50233828,,"Atlas Vasc. Pl. Texas","6","6","2003"
tro-50111472,A,Adoxaceae,,Sambucus,,"nigra",subsp.,"maderensis","(Lowe) Bolli",Accepted,,L,TRO,50111472,978602-1,"Diss. Bot.","223: 164","164","1994"
tro-50111474,A,Adoxaceae,,Sambucus,,"nigra",subsp.,"palmensis","(Link) Bolli",Accepted,,L,TRO,50111474,978603-1,"Diss. Bot.","223: 167","167","1994"
kew-2486547,A,Adoxaceae,,Sambucus,,"pubens",,"","Michx.",Accepted,,M,WCSP (in review),614308,227191-2,"Fl. Bor.-Amer.","1: 181","","1803"
tro-6000382,A,Adoxaceae,,Sambucus,,"pubens",f.,"xanthocarpa","(Cockerell) Fernald",Accepted,,L,TRO,6000382,227203-2,"Rhodora","35: 310","310","1933"
tro-6000029,A,Adoxaceae,,Sambucus,,"racemosa",,"","L.",Accepted,,M,TRO,6000029,30056767-2,"Sp. Pl.","1: 270","270","1753"
tro-50325331,A,Adoxaceae,,Sambucus,,"racemosa",subsp.,"arborescens","(Torr. & A. Gray) A.E. Murray",Accepted,,L,TRO,50325331,227206-2,"Kalmia","13: 31","31","1983"
tro-50316523,A,Adoxaceae,,Sambucus,,"racemosa",var.,"callicarpa","(Greene) Jeps.",Accepted,,L,TRO,50316523,227207-2,"Fl. W. Calif.","471","471","1901"
tro-6000330,A,Adoxaceae,,Sambucus,,"racemosa",f.,"calva","(Fernald) Scoggan",Accepted,,L,TRO,6000330,227208-2,"Fl. Canada","1: 52","52","1978"
tro-6000329,A,Adoxaceae,,Sambucus,,"racemosa",f.,"dissecta","(Britton) Scoggan",Accepted,,L,TRO,6000329,227210-2,"Fl. Canada","1: 52","52","1978"
tro-6000152,A,Adoxaceae,,Sambucus,,"racemosa",var.,"leucocarpa","(Torr. & A. Gray) Cronquist",Accepted,,L,TRO,6000152,227215-2,"Fl. Pacific Northwest","452","452","1973"
tro-6000284,A,Adoxaceae,,Sambucus,,"racemosa",var.,"melanocarpa","(A. Gray) McMinn",Accepted,,L,TRO,6000284,227217-2,"Man. Calif. Shrubs","529","529","1939"
tro-6000153,A,Adoxaceae,,Sambucus,,"racemosa",var.,"microbotrys","(Rydb.) Kearney & Peebles",Accepted,,L,TRO,6000153,227218-2,"J. Wash. Acad. Sci.","29(11): 492","492","1939"
tro-6000327,A,Adoxaceae,,Sambucus,,"racemosa",f.,"rosaeflora","(Carrière) Scoggan",Accepted,,L,TRO,6000327,227223-2,"Fl. Canada","1: 52","52","1978"
kew-2485197,A,Adoxaceae,,Sambucus,,"sibirica",,"","Nakai",Accepted,,M,WCSP (in review),612964,149392-1,"Bot. Mag. (Tokyo)","40: 478","","1926"
tro-50044265,A,Adoxaceae,,Sambucus,,"sieboldiana",,"","(Miq.) Blume ex Graebn.",Accepted,,M,TRO,50044265,,"Bot. Jahrb. Syst.","29(5): 584","584","1901"
tro-6000500,A,Adoxaceae,,Sambucus,,"sieboldiana",var.,"pinnatisecta","G.Y. Luo & P.H. Huang",Accepted,,L,TRO,6000500,,"Bull. Bot. Res., Harbin","7(2): 147-148, pl. 1","147","1987"
tro-6000520,A,Adoxaceae,,Sambucus,,"williamsii",,"","Hance",Accepted,,M,TRO,6000520,149409-1,"Ann. Sci. Nat., Bot., sér. 4","5: 217","217","1866"
tro-6000755,A,Adoxaceae,,Sambucus,,"williamsii",var.,"miquelii","(Nakai) Y.C. Tang",Accepted,,L,TRO,6000755,,"Fl. Reipubl. Popularis Sin.","72: 11","11","1988"
tro-6000754,A,Adoxaceae,,Sambucus,,"williamsii",var.,"williamsii","",Accepted,,L,TRO,6000754,,"","","",""
tro-50002199,A,Adoxaceae,,Sinadoxa,,"corydalifolia",,"","C.Y. Wu, Z.L. Wu & R.F. Huang",Accepted,,M,TRO,50002199,898738-1,"Acta Phytotax. Sin.","19(2): 208, pl. 2","208","1981"
