ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620135,A,Aizoaceae,,Acrodon,,"bellidiflorus",,"","(L.) N.E.Br.",Accepted,,L,WCSP (in review),744003,360442-1,"Gard. Chron.","III, 82: 12","","1927"
kew-2620136,A,Aizoaceae,,Acrodon,,"deminutus",,"","Klak",Accepted,,M,WCSP (in review),744004,60432192-2,"Bradleya","21: 118","","2003"
kew-2620137,A,Aizoaceae,,Acrodon,,"duplessiae",,"","(Bolus) Glen",Accepted,,M,WCSP (in review),744005,943389-1,"Bothalia","16: 217","","1986"
kew-2620138,A,Aizoaceae,,Acrodon,,"leptophyllus",,"","(Bolus) Glen",Accepted,,M,WCSP (in review),744006,943390-1,"Bothalia","16: 217","","1986"
kew-2620139,A,Aizoaceae,,Acrodon,,"parvifolius",,"","du Plessis",Accepted,,M,WCSP (in review),744007,57113-1,"Notes Mesembryanthemum","3: 386","","1958"
kew-2620140,A,Aizoaceae,,Acrodon,,"purpureostylus",,"","(L.Bolus) Burgoyne",Accepted,,M,WCSP (in review),744008,1003963-1,"Aloe","35: 61","","1998"
kew-2620141,A,Aizoaceae,,Acrodon,,"quarcicola",,"","H.E.K.Hartmann",Accepted,,M,WCSP (in review),744009,991977-1,"Bradleya","14: 33","","1996"
kew-2620142,A,Aizoaceae,,Acrodon,,"subulatus",,"","(Haw.) N.E.Br.",Accepted,,M,WCSP (in review),744010,360443-1,"J. Bot.","66: 77","","1928"
kew-2620374,A,Aizoaceae,,Acrosanthes,,"anceps",,"","(Thunb.) Sond.",Accepted,,M,WCSP (in review),744242,360444-1,"Fl. Cap.","2: 472","","1862"
kew-2620375,A,Aizoaceae,,Acrosanthes,,"angustifolia",,"","Eckl. & Zeyh.",Accepted,,M,WCSP (in review),744243,360445-1,"Enum. Pl. Afric. Austral","329","","1837"
kew-2620376,A,Aizoaceae,,Acrosanthes,,"decandra",,"","Fenzl",Accepted,,M,WCSP (in review),744244,360446-1,"Ann. Wiener Mus. Naturgesch.","2: 270","","1838"
kew-2620378,A,Aizoaceae,,Acrosanthes,,"humifusa",,"","(Thunb.) Sond.",Accepted,,M,WCSP (in review),744246,360448-1,"Fl. Cap.","2: 472","","1862"
kew-2620379,A,Aizoaceae,,Acrosanthes,,"microphylla",,"","Adamson",Accepted,,M,WCSP (in review),744247,57114-1,"J. S. African Bot.","25: 26","","1958"
kew-2620380,A,Aizoaceae,,Acrosanthes,,"teretifolia",,"","Eckl. & Zeyh.",Accepted,,M,WCSP (in review),744248,360449-1,"Enum. Pl. Afric. Austral","329","","1837"
kew-2624642,A,Aizoaceae,,Aethephyllum,,"pinnatifidum",,"","(L.f.) N.E.Br.",Accepted,,M,WCSP (in review),748497,360461-1,"Möller's Deutsche Gärtn.-Zeitung","43: 400","","1928"
kew-2626997,A,Aizoaceae,,Aizoanthemum,,"dinteri",,"","(Schinz) Friedrich",Accepted,,M,WCSP (in review),750823,360465-1,"Mitt. Bot. Staatssamml. München","2: 344","","1957"
kew-2626998,A,Aizoaceae,,Aizoanthemum,,"galenioides",,"","(Fenzl) Friedrich",Accepted,,M,WCSP (in review),750824,57117-1,"Mitt. Bot. Staatssamml. München","2: 344","","1957"
