ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-294467,A,Alismataceae,,Albidella,,"nymphaeifolia",,"","(Griseb.) Pichon",Accepted,,H,WCSP,294467,8012-2,"Notul. Syst. (Paris)","12: 175","","1946"
kew-294765,A,Alismataceae,,Alisma,×,"bjoerkqvistii",,"","Tzvelev",Accepted,,H,WCSP,294765,,"Novosti Sist. Vyssh. Rast.","15: 17","","1979"
kew-294771,A,Alismataceae,,Alisma,,"canaliculatum",,"","A.Braun & C.D.Bouché",Accepted,,H,WCSP,294771,58186-1,"Index Seminum (B)","1867(App.): 4","","1867"
kew-294793,A,Alismataceae,,Alisma,,"gramineum",,"","Lej.",Accepted,,H,WCSP,294793,77097302-1,"Fl. Spa","1: 175","","1811"
tro-900178,A,Alismataceae,,Alisma,,"gramineum",var.,"graminifolia","(Wahlenb.) Hendricks",Accepted,,L,TRO,900178,8482-2,"Amer. Midl. Naturalist","58(2): 487","487","1957"
kew-294811,A,Alismataceae,,Alisma,×,"juzepczukii",,"","Tzvelev",Accepted,,H,WCSP,294811,58214-1,"Novosti Sist. Vyssh. Rast.","15: 16","","1979"
kew-294813,A,Alismataceae,,Alisma,,"lanceolatum",,"","With.",Accepted,,H,WCSP,294813,1047073-2,"Bot. Arr. Brit. Pl. ed. 3","2: 362","","1796"
kew-294824,A,Alismataceae,,Alisma,,"nanum",,"","D.F.Cui",Accepted,,H,WCSP,294824,968412-1,"Bull. Bot. Res., Harbin","12: 369","","1992"
kew-294841,A,Alismataceae,,Alisma,,"plantago-aquatica",,"","L.",Accepted,,H,WCSP,294841,30019518-2,"Sp. Pl.","342","","1753"
kew-294847,A,Alismataceae,,Alisma,,"plantago-aquatica",subsp.,"orientale","(Sam.) Sam.",Accepted,,L,WCSP,294847,60444562-2,"Ark. Bot.","24A(7): 16","","1932"
kew-310645,A,Alismataceae,,Alisma,,"plantago-aquatica",subsp.,"plantago-aquatica","",Accepted,,L,WCSP,310645,,"Unknown","","",""
kew-294857,A,Alismataceae,,Alisma,×,"rhicnocarpum",,"","Schotsman",Accepted,,H,WCSP,294857,58252-1,"Ned. Kruidk. Arch.","56: 202","","1949"
kew-294869,A,Alismataceae,,Alisma,,"subcordatum",,"","Raf.",Accepted,,H,WCSP,294869,8509-2,"Med. Repos.","5: 362","","1808"
kew-294876,A,Alismataceae,,Alisma,,"triviale",,"","Pursh",Accepted,,H,WCSP,294876,8516-2,"Fl. Amer. Sept.","1: 252","","1813"
