ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-298176,A,Alstroemeriaceae,,Alstroemeria,,"achirae",,"","Muñoz Schick & Brinck",Accepted,,H,WCSP,298176,321505-2,"Gayana, Bot.","57: 56","","2000"
kew-456249,A,Alstroemeriaceae,,Alstroemeria,,"albescens",,"","M.C.Assis",Accepted,,H,WCSP,456249,60452452-2,"Novon","19: 145","","2009"
kew-298180,A,Alstroemeriaceae,,Alstroemeria,,"altoparadisea",,"","Ravenna",Accepted,,H,WCSP,298180,330366-2,"Onira","5: 17","","2000"
kew-309261,A,Alstroemeriaceae,,Alstroemeria,,"amabilis",,"","M.C.Assis",Accepted,,H,WCSP,309261,329281-2,"Acta Bot. Brasil.","17: 180","","2003"
kew-298181,A,Alstroemeriaceae,,Alstroemeria,,"amazonica",,"","Ducke",Accepted,,H,WCSP,298181,10157-2,"Arch. Jard. Bot. Rio de Janeiro","1: 12","","1915"
kew-298185,A,Alstroemeriaceae,,Alstroemeria,,"andina",,"","Phil.",Accepted,,H,WCSP,298185,62450-1,"Linnaea","29: 69","","1858"
kew-298186,A,Alstroemeriaceae,,Alstroemeria,,"andina",subsp.,"venustula","(Phil.) Ehr.Bayer",Accepted,,L,WCSP,298186,954069-1,"Gatt. Alstr. Chile","81","","1986 publ. 1987"
kew-298187,A,Alstroemeriaceae,,Alstroemeria,,"angustifolia",,"","Herb.",Accepted,,H,WCSP,298187,271989-2,"Amaryllidaceae","96","","1837"
kew-311147,A,Alstroemeriaceae,,Alstroemeria,,"angustifolia",subsp.,"angustifolia","",Accepted,,L,WCSP,311147,,"Unknown","","",""
kew-298188,A,Alstroemeriaceae,,Alstroemeria,,"angustifolia",subsp.,"velutina","Ehr.Bayer",Accepted,,L,WCSP,298188,950193-1,"Gatt. Alstr. Chile","202","","1986 publ. 1987"
kew-298189,A,Alstroemeriaceae,,Alstroemeria,,"annapolina",,"","Ravenna",Accepted,,H,WCSP,298189,330368-2,"Onira","5: 18","","2000"
kew-298190,A,Alstroemeriaceae,,Alstroemeria,,"apertiflora",,"","Baker",Accepted,,H,WCSP,298190,10162-2,"Handb. Amaryll.","135","","1888"
kew-298191,A,Alstroemeriaceae,,Alstroemeria,,"aquidauanica",,"","Ravenna",Accepted,,H,WCSP,298191,330403-2,"Onira","5: 35","","2000"
kew-298194,A,Alstroemeriaceae,,Alstroemeria,,"arnicana",,"","Ravenna",Accepted,,H,WCSP,298194,330404-2,"Onira","5: 36","","2000"
kew-298196,A,Alstroemeriaceae,,Alstroemeria,,"aulica",,"","Ravenna",Accepted,,H,WCSP,298196,330459-2,"Onira","4: 41","","2000"
