ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617471,A,Amaranthaceae,,Achyranthes,,"arborescens",,"","R.Br.",Accepted,,M,WCSP (in review),741343,58659-1,"Prodr. Fl. Nov. Holl.","417","","1810"
kew-2617475,A,Amaranthaceae,,Achyranthes,,"aspera",,"","L.",Accepted,,M,WCSP (in review),741347,2468-2,"Sp. Pl.","204","","1753"
kew-2617481,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"borbonica","(Willd. ex Schult.) C.C.Towns.",Accepted,,L,WCSP (in review),741353,874075-1,"Kew Bull.","29: 474","","1974"
kew-2617484,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"indica","L.",Accepted,,L,WCSP (in review),741356,2469-2,"Sp. Pl.","204","","1753"
kew-2617487,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"porphyristachya","(Wall. ex Moq.) Hook.f.",Accepted,,L,WCSP (in review),741359,1219846-2,"Fl. Brit. India","4: 730","","1885"
kew-2617489,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"pubescens","(Moq.) M.Gómez",Accepted,,L,WCSP (in review),741361,1197256-2,"Noc. Bot. Sist.","58","","1893"
kew-2617493,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"rubrofusca","(Wight) Hook.f.",Accepted,,L,WCSP (in review),741365,1013105-2,"Fl. Brit. India","4: 730","","1885"
kew-2617494,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"sicula","L.",Accepted,,L,WCSP (in review),741366,326789-2,"Sp. Pl.","204","","1753"
kew-2617498,A,Amaranthaceae,,Achyranthes,,"aspera",var.,"velutina","(Hook. & Arn.) C.C.Towns.",Accepted,,L,WCSP (in review),741370,874077-1,"Kew Bull.","29: 473","","1974"
kew-2617516,A,Amaranthaceae,,Achyranthes,,"bidentata",,"","Blume",Accepted,,M,WCSP (in review),741388,58678-1,"Bijdr.","545","","1826"
kew-2617552,A,Amaranthaceae,,Achyranthes,,"diandra",,"","Roxb.",Accepted,,M,WCSP (in review),741424,58713-1,"Fl. Ind.","2: 504","","1824"
kew-2617564,A,Amaranthaceae,,Achyranthes,,"fasciculata",,"","(Suess.) C.C.Towns.",Accepted,,M,WCSP (in review),741436,58725-1,"Kew Bull.","34: 424","","1980"
kew-2617636,A,Amaranthaceae,,Achyranthes,,"mangarevica",,"","Suess.",Accepted,,M,WCSP (in review),741508,58799-1,"Occas. Pap. Bernice Pauahi Bishop Mus.","12(2): 3","","1936"
kew-2617637,A,Amaranthaceae,,Achyranthes,,"marchionica",,"","F.Br.",Accepted,,M,WCSP (in review),741509,58800-1,"Bernice P. Bishop Mus. Bull.","130: 70","","1935"
kew-2617638,A,Amaranthaceae,,Achyranthes,,"margaretarum",,"","de Lange",Accepted,,M,WCSP (in review),741510,20006236-1,"New Zealand J. Bot.","39: 3","","2001"
kew-2617658,A,Amaranthaceae,,Achyranthes,,"mutica",,"","A.Gray ex H.Mann",Accepted,,M,WCSP (in review),741530,58819-1,"Proc. Amer. Acad. Arts","7: 2","","1867"
kew-2617755,A,Amaranthaceae,,Achyranthes,,"splendens",,"","Mart. ex Moq.",Accepted,,M,WCSP (in review),741629,58928-1,"Prodr.","13(2): 316","","1849"
kew-2617756,A,Amaranthaceae,,Achyranthes,,"splendens",var.,"atollensis","(H.St.John) Govaerts",Accepted,,L,WCSP (in review),741630,982672-1,"World Checklist Seed Pl.","1(1): 6","","1994"
kew-2617757,A,Amaranthaceae,,Achyranthes,,"splendens",var.,"reflexa","Hillebr.",Accepted,,L,WCSP (in review),741631,,"Fl. Hawaiian Isl.","371","","1888"
kew-2617763,A,Amaranthaceae,,Achyranthes,,"talbotii",,"","Hutch. & Dalziel",Accepted,,M,WCSP (in review),741637,58932-1,"Fl. W. Trop. Afr.","1: 127","","1927"
kew-2617964,A,Amaranthaceae,,Achyropsis,,"avicularis",,"","(E.Mey. ex Moq.) Benth. & Hook.f. ex B.D.Jacks.",Accepted,,M,WCSP (in review),741957,,"Index Kew.","1: 27","","1893"
kew-2617966,A,Amaranthaceae,,Achyropsis,,"filifolia",,"","C.C.Towns.",Accepted,,M,WCSP (in review),741959,58973-1,"Kew Bull.","34: 431","","1980"
kew-2617967,A,Amaranthaceae,,Achyropsis,,"fruticulosa",,"","C.B.Clarke",Accepted,,M,WCSP (in review),741960,58974-1,"Fl. Trop. Afr.","6(1): 66","","1909"
