ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-293461,A,Amaryllidaceae,,Acis,,"autumnalis",,"","(L.) Sweet",Accepted,,H,WCSP,293461,77084799-1,"Brit. Fl. Gard.","3: t. 297","","1829"
kew-309231,A,Amaryllidaceae,,Acis,,"fabrei",,"","(Quézel & Girerd) Lledó, A.P.Davis & M.B.Crespo",Accepted,,H,WCSP,309231,60436223-2,"Pl. Syst. Evol.","246: 241","","2004"
kew-345661,A,Amaryllidaceae,,Acis,,"ionica",,"","Bareka, Kamari & Phitos",Accepted,,H,WCSP,345661,77075736-1,"Willdenowia","36: 360","","2006"
kew-293464,A,Amaryllidaceae,,Acis,,"longifolia",,"","J.Gay ex M.Roem.",Accepted,,H,WCSP,293464,61789-1,"Fam. Nat. Syn. Monogr.","4: 25","","1847"
kew-309233,A,Amaryllidaceae,,Acis,,"nicaeensis",,"","(Ardoino) Lledó, A.P.Davis & M.B.Crespo",Accepted,,H,WCSP,309233,60436224-2,"Pl. Syst. Evol.","246: 241","","2004"
kew-293467,A,Amaryllidaceae,,Acis,,"rosea",,"","(F.Martin bis) Sweet",Accepted,,H,WCSP,293467,61792-1,"Brit. Fl. Gard.","3: t. 297","","1829"
kew-309234,A,Amaryllidaceae,,Acis,,"tingitana",,"","(Baker) Lledó, A.P.Davis & M.B.Crespo",Accepted,,H,WCSP,309234,60436219-2,"Pl. Syst. Evol.","246: 241","","2004"
kew-309235,A,Amaryllidaceae,,Acis,,"trichophylla",,"","G.Don",Accepted,,H,WCSP,309235,77062615-1,"Hort. Brit.","475","","1830"
kew-309238,A,Amaryllidaceae,,Acis,,"valentina",,"","(Pau) Lledó, A.P.Davis & M.B.Crespo",Accepted,,H,WCSP,309238,60436225-2,"Pl. Syst. Evol.","246: 241","","2004"
kew-293521,A,Amaryllidaceae,,Agapanthus,,"africanus",,"","(L.) Hoffmanns.",Accepted,,H,WCSP,293521,527258-1,"Verz. Pfl.-Kult.","35","","1824"
