ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50144568,A,Anacardiaceae,,Abrahamia,,"buxifolia",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50144568,,"","","",""
tro-50297886,A,Anacardiaceae,,Abrahamia,,"deflexa",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297886,,"","","",""
tro-50296416,A,Anacardiaceae,,Abrahamia,,"ditimena",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50296416,,"","","",""
tro-50297887,A,Anacardiaceae,,Abrahamia,,"grandidieri",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50297887,,"","","",""
tro-50297888,A,Anacardiaceae,,Abrahamia,,"humbertii",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297888,,"","","",""
tro-50297889,A,Anacardiaceae,,Abrahamia,,"ibityensis",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297889,,"","","",""
tro-50147284,A,Anacardiaceae,,Abrahamia,,"latifolia",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50147284,,"","","",""
tro-50297890,A,Anacardiaceae,,Abrahamia,,"lecomtei",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297890,,"","","",""
tro-50297894,A,Anacardiaceae,,Abrahamia,,"louvelii",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297894,,"","","",""
tro-50297896,A,Anacardiaceae,,Abrahamia,,"nitida",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50297896,,"","","",""
tro-50297897,A,Anacardiaceae,,Abrahamia,,"oblongifolia",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50297897,,"","","",""
tro-50297898,A,Anacardiaceae,,Abrahamia,,"pauciflora",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50297898,,"","","",""
tro-50297901,A,Anacardiaceae,,Abrahamia,,"sericea",,"","(Engl.) Randrianasolo & Lowry",Accepted,,M,TRO,50297901,,"","","",""
tro-50147282,A,Anacardiaceae,,Abrahamia,,"thouvenotii",,"","(Lecomte) Randrianasolo & Lowry",Accepted,,M,TRO,50147282,,"","","",""
tro-50297903,A,Anacardiaceae,,Abrahamia,,"viguieri",,"","(H. Perrier) Randrianasolo & Lowry",Accepted,,M,TRO,50297903,,"","","",""
