ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-219771,A,Anarthriaceae,,Anarthria,,"gracilis",,"","R.Br.",Accepted,,H,WCSP,219771,715694-1,"Prodr. Fl. Nov. Holl.","249","","1810"
kew-219774,A,Anarthriaceae,,Anarthria,,"humilis",,"","Nees",Accepted,,H,WCSP,219774,715697-1,"Ann. Mag. Nat. Hist.","6: 50","","1841"
kew-219776,A,Anarthriaceae,,Anarthria,,"laevis",,"","R.Br.",Accepted,,H,WCSP,219776,715699-1,"Prodr. Fl. Nov. Holl.","249","","1810"
kew-219778,A,Anarthriaceae,,Anarthria,,"polyphylla",,"","Nees",Accepted,,H,WCSP,219778,715701-1,"Pl. Preiss.","2: 63","","1846"
kew-219779,A,Anarthriaceae,,Anarthria,,"prolifera",,"","R.Br.",Accepted,,H,WCSP,219779,715702-1,"Prodr. Fl. Nov. Holl.","249","","1810"
kew-219780,A,Anarthriaceae,,Anarthria,,"scabra",,"","R.Br.",Accepted,,H,WCSP,219780,715703-1,"Prodr. Fl. Nov. Holl.","249","","1810"
kew-249252,A,Anarthriaceae,,Hopkinsia,,"adscendens",,"","B.G.Briggs & L.A.S.Johnson",Accepted,,H,WCSP,249252,1015622-1,"Telopea","8: 487","","2000"
kew-249253,A,Anarthriaceae,,Hopkinsia,,"anoectocolea",,"","(F.Muell.) D.F.Cutler",Accepted,,H,WCSP,249253,715886-1,"Kew Bull.","21: 61","","1967"
kew-252709,A,Anarthriaceae,,Lyginia,,"barbata",,"","R.Br.",Accepted,,H,WCSP,252709,716078-1,"Prodr. Fl. Nov. Holl.","248","","1810"
kew-252710,A,Anarthriaceae,,Lyginia,,"excelsa",,"","B.G.Briggs & L.A.S.Johnson",Accepted,,H,WCSP,252710,1015624-1,"Telopea","8: 497","","2000"
kew-252711,A,Anarthriaceae,,Lyginia,,"imberbis",,"","R.Br.",Accepted,,H,WCSP,252711,716079-1,"Prodr. Fl. Nov. Holl.","248","","1810"
