ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-8752,A,Ancistrocladaceae,,Ancistrocladus,,"abbreviatus",,"","Airy Shaw",Accepted,,H,WCSP,8752,71934-1,"Kew Bull.","4: 67","","1949"
kew-329755,A,Ancistrocladaceae,,Ancistrocladus,,"abbreviatus",subsp.,"lateralis","Gereau",Accepted,,L,WCSP,329755,,"Ann. Missouri Bot. Gard.","92: 373","","2005"
kew-8753,A,Ancistrocladaceae,,Ancistrocladus,,"attenuatus",,"","Dyer",Accepted,,H,WCSP,8753,320526-1,"Fl. Brit. India","1: 300","","1874"
kew-8754,A,Ancistrocladaceae,,Ancistrocladus,,"barteri",,"","Scott-Elliot",Accepted,,H,WCSP,8754,320527-1,"J. Linn. Soc., Bot.","30: 73","","1894"
kew-343567,A,Ancistrocladaceae,,Ancistrocladus,,"benomensis",,"","Rischer & G.Bringmann",Accepted,,H,WCSP,343567,77069559-1,"Blumea","50: 359","","2005"
kew-8758,A,Ancistrocladaceae,,Ancistrocladus,,"congolensis",,"","J.Léonard",Accepted,,H,WCSP,8758,71937-1,"Bull. Soc. Roy. Bot. Belgique","82: 33","","1949"
kew-8759,A,Ancistrocladaceae,,Ancistrocladus,,"ealaensis",,"","J.Léonard",Accepted,,H,WCSP,8759,71938-1,"Bull. Soc. Roy. Bot. Belgique","82: 30","","1949"
kew-8761,A,Ancistrocladaceae,,Ancistrocladus,,"grandiflorus",,"","Cheek",Accepted,,H,WCSP,8761,1017492-1,"Kew Bull.","55: 878","","2000"
kew-8762,A,Ancistrocladaceae,,Ancistrocladus,,"griffithii",,"","Planch.",Accepted,,H,WCSP,8762,320530-1,"Ann. Sci. Nat., Bot.","III, 13: 318","","1849"
kew-8763,A,Ancistrocladaceae,,Ancistrocladus,,"guineensis",,"","Oliv.",Accepted,,H,WCSP,8763,320531-1,"Fl. Trop. Afr.","1: 175","","1868"
kew-8765,A,Ancistrocladaceae,,Ancistrocladus,,"hamatus",,"","(Vahl) Gilg",Accepted,,H,WCSP,8765,320532-1,"Nat. Pflanzenfam.","3(6): 276","","1895"
kew-8767,A,Ancistrocladaceae,,Ancistrocladus,,"heyneanus",,"","Wall. ex J.Graham",Accepted,,H,WCSP,8767,71944-1,"Cat. Pl. Bombay","28","","1839"
kew-8768,A,Ancistrocladaceae,,Ancistrocladus,,"korupensis",,"","D.W.Thomas & Gereau",Accepted,,H,WCSP,8768,975426-1,"Novon","3: 494","","1993"
kew-8769,A,Ancistrocladaceae,,Ancistrocladus,,"le-testui",,"","Pellegr.",Accepted,,H,WCSP,8769,71945-1,"Bull. Soc. Bot. France","98: 18","","1951"
kew-8770,A,Ancistrocladaceae,,Ancistrocladus,,"likoko",,"","J.Léonard",Accepted,,H,WCSP,8770,71946-1,"Bull. Soc. Roy. Bot. Belgique","82: 34","","1949"
kew-8771,A,Ancistrocladaceae,,Ancistrocladus,,"pachyrrhachis",,"","Airy Shaw",Accepted,,H,WCSP,8771,71947-1,"Kew Bull.","5: 149","","1950"
kew-8774,A,Ancistrocladaceae,,Ancistrocladus,,"robertsoniorum",,"","J.Léonard",Accepted,,H,WCSP,8774,903511-1,"Bull. Jard. Bot. Natl. Belg.","54: 466","","1984"
kew-8777,A,Ancistrocladaceae,,Ancistrocladus,,"tanzaniensis",,"","Cheek & Frimodt-Møller",Accepted,,H,WCSP,8777,1013853-1,"Kew Bull.","55: 207","","2000"
kew-8778,A,Ancistrocladaceae,,Ancistrocladus,,"tectorius",,"","(Lour.) Merr.",Accepted,,H,WCSP,8778,71950-1,"Lingnan Sci. J.","6: 329","","1928 publ. 1930"
kew-8780,A,Ancistrocladaceae,,Ancistrocladus,,"uncinatus",,"","Hutch. & Dalziel",Accepted,,H,WCSP,8780,71951-1,"Fl. W. Trop. Afr.","1: 196","","1927"
kew-8782,A,Ancistrocladaceae,,Ancistrocladus,,"wallichii",,"","Planch.",Accepted,,H,WCSP,8782,320540-1,"Ann. Sci. Nat., Bot.","III, 13: 319","","1849"
