ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618011,A,Apiaceae,,Aciphylla,,"anomala",,"","Allan",Accepted,,M,WCSP (in review),742004,837195-1,"Fl. N. Zeal.","1: 479","","1961"
kew-2618013,A,Apiaceae,,Aciphylla,,"aurea",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742006,837197-1,"Trans. Roy. Soc. New Zealand","84: 15","","1956"
kew-2618015,A,Apiaceae,,Aciphylla,,"colensoi",,"","Hook.f.",Accepted,,M,WCSP (in review),742008,837199-1,"Handb. N. Zeal. Fl.","92","","1864"
kew-2618018,A,Apiaceae,,Aciphylla,,"congesta",,"","Cheeseman",Accepted,,M,WCSP (in review),742011,837200-1,"Trans. & Proc. New Zealand Inst.","47: 44","","1914 publ. 1915"
kew-2618019,A,Apiaceae,,Aciphylla,,"crenulata",,"","J.B.Armstr.",Accepted,,M,WCSP (in review),742012,837201-1,"Trans. & Proc. New Zealand Inst.","13: 336","","1881"
kew-2618020,A,Apiaceae,,Aciphylla,,"crosby-smithii",,"","Petrie",Accepted,,M,WCSP (in review),742013,837202-1,"Trans. & Proc. New Zealand Inst.","47: 48","","1914 publ. 1915"
kew-2618021,A,Apiaceae,,Aciphylla,,"cuthbertiana",,"","Petrie",Accepted,,M,WCSP (in review),742014,837204-1,"Trans. & Proc. New Zealand Inst.","47: 48","","1914 publ. 1915"
kew-2618023,A,Apiaceae,,Aciphylla,,"dieffenbachii",,"","(F.Muell.) Kirk",Accepted,,M,WCSP (in review),742016,837205-1,"Stud. Fl. New Zealand","211","","1899"
kew-2618024,A,Apiaceae,,Aciphylla,,"dissecta",,"","(Kirk) W.R.B.Oliv.",Accepted,,L,WCSP (in review),742017,837206-1,"Trans. Roy. Soc. New Zealand","84: 9","","1956"
kew-2618025,A,Apiaceae,,Aciphylla,,"divisa",,"","Cheeseman",Accepted,,M,WCSP (in review),742018,837207-1,"Trans. & Proc. New Zealand Inst.","54: 568","","1923"
kew-2618026,A,Apiaceae,,Aciphylla,,"dobsonii",,"","Hook.f.",Accepted,,M,WCSP (in review),742019,837208-1,"Handb. N. Zeal. Fl.","93","","1864"
kew-2618027,A,Apiaceae,,Aciphylla,,"ferox",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742020,837209-1,"Trans. Roy. Soc. New Zealand","84: 17","","1956"
kew-2618029,A,Apiaceae,,Aciphylla,,"flexuosa",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742022,837211-1,"Trans. Roy. Soc. New Zealand","84: 6","","1956"
kew-2618030,A,Apiaceae,,Aciphylla,,"glacialis",,"","(F.Muell.) Benth.",Accepted,,M,WCSP (in review),742023,837212-1,"Fl. Austral.","3: 375","","1867"
kew-2618031,A,Apiaceae,,Aciphylla,,"glaucescens",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742024,837213-1,"Trans. Roy. Soc. New Zealand","84: 13","","1956"
kew-2618032,A,Apiaceae,,Aciphylla,,"gracilis",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742025,837214-1,"Trans. Roy. Soc. New Zealand","84: 10","","1956"
kew-2618033,A,Apiaceae,,Aciphylla,,"hectori",,"","Buchanan",Accepted,,M,WCSP (in review),742026,837215-1,"Trans. & Proc. New Zealand Inst.","14: 346","","1882"
kew-2618034,A,Apiaceae,,Aciphylla,,"hookeri",,"","Kirk",Accepted,,M,WCSP (in review),742027,837216-1,"Stud. Fl. New Zealand","209","","1899"
kew-2618035,A,Apiaceae,,Aciphylla,,"horrida",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742028,837217-1,"Trans. Roy. Soc. New Zealand","84: 17","","1956"
kew-2618036,A,Apiaceae,,Aciphylla,,"indurata",,"","Cheeseman",Accepted,,M,WCSP (in review),742029,837218-1,"Trans. & Proc. New Zealand Inst.","47: 40","","1914 publ. 1915"
kew-2618037,A,Apiaceae,,Aciphylla,,"inermis",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742030,837219-1,"Trans. Roy. Soc. New Zealand","84: 14","","1956"
kew-2618040,A,Apiaceae,,Aciphylla,,"kirkii",,"","Buchanan",Accepted,,M,WCSP (in review),742033,837222-1,"Trans. & Proc. New Zealand Inst.","19: 214","","1886 publ. 1887"
kew-2618041,A,Apiaceae,,Aciphylla,,"latibracteata",,"","W.R.B.Oliv.",Accepted,,M,WCSP (in review),742034,837223-1,"Trans. Roy. Soc. New Zealand","84: 15","","1956"
kew-2618042,A,Apiaceae,,Aciphylla,,"lecomtei",,"","J.W.Dawson",Accepted,,M,WCSP (in review),742035,837224-1,"New Zealand J. Bot.","17: 343","","1979"
kew-2618043,A,Apiaceae,,Aciphylla,,"leighii",,"","Allan",Accepted,,M,WCSP (in review),742036,837225-1,"Trans. & Proc. Roy. Soc. New Zealand","69: 270","","1939"
kew-2618044,A,Apiaceae,,Aciphylla,,"lyallii",,"","Hook.f.",Accepted,,M,WCSP (in review),742037,837226-1,"Handb. N. Zeal. Fl.","92","","1864"
kew-2618046,A,Apiaceae,,Aciphylla,,"monroi",,"","Hook.f.",Accepted,,M,WCSP (in review),742039,837227-1,"Fl. Nov.-Zel.","2: 330","","1855"
kew-2618047,A,Apiaceae,,Aciphylla,,"montana",,"","J.B.Armstr.",Accepted,,M,WCSP (in review),742040,837228-1,"Trans. & Proc. New Zealand Inst.","4: 290","","1872"
kew-2618049,A,Apiaceae,,Aciphylla,,"multisecta",,"","Cheeseman",Accepted,,M,WCSP (in review),742042,837229-1,"Trans. & Proc. New Zealand Inst.","47: 43","","1914 publ. 1915"
kew-2618051,A,Apiaceae,,Aciphylla,,"pinnatifida",,"","Petrie",Accepted,,M,WCSP (in review),742044,837231-1,"Trans. & Proc. New Zealand Inst.","43: 254","","1910 publ. 1911"
kew-2618052,A,Apiaceae,,Aciphylla,,"polita",,"","(Kirk) Cheeseman",Accepted,,L,WCSP (in review),742045,837232-1,"Man. New Zealand Fl.","213","","1906"
kew-2618053,A,Apiaceae,,Aciphylla,,"poppelwellii",,"","Petrie",Accepted,,M,WCSP (in review),742046,837233-1,"Trans. & Proc. New Zealand Inst.","53: 369","","1921"
kew-2618055,A,Apiaceae,,Aciphylla,,"scott-thomsonii",,"","Cockayne & Allan",Accepted,,M,WCSP (in review),742048,837235-1,"Trans. & Proc. New Zealand Inst.","57: 48","","1927"
kew-2618056,A,Apiaceae,,Aciphylla,,"similis",,"","Cheeseman",Accepted,,M,WCSP (in review),742049,837236-1,"Trans. & Proc. New Zealand Inst.","47: 42","","1914 publ. 1915"
kew-2618057,A,Apiaceae,,Aciphylla,,"simplex",,"","Petrie",Accepted,,M,WCSP (in review),742050,837237-1,"Trans. & Proc. New Zealand Inst.","22: 440","","1889 publ. 1890"
kew-2618058,A,Apiaceae,,Aciphylla,,"simplicifolia",,"","(F.Muell.) Benth.",Accepted,,M,WCSP (in review),742051,837238-1,"Fl. Austral.","3: 375","","1867"
