ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-117,A,Apocynaceae,,Absolmsia,,"spartioides",,"","(Benth.) Kuntze",Accepted,,L,WCSP,117,93836-1,"Revis. Gen. Pl.","2: 418","","1891"
kew-2160,A,Apocynaceae,,Acokanthera,,"laevigata",,"","Kupicha",Accepted,,H,WCSP,2160,899079-1,"Kew Bull.","37: 58","","1982"
kew-2164,A,Apocynaceae,,Acokanthera,,"oblongifolia",,"","(Hochst.) Benth. & Hook.f. ex B.D.Jacks.",Accepted,,H,WCSP,2164,,"Index Kew.","2: 1262","","1895"
kew-2165,A,Apocynaceae,,Acokanthera,,"oppositifolia",,"","(Lam.) Codd",Accepted,,H,WCSP,2165,76349-1,"Bothalia","7: 448","","1961"
kew-2169,A,Apocynaceae,,Acokanthera,,"rotundata",,"","(Codd) Kupicha",Accepted,,H,WCSP,2169,909903-1,"Kew Bull.","37: 60","","1982"
kew-2171,A,Apocynaceae,,Acokanthera,,"schimperi",,"","(A.DC.) Schweinf.",Accepted,,H,WCSP,2171,60447729-2,"Bol. Soc. Afr. Ital.","10(11-12): 11","","1891"
kew-2621186,A,Apocynaceae,,Adelostemma,,"gracillimum",,"","(Wall. ex Wight) Hook.f.",Accepted,,M,WCSP (in review),745049,93879-1,"Hooker's Icon. Pl.","15: 22","","1883"
kew-3021,A,Apocynaceae,,Adenium,,"boehmianum",,"","Schinz",Accepted,,H,WCSP,3021,76360-1,"Verh. Bot. Vereins Prov. Brandenburg","30: 259","","1888"
kew-3027,A,Apocynaceae,,Adenium,,"multiflorum",,"","Klotzsch",Accepted,,H,WCSP,3027,76366-1,"Naturw. Reise Mossambique","6: 279","","1861"
kew-3030,A,Apocynaceae,,Adenium,,"obesum",,"","(Forssk.) Roem. & Schult.",Accepted,,H,WCSP,3030,76369-1,"Syst. Veg.","4: 411","","1819"
kew-3038,A,Apocynaceae,,Adenium,,"oleifolium",,"","Stapf",Accepted,,H,WCSP,3038,76370-1,"Bull. Misc. Inform. Kew","1907: 53","","1907"
kew-3046,A,Apocynaceae,,Adenium,,"swazicum",,"","Stapf",Accepted,,H,WCSP,3046,76374-1,"Bull. Misc. Inform. Kew","1907: 53","","1907"
kew-4396,A,Apocynaceae,,Aganonerion,,"polymorphum",,"","Spire",Accepted,,H,WCSP,4396,,"Contr. Apocyn.","43","","1905"
kew-4403,A,Apocynaceae,,Aganosma,,"breviloba",,"","Kerr",Accepted,,H,WCSP,4403,76383-1,"Bull. Misc. Inform. Kew","1937: 92","","1937"
kew-4408,A,Apocynaceae,,Aganosma,,"cymosa",,"","(Roxb.) G.Don",Accepted,,H,WCSP,4408,76388-1,"Gen. Hist.","4: 77","","1837"
kew-4410,A,Apocynaceae,,Aganosma,,"cymosa",var.,"cymosa","",Accepted,,L,WCSP,4410,,"Unknown","","",""
kew-4411,A,Apocynaceae,,Aganosma,,"cymosa",var.,"elegans","(G.Don) Hook.f.",Accepted,,L,WCSP,4411,,"Fl. Brit. India","3: 665","","1882"
kew-4417,A,Apocynaceae,,Aganosma,,"gracilis",,"","Hook.f.",Accepted,,H,WCSP,4417,76394-1,"Fl. Brit. India","3: 664","","1882"
kew-316895,A,Apocynaceae,,Aganosma,,"heynei",,"","(Spreng.) ined.",Accepted,,H,WCSP,316895,,"Unknown","","",""
kew-4422,A,Apocynaceae,,Aganosma,,"lacei",,"","Raizada",Accepted,,H,WCSP,4422,76399-1,"Indian Forester","68: 363","","1942"
kew-4430,A,Apocynaceae,,Aganosma,,"petelotii",,"","Lý",Accepted,,H,WCSP,4430,896856-1,"Feddes Repert.","92: 628","","1981"
kew-4434,A,Apocynaceae,,Aganosma,,"schlechteriana",,"","H.Lév.",Accepted,,H,WCSP,4434,76410-1,"Repert. Spec. Nov. Regni Veg.","9: 325","","1911"
kew-4437,A,Apocynaceae,,Aganosma,,"siamensis",,"","Craib",Accepted,,H,WCSP,4437,76411-1,"Bull. Misc. Inform. Kew","1915: 433","","1915"
kew-4439,A,Apocynaceae,,Aganosma,,"wallichii",,"","G.Don",Accepted,,H,WCSP,4439,76413-1,"Gen. Hist.","4: 77","","1837"
kew-5463,A,Apocynaceae,,Alafia,,"alba",,"","Pichon",Accepted,,H,WCSP,5463,76416-1,"Notul. Syst. (Paris)","13: 210","","1948"
kew-5464,A,Apocynaceae,,Alafia,,"barteri",,"","Oliv.",Accepted,,H,WCSP,5464,76417-1,"Hooker's Icon. Pl.","20: 1992","","1891"
kew-5465,A,Apocynaceae,,Alafia,,"benthamii",,"","(Baill.) Stapf",Accepted,,H,WCSP,5465,76418-1,"Fl. Trop. Afr.","4(1): 199","","1902"
tro-1805150,A,Apocynaceae,,Alafia,,"benthamii",var.,"mediafra","Pichon",Accepted,,L,TRO,1805150,,"","","",""
kew-5467,A,Apocynaceae,,Alafia,,"berrieri",,"","Jum.",Accepted,,H,WCSP,5467,,"Ann. Inst. Bot.-Géol. Colon. Marseille","II, 5: 346","","1907"
kew-5469,A,Apocynaceae,,Alafia,,"calophylla",,"","Pichon",Accepted,,H,WCSP,5469,76421-1,"Notul. Syst. (Paris)","13: 211","","1948"
kew-5470,A,Apocynaceae,,Alafia,,"caudata",,"","Stapf",Accepted,,H,WCSP,5470,76422-1,"Bull. Misc. Inform. Kew","1894: 123","","1894"
kew-5477,A,Apocynaceae,,Alafia,,"erythrophthalma",,"","(K.Schum.) Leeuwenb.",Accepted,,H,WCSP,5477,991376-1,"Novon","6: 271","","1996"
kew-5478,A,Apocynaceae,,Alafia,,"falcata",,"","Leeuwenb.",Accepted,,H,WCSP,5478,991377-1,"Novon","6: 271","","1996"
kew-5479,A,Apocynaceae,,Alafia,,"fuscata",,"","Pichon",Accepted,,H,WCSP,5479,76427-1,"Notul. Syst. (Paris)","13: 210","","1948"
kew-5483,A,Apocynaceae,,Alafia,,"insularis",,"","Pichon",Accepted,,H,WCSP,5483,76431-1,"Bull. Jard. Bot. État","24: 149","","1954"
kew-5484,A,Apocynaceae,,Alafia,,"intermedia",,"","Pichon",Accepted,,H,WCSP,5484,76432-1,"Notul. Syst. (Paris)","13: 210","","1948"
kew-5488,A,Apocynaceae,,Alafia,,"lucida",,"","Stapf",Accepted,,H,WCSP,5488,76437-1,"Bull. Misc. Inform. Kew","1894: 122","","1894"
kew-5493,A,Apocynaceae,,Alafia,,"microstylis",,"","K.Schum.",Accepted,,H,WCSP,5493,76441-1,"Bot. Jahrb. Syst.","23: 230","","1896"
kew-5496,A,Apocynaceae,,Alafia,,"multiflora",,"","(Stapf) Stapf",Accepted,,H,WCSP,5496,76446-1,"Bull. Misc. Inform. Kew","1908: 303","","1908"
kew-5497,A,Apocynaceae,,Alafia,,"nigrescens",,"","Pichon",Accepted,,H,WCSP,5497,76447-1,"Bull. Jard. Bot. État","24: 148","","1954"
kew-5498,A,Apocynaceae,,Alafia,,"orientalis",,"","K.Schum. ex De Wild.",Accepted,,H,WCSP,5498,,"Not. Apocyn. Latic. Congo","1: 15","","1903"
kew-5499,A,Apocynaceae,,Alafia,,"parciflora",,"","Stapf",Accepted,,H,WCSP,5499,76449-1,"Fl. Trop. Afr.","4(1): 610","","1904"
kew-5501,A,Apocynaceae,,Alafia,,"pauciflora",,"","Radlk.",Accepted,,H,WCSP,5501,76451-1,"Abh. Naturwiss. Vereine Bremen","8: 403","","1883"
kew-5502,A,Apocynaceae,,Alafia,,"perrieri",,"","Jum.",Accepted,,H,WCSP,5502,76452-1,"Ann. Inst. Bot.-Géol. Colon. Marseille","II, 5: 346","","1907"
kew-5503,A,Apocynaceae,,Alafia,,"perrieri",var.,"parvifolia","(Pichon) Markgr.",Accepted,,L,WCSP,5503,874268-1,"Adansonia","n.s., 12: 591","","1972 publ. 1973"
kew-5504,A,Apocynaceae,,Alafia,,"perrieri",var.,"perrieri","",Accepted,,L,WCSP,5504,,"Unknown","","",""
kew-5507,A,Apocynaceae,,Alafia,,"scandens",,"","(Thonn.) De Wild.",Accepted,,H,WCSP,5507,76455-1,"Not. Apocyn. Latic. Congo","15","","1903"
kew-5508,A,Apocynaceae,,Alafia,,"schumannii",,"","Stapf",Accepted,,H,WCSP,5508,76456-1,"Fl. Trop. Afr.","4(1): 17","","1902"
kew-5510,A,Apocynaceae,,Alafia,,"thouarsii",,"","Roem. & Schult.",Accepted,,H,WCSP,5510,76459-1,"Syst. Veg.","4: 436","","1819"
kew-5512,A,Apocynaceae,,Alafia,,"vallium",,"","Pichon",Accepted,,H,WCSP,5512,76461-1,"Bull. Jard. Bot. État","24: 201","","1954"
kew-5513,A,Apocynaceae,,Alafia,,"velutina",,"","Leeuwenb.",Accepted,,H,WCSP,5513,991378-1,"Novon","6: 271","","1996"
kew-5515,A,Apocynaceae,,Alafia,,"verschuerenii",,"","De Wild.",Accepted,,H,WCSP,5515,76464-1,"Bull. Jard. Bot. État","5: 101","","1915"
kew-5516,A,Apocynaceae,,Alafia,,"whytei",,"","Stapf",Accepted,,H,WCSP,5516,76463-1,"Fl. Trop. Afr.","4(1): 610","","1904"
kew-5517,A,Apocynaceae,,Alafia,,"zambesiaca",,"","Kupicha",Accepted,,H,WCSP,5517,896867-1,"Bull. Jard. Bot. Natl. Belg.","51: 153","","1981"
kew-6152,A,Apocynaceae,,Allamanda,,"angustifolia",,"","Pohl",Accepted,,H,WCSP,6152,76466-1,"Pl. Bras. Icon. Descr.","1: 73","","1827"
kew-6154,A,Apocynaceae,,Allamanda,,"blanchetii",,"","A.DC.",Accepted,,H,WCSP,6154,76468-1,"Prodr.","8: 319","","1844"
kew-456207,A,Apocynaceae,,Allamanda,,"calcicola",,"","Souza-Silva & Rapini",Accepted,,H,WCSP,456207,77098650-1,"Kew Bull.","64: 171","","2009"
