ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2644242,A,Apodanthaceae,,Apodanthes,,"caseariae",,"","Poit.",Accepted,,M,WCSP (in review),767908,316017-1,"Ann. Sci. Nat. (Paris)","3: 422","","1824"
kew-2644246,A,Apodanthaceae,,Apodanthes,,"minarum",,"","Vattimo",Accepted,,M,WCSP (in review),767912,895958-1,"Revista Brasil. Biol.","33: 140","","1973"
kew-2644247,A,Apodanthaceae,,Apodanthes,,"panamensis",,"","Vattimo",Accepted,,M,WCSP (in review),767913,895959-1,"Revista Brasil. Biol.","33: 140","","1973"
kew-2644250,A,Apodanthaceae,,Apodanthes,,"surinamensis",,"","Pulle",Accepted,,M,WCSP (in review),767916,16718-2,"Recueil Trav. Bot. Néerl.","6: 259","","1909"
kew-2644251,A,Apodanthaceae,,Apodanthes,,"tribracteata",,"","Rusby",Accepted,,M,WCSP (in review),767917,16719-2,"Descr. S. Amer. Pl.","15","","1920"
kew-2675019,A,Apodanthaceae,,Berlinianche,,"aethiopica",,"","(Welw.) Vattimo",Accepted,,M,WCSP (in review),798478,707060-1,"Taxon","4: 212","","1955"
kew-2675020,A,Apodanthaceae,,Berlinianche,,"holtzii",,"","(Engl.) Vattimo",Accepted,,M,WCSP (in review),798479,707061-1,"Taxon","4: 212","","1955"
kew-2544456,A,Apodanthaceae,,Pilostyles,,"berteroi",,"","Guill.",Accepted,,M,WCSP (in review),671486,316057-1,"Ann. Sci. Nat., Bot.","II, 2: 21","","1834"
tro-27000001,A,Apodanthaceae,,Pilostyles,,"blanchetii",,"","(Gardner) R. Br.",Accepted,,M,TRO,27000001,,"Trans. Linn. Soc. London","19: 247","247","1845"
tro-50158822,A,Apodanthaceae,,Pilostyles,,"calliandrae",,"","(Gardner) R. Br.",Accepted,,L,TRO,50158822,,"Trans. Linn. Soc. London","247","247","1845"
kew-2544459,A,Apodanthaceae,,Pilostyles,,"caulotreti",,"","(H.Karst.) Hook.f.",Accepted,,M,WCSP (in review),671489,316060-1,"Prodr.","17: 116","","1873"
tro-27000034,A,Apodanthaceae,,Pilostyles,,"ingae",,"","(H. Karst.) Hook. f.",Accepted,,M,TRO,27000034,316063-1,"Prodr.","17: 116","116","1873"
tro-27000016,A,Apodanthaceae,,Pilostyles,,"mexicana",,"","(Brandegee) Rose",Accepted,,L,TRO,27000016,196778-2,"Contr. U.S. Natl. Herb.","12(7): 264","264","1909"
tro-50158397,A,Apodanthaceae,,Pilostyles,,"pringlei",,"","(S. Watson ex B.L. Rob.) Rose",Accepted,,L,TRO,50158397,707080-1,"Contr. U.S. Natl. Herb.","12(7): 264","264","1909"
tro-50158399,A,Apodanthaceae,,Pilostyles,,"sessilis",,"","Rose",Accepted,,M,TRO,50158399,196781-2,"Contr. U.S. Natl. Herb.","12(7): 264, f. 23","264","1909"
kew-2544442,A,Apodanthaceae,,Pilostyles,,"stawiarskii",,"","Vattimo-Gil",Accepted,,M,WCSP (in review),671472,196782-2,"Revista Brasil. Biol.","10: 196","","1950"
tro-27000004,A,Apodanthaceae,,Pilostyles,,"thurberi",,"","A. Gray",Accepted,,M,TRO,27000004,316065-1,"Pl. Nov. Thurb.","326-327","326","1854"
tro-50188207,A,Apodanthaceae,,Pilostyles,,"ulei",,"","Solms",Accepted,,M,TRO,50188207,707083-1,"Organogr. Pfl. (ed. 2)","1: 434, f. 292","434","1900"
