ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-299922,A,Aponogetonaceae,,Aponogeton,,"abyssinicus",,"","Hochst. ex A.Rich.",Accepted,,H,WCSP,299922,602839-1,"Tent. Fl. Abyss.","2: 351","","1850"
kew-299927,A,Aponogetonaceae,,Aponogeton,,"afroviolaceus",,"","Lye",Accepted,,H,WCSP,299927,82930-1,"Bot. Not.","129: 68","","1976"
kew-299930,A,Aponogetonaceae,,Aponogeton,,"angustifolius",,"","Aiton",Accepted,,H,WCSP,299930,602840-1,"Hort. Kew.","1: 45","","1789"
kew-299931,A,Aponogetonaceae,,Aponogeton,,"appendiculatus",,"","H.Bruggen",Accepted,,H,WCSP,299931,82933-1,"Blumea","16: 265","","1968"
kew-299932,A,Aponogetonaceae,,Aponogeton,,"azureus",,"","H.Bruggen",Accepted,,H,WCSP,299932,,"Mitt. Bot. Staatssamml. München","12: 105","","1975"
kew-299933,A,Aponogetonaceae,,Aponogeton,,"bernierianus",,"","(Decne.) Hook.f.",Accepted,,H,WCSP,299933,,"Gen. Pl.","3: 1014","","1883"
kew-299935,A,Aponogetonaceae,,Aponogeton,,"bogneri",,"","H.Bruggen",Accepted,,H,WCSP,299935,82935-1,"Bull. Jard. Bot. Natl. Belg.","43: 207","","1973"
kew-299936,A,Aponogetonaceae,,Aponogeton,,"boivinianus",,"","Baill. ex Jum.",Accepted,,H,WCSP,299936,82936-1,"Ann. Inst. Bot.-Géol. Colon. Marseille","III, 10(2): 9","","1922"
kew-299938,A,Aponogetonaceae,,Aponogeton,,"bruggenii",,"","S.R.Yadav & Govekar",Accepted,,H,WCSP,299938,979105-1,"Rheedea","4: 34","","1994"
kew-299939,A,Aponogetonaceae,,Aponogeton,,"bullosus",,"","H.Bruggen",Accepted,,H,WCSP,299939,82938-1,"Blumea","17: 125","","1969"
kew-299940,A,Aponogetonaceae,,Aponogeton,,"capuronii",,"","H.Bruggen",Accepted,,H,WCSP,299940,82939-1,"Blumea","16: 257","","1968"
kew-299941,A,Aponogetonaceae,,Aponogeton,,"cordatus",,"","Jum.",Accepted,,H,WCSP,299941,,"Ann. Inst. Bot.-Géol. Colon. Marseille","III, 10(2): 13","","1922"
kew-299943,A,Aponogetonaceae,,Aponogeton,,"crispus",,"","Thunb.",Accepted,,H,WCSP,299943,132214-3,"Nov. Gen. Pl.","73","","1784"
kew-345976,A,Aponogetonaceae,,Aponogeton,,"cuneatus",,"","S.W.L.Jacobs",Accepted,,H,WCSP,345976,77079792-1,"Telopea","11: 130","","2006"
kew-299944,A,Aponogetonaceae,,Aponogeton,,"decaryi",,"","Jum. ex Humbert",Accepted,,H,WCSP,299944,,"Notul. Syst. (Paris)","11: 1","","1943"
kew-299945,A,Aponogetonaceae,,Aponogeton,,"desertorum",,"","Zeyh. ex Spreng.",Accepted,,H,WCSP,299945,82943-1,"Syst. Veg.","5(Suppl.): 14","","1828"
kew-299948,A,Aponogetonaceae,,Aponogeton,,"dioecus",,"","Bosser",Accepted,,H,WCSP,299948,82944-1,"Adansonia","n.s., 6: 156","","1966"
kew-299949,A,Aponogetonaceae,,Aponogeton,,"distachyos",,"","L.f.",Accepted,,H,WCSP,299949,60445154-2,"Suppl. Pl.","215","","1782"
kew-299953,A,Aponogetonaceae,,Aponogeton,,"eggersii",,"","Bogner & H.Bruggen",Accepted,,H,WCSP,299953,1021516-1,"Aqua Pl.","26: 63","","2001"
kew-299954,A,Aponogetonaceae,,Aponogeton,,"elongatus",,"","F.Muell. ex Benth.",Accepted,,H,WCSP,299954,602851-1,"Fl. Austral.","7: 188","","1878"
kew-311160,A,Aponogetonaceae,,Aponogeton,,"elongatus",subsp.,"elongatus","",Accepted,,L,WCSP,311160,,"Unknown","","",""
kew-299959,A,Aponogetonaceae,,Aponogeton,,"euryspermus",,"","Hellq. & S.W.L.Jacobs",Accepted,,H,WCSP,299959,1005463-1,"Telopea","8: 16","","1998"
kew-299964,A,Aponogetonaceae,,Aponogeton,,"fotianus",,"","J.Raynal",Accepted,,H,WCSP,299964,82947-1,"Adansonia","n.s., 9: 551","","1970"
kew-456431,A,Aponogetonaceae,,Aponogeton,,"fugax",,"","J.C.Manning & Goldblatt",Accepted,,H,WCSP,456431,77095219-1,"Bothalia","38: 156","","2008"
kew-299971,A,Aponogetonaceae,,Aponogeton,,"hexatepalus",,"","H.Bruggen",Accepted,,H,WCSP,299971,82951-1,"Blumea","17: 136","","1969"
kew-299975,A,Aponogetonaceae,,Aponogeton,,"jacobsenii",,"","de Wit",Accepted,,H,WCSP,299975,,"Aquariumpl.","ed. 4: 120","","1983"
kew-299976,A,Aponogetonaceae,,Aponogeton,,"junceus",,"","Lehm. ex Schltdl.",Accepted,,H,WCSP,299976,,"Linnaea","10(Litt.): 76","","1836"
kew-299979,A,Aponogetonaceae,,Aponogeton,,"kimberleyensis",,"","Hellq. & S.W.L.Jacobs",Accepted,,H,WCSP,299979,1005462-1,"Telopea","8: 15","","1998"
kew-299981,A,Aponogetonaceae,,Aponogeton,,"lakhonensis",,"","A.Camus",Accepted,,H,WCSP,299981,82954-1,"Notul. Syst. (Paris)","1: 273","","1910"
kew-299982,A,Aponogetonaceae,,Aponogeton,,"lancesmithii",,"","Hellq. & S.W.L.Jacobs",Accepted,,H,WCSP,299982,1005461-1,"Telopea","8: 12","","1998"
kew-299987,A,Aponogetonaceae,,Aponogeton,,"longiplumulosus",,"","H.Bruggen",Accepted,,H,WCSP,299987,82955-1,"Blumea","16: 256","","1968"
kew-299988,A,Aponogetonaceae,,Aponogeton,,"loriae",,"","Martelli",Accepted,,H,WCSP,299988,602868-1,"Nuovo Giorn. Bot. Ital.","n.s., 3: 472","","1897"
kew-299991,A,Aponogetonaceae,,Aponogeton,,"madagascariensis",,"","(Mirb.) H.Bruggen",Accepted,,H,WCSP,299991,82957-1,"Blumea","16: 249","","1968"
kew-309293,A,Aponogetonaceae,,Aponogeton,,"masoalaensis",,"","Bogner",Accepted,,H,WCSP,309293,60431908-2,"Aqua Pl.","27: 137","","2002"
kew-299997,A,Aponogetonaceae,,Aponogeton,,"natalensis",,"","Oliv.",Accepted,,H,WCSP,299997,602873-1,"Hooker's Icon. Pl.","15: t. 1471","","1884"
kew-299998,A,Aponogetonaceae,,Aponogeton,,"natans",,"","(L.) Engl. & K.Krause",Accepted,,L,WCSP,299998,132391-3,"Pflanzenr.","IV, 13: 11","","1906"
