ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2860300,A,Aquifoliaceae,,Ilex,,"abscondita",,"","Steyerm.",Accepted,,M,WCSP (in review),978927,278759-2,"Ann. Missouri Bot. Gard.","75: 320","","1988"
tro-50000892,A,Aquifoliaceae,,Ilex,,"aculeolata",,"","Nakai",Accepted,,M,TRO,50000892,83013-1,"Bot. Mag. (Tokyo)","44(517): 13","13","1930"
kew-2860308,A,Aquifoliaceae,,Ilex,,"acutidenticulata",,"","Steyerm.",Accepted,,M,WCSP (in review),978935,278760-2,"Ann. Missouri Bot. Gard.","75: 321","","1988"
kew-2860310,A,Aquifoliaceae,,Ilex,,"affinis",,"","Gardner",Accepted,,M,WCSP (in review),978937,83018-1,"Hooker's Icon. Pl.","5: t. 465","","1842"
tro-2000011,A,Aquifoliaceae,,Ilex,,"aggregata",,"","(Ruiz & Pav.) Loes.",Accepted,,M,TRO,2000011,127660-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 95","95","1931"
kew-2860323,A,Aquifoliaceae,,Ilex,,"altiplana",,"","Steyerm.",Accepted,,M,WCSP (in review),978950,278761-2,"Ann. Missouri Bot. Gard.","75: 321","","1988"
kew-2860340,A,Aquifoliaceae,,Ilex,,"amazonensis",,"","Edwin",Accepted,,M,WCSP (in review),978967,127674-2,"Mem. New York Bot. Gard.","12(3): 133","","1965"
tro-2000014,A,Aquifoliaceae,,Ilex,,"ambigua",,"","(Michx.) Torr.",Accepted,,M,TRO,2000014,83025-1,"Fl. New York","2: 2","2","1843"
tro-50113934,A,Aquifoliaceae,,Ilex,,"ambigua",f.,"mollis","(A. Gray) C.F. Reed",Accepted,,L,TRO,50113934,278762-2,"Phytologia","67(6): 453","453","1989"
tro-50327437,A,Aquifoliaceae,,Ilex,,"ambigua",subsp.,"montana","(Torr. & A. Gray) A.E. Murray",Accepted,,L,TRO,50327437,127678-2,"Kalmia","13: 7","7","1983"
tro-2000454,A,Aquifoliaceae,,Ilex,,"ambigua",var.,"monticola","(A. Gray) Wunderlin & Poppleton",Accepted,,L,TRO,2000454,127682-2,"Florida Sci.","40(1): 10","10","1977"
tro-2000016,A,Aquifoliaceae,,Ilex,,"amboroica",,"","Loes.",Accepted,,M,TRO,2000016,127683-2,"Repert. Spec. Nov. Regni Veg.","7: 61","61","1909"
tro-2000019,A,Aquifoliaceae,,Ilex,,"amygdalina",,"","Reissek ex Loes.",Accepted,,M,TRO,2000019,,"Nov. Actorum Acad. Caes. Leop.-Carol. German. Nat. Cur.","1: 299","299","1901"
tro-2000022,A,Aquifoliaceae,,Ilex,,"andicola",,"","Loes.",Accepted,,M,TRO,2000022,127690-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","1: 161","161","1901"
tro-2000523,A,Aquifoliaceae,,Ilex,,"angulata",,"","Merr. & Chun",Accepted,,M,TRO,2000523,83037-1,"Sunyatsenia","2(3-4): 266-267, f. 30","266","1935"
tro-2000024,A,Aquifoliaceae,,Ilex,,"anodonta",,"","Standl. & Steyerm.",Accepted,,M,TRO,2000024,127692-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22(4): 245","245","1940"
kew-2860371,A,Aquifoliaceae,,Ilex,,"anomala",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),978998,83043-1,"Bot. Beechey Voy.","111","","1832"
tro-2000248,A,Aquifoliaceae,,Ilex,,"anonoides",,"","Loesner",Accepted,,M,TRO,2000248,127693-2,"Nov. Act. Acad. Caes. Leop.-Carol. Germ. Nat. Cur.","1: 164","164","1901"
kew-2860374,A,Aquifoliaceae,,Ilex,,"apicidens",,"","N.E.Br.",Accepted,,M,WCSP (in review),979001,127694-2,"Trans. Linn. Soc. London, Bot.","6: 22","","1901"
kew-2860379,A,Aquifoliaceae,,Ilex,,"aquifolium",,"","L.",Accepted,,M,WCSP (in review),979006,83051-1,"Sp. Pl.","125","","1753"
kew-2860385,A,Aquifoliaceae,,Ilex,,"aracamuniana",,"","Steyerm.",Accepted,,M,WCSP (in review),979012,938364-1,"Ann. Missouri Bot. Gard.","76: 946","","1989"
kew-2860387,A,Aquifoliaceae,,Ilex,,"archeri",,"","Edwin",Accepted,,M,WCSP (in review),979014,127696-2,"Mem. New York Bot. Gard.","12(3): 139","","1965"
kew-2860388,A,Aquifoliaceae,,Ilex,,"ardisiifrons",,"","Reissek",Accepted,,M,WCSP (in review),979015,83055-1,"Fl. Bras.","11(1): 58","","1861"
tro-2000025,A,Aquifoliaceae,,Ilex,,"argentina",,"","Lillo",Accepted,,M,TRO,2000025,127703-2,"Contribución al conocimiento de los árboles de la Argentina según colecciones y observaciones de Santiago Venturi","7","7","1910"
kew-2860398,A,Aquifoliaceae,,Ilex,,"arimensis",,"","(Loes.) Britton ex R.O.Williams",Accepted,,M,WCSP (in review),979025,127704-2,"Fl. Trinidad","1: 168","","1930"
tro-50006991,A,Aquifoliaceae,,Ilex,,"arisanensis",,"","Yamam.",Accepted,,M,TRO,50006991,83061-1,"Icon. Pl. Formosan., Suppl.","1: 30-31, f. 10","30","1925"
tro-2000509,A,Aquifoliaceae,,Ilex,,"asprella",,"","(Hook. & Arn.) Champ. ex Benth.",Accepted,,M,TRO,2000509,83065-1,"Hooker's J. Bot. Kew Gard. Misc.","4: 329","329","1852"
tro-50050336,A,Aquifoliaceae,,Ilex,,"asprella",var.,"asprella","",Accepted,,L,TRO,50050336,,"","","",""
kew-2860407,A,Aquifoliaceae,,Ilex,,"atabapoensis",,"","T.R.Dudley",Accepted,,M,WCSP (in review),979034,997219-1,"Hollies, The Genus Ilex","159","","1997"
tro-2000457,A,Aquifoliaceae,,Ilex,,"atrata",,"","W.W. Sm.",Accepted,,M,TRO,2000457,83067-1,"Notes Roy. Bot. Gard. Edinburgh","10(46): 40-41","40","1917"
tro-50155812,A,Aquifoliaceae,,Ilex,,"atrata",var.,"atrata","",Accepted,,L,TRO,50155812,,"","","",""
kew-2860413,A,Aquifoliaceae,,Ilex,,"auricula",,"","S.Andrews",Accepted,,M,WCSP (in review),979040,278764-2,"Kew Bull.","37: 681","","1983"
tro-50001363,A,Aquifoliaceae,,Ilex,,"austrosinensis",,"","C.J. Tseng",Accepted,,M,TRO,50001363,904393-1,"Acta Phytotax. Sin.","22(5): 415-416","415","1984"
tro-2000030,A,Aquifoliaceae,,Ilex,,"belizensis",,"","Lundell",Accepted,,M,TRO,2000030,127710-2,"Phytologia","1(6): 217","217","1937"
kew-2860432,A,Aquifoliaceae,,Ilex,,"berteroi",,"","Loes.",Accepted,,M,WCSP (in review),979059,127712-2,"Bot. Jahrb. Syst.","15: 320","","1893"
tro-50143786,A,Aquifoliaceae,,Ilex,,"bidens",,"","C.Y. Wu",Accepted,,M,TRO,50143786,,"Bull. Bot. Res., Harbin","5(1): 25-26, pl. 7, f. 4","25","1985"
tro-2000461,A,Aquifoliaceae,,Ilex,,"bioritsensis",,"","Hayata",Accepted,,M,TRO,2000461,83086-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 53","53","1911"
kew-2860440,A,Aquifoliaceae,,Ilex,,"blanchetii",,"","Loes.",Accepted,,M,WCSP (in review),979067,127717-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","78: 415","","1901"
tro-2000033,A,Aquifoliaceae,,Ilex,,"boliviana",,"","Britton",Accepted,,M,TRO,2000033,127719-2,"Mem. Torrey Bot. Club","3(3): 15","15","1893"
tro-50001216,A,Aquifoliaceae,,Ilex,,"brachyphylla",,"","(Hand.-Mazz.) S.Y. Hu",Accepted,,M,TRO,50001216,83095-1,"J. Arnold Arbor.","31(1): 61","61","1950"
kew-2860452,A,Aquifoliaceae,,Ilex,,"brandegeeana",,"","Loes.",Accepted,,M,WCSP (in review),979079,289027-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","78: 148","","1901"
kew-2860453,A,Aquifoliaceae,,Ilex,,"brasiliensis",,"","(Spreng.) Loes.",Accepted,,M,WCSP (in review),979080,127723-2,"Nat. Pflanzenfam.","Nachtr. 1: 220","","1897"
tro-2000037,A,Aquifoliaceae,,Ilex,,"brevicuspis",,"","Reissek",Accepted,,M,TRO,2000037,83101-1,"Fl. Bras.","11(1): 56","56",""
kew-2860464,A,Aquifoliaceae,,Ilex,,"brevipedicellata",,"","Steyerm.",Accepted,,M,WCSP (in review),979090,278766-2,"Ann. Missouri Bot. Gard.","75: 322","","1988"
tro-50001209,A,Aquifoliaceae,,Ilex,,"buergeri",,"","Miq.",Accepted,,M,TRO,50001209,83107-1,"Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch., ser. 2","2: 84","84","1866"
tro-50001303,A,Aquifoliaceae,,Ilex,,"buxoides",,"","S.Y. Hu",Accepted,,M,TRO,50001303,83115-1,"J. Arnold Arbor.","31(3): 242-244","242","1950"
kew-2860500,A,Aquifoliaceae,,Ilex,,"casiquiarensis",,"","Loes.",Accepted,,M,WCSP (in review),979126,127744-2,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","78: 437","","1901"
kew-2860502,A,Aquifoliaceae,,Ilex,,"cassine",,"","L.",Accepted,,M,WCSP (in review),979128,83134-1,"Sp. Pl.","125","","1753"
tro-50327393,A,Aquifoliaceae,,Ilex,,"cassine",subsp.,"mexicana","(Turcz.) A.E. Murray",Accepted,,L,TRO,50327393,127751-2,"Kalmia","13: 8","8","1983"
tro-50327396,A,Aquifoliaceae,,Ilex,,"cassine",subsp.,"myrtifolia","(Walter) A.E. Murray",Accepted,,L,TRO,50327396,127753-2,"Kalmia","13: 8","8","1983"
tro-50327400,A,Aquifoliaceae,,Ilex,,"cassine",var.,"parvifolia","(Koch) C.K. Schneid.",Accepted,,L,TRO,50327400,127755-2,"Ill. Handb. Laubholzk.","2: 160","160","1907"
tro-50143787,A,Aquifoliaceae,,Ilex,,"cauliflora",,"","H.W. Li",Accepted,,M,TRO,50143787,,"Bull. Bot. Res., Harbin","5(1): 24-25, pl. 7, f. 3","24","1985"
tro-50001105,A,Aquifoliaceae,,Ilex,,"centrochinensis",,"","S.Y. Hu",Accepted,,M,TRO,50001105,83142-1,"J. Arnold Arbor.","30(4): 351","351","1949"
tro-50143788,A,Aquifoliaceae,,Ilex,,"chamaebuxus",,"","C.Y. Wu",Accepted,,M,TRO,50143788,,"Bull. Bot. Res., Harbin","5(1): 26-27, pl. 8, f. 1","26","1985"
tro-50291980,A,Aquifoliaceae,,Ilex,,"chamaedryfolia",,"","Reissek",Accepted,,M,TRO,50291980,83144-1,"Fl. Bras.","11(1): 73","73",""
tro-50001315,A,Aquifoliaceae,,Ilex,,"championii",,"","Loes.",Accepted,,M,TRO,50001315,83145-1,"Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.","78: 349","349","1901"
tro-50000889,A,Aquifoliaceae,,Ilex,,"chapaensis",,"","Merr.",Accepted,,M,TRO,50000889,83146-1,"J. Arnold Arbor.","21(3): 373-374","373","1940"
tro-50143789,A,Aquifoliaceae,,Ilex,,"chartaceifolia",,"","C.Y. Wu",Accepted,,M,TRO,50143789,,"Bull. Bot. Res., Harbin","5(1): 11-12, pl. 3, f. 2","11","1985"
tro-50197171,A,Aquifoliaceae,,Ilex,,"chengbuensis",,"","C.J. Qi & Q.Z. Lin",Accepted,,M,TRO,50197171,1020805-1,"Bull. Bot. Res., Harbin","20(1): 1-2, f. 1","1","2000"
tro-50001320,A,Aquifoliaceae,,Ilex,,"chengkouensis",,"","C.J. Tseng",Accepted,,M,TRO,50001320,897982-1,"Bull. Bot. Res., Harbin","1(1-2): 15-16, f. 2","15","1981"
tro-50155821,A,Aquifoliaceae,,Ilex,,"cheniana",,"","T.R. Dudley",Accepted,,M,TRO,50155821,941090-1,"Holly Soc. J.","6(4): 15","15","1988"
tro-50000915,A,Aquifoliaceae,,Ilex,,"chinensis",,"","Sims",Accepted,,M,TRO,50000915,83149-1,"Bot. Mag.","46: pl. 2043","pl. 2043","1819"
tro-50001165,A,Aquifoliaceae,,Ilex,,"chingiana",,"","Hu & T. Tang",Accepted,,M,TRO,50001165,83150-1,"Bull. Fan Mem. Inst. Biol., Bot.","9: 252","252","1940"
tro-50324028,A,Aquifoliaceae,,Ilex,,"chingiana",var.,"megacarpa","(H.G. Ye & H.S. Chen) L.G. Lei",Accepted,,L,TRO,50324028,77091067-1,"Fl. China","11: 396","396","2008"
tro-2000046,A,Aquifoliaceae,,Ilex,,"chiriquensis",,"","Standl.",Accepted,,M,TRO,2000046,127760-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22(2): 88","88","1940"
tro-50007490,A,Aquifoliaceae,,Ilex,,"chuniana",,"","S.Y. Hu",Accepted,,M,TRO,50007490,83155-1,"J. Arnold Arbor.","32(4): 397-398","397","1951"
kew-2860547,A,Aquifoliaceae,,Ilex,,"ciliolata",,"","Steyerm.",Accepted,,M,WCSP (in review),979173,278768-2,"Ann. Missouri Bot. Gard.","75: 323","","1988"
tro-2000460,A,Aquifoliaceae,,Ilex,,"ciliospinosa",,"","Loes.",Accepted,,M,TRO,2000460,83157-1,"Pl. Wilson.","1(1): 78-79","78","1911"
tro-2000505,A,Aquifoliaceae,,Ilex,,"cinerea",,"","Champ. ex Benth.",Accepted,,M,TRO,2000505,83158-1,"Hooker's J. Bot. Kew Gard. Misc.","4: 327-328","327","1852"
kew-2860554,A,Aquifoliaceae,,Ilex,,"clementis",,"","Britton & P.Wilson",Accepted,,M,WCSP (in review),979180,127761-2,"Mem. Torrey Bot. Club","16: 78","","1920"
