ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-4598,A,Araceae,,Aglaodorum,,"griffithii",,"","(Schott) Schott",Accepted,,H,WCSP,4598,84039-1,"Gen. Aroid.","58","","1858"
kew-4606,A,Araceae,,Aglaonema,,"brevispathum",,"","(Engl.) Engl.",Accepted,,H,WCSP,4606,84045-1,"Pflanzenr.","IV, 23Dc: 32","","1915"
kew-4607,A,Araceae,,Aglaonema,,"brevispathum",f.,"brevispathum","",Accepted,,L,WCSP,4607,,"Unknown","","",""
kew-4608,A,Araceae,,Aglaonema,,"brevispathum",f.,"hospitum","(F.N.Williams) Nicolson",Accepted,,L,WCSP,4608,,"Baileya","15: 124","","1968"
kew-4611,A,Araceae,,Aglaonema,,"chermsiriwattanae",,"","D.Sookchaloem",Accepted,,H,WCSP,4611,998926-1,"Thai For. Bull. (Bot.)","25: 54","","1997"
kew-4613,A,Araceae,,Aglaonema,,"cochinchense",,"","Engl.",Accepted,,H,WCSP,4613,,"Pflanzenr.","IV, 23Dc: 16","","1915"
tro-2100086,A,Araceae,,Aglaonema,,"cochinchinense",,"","Engl.",Accepted,,M,TRO,2100086,84049-1,"Pflanzenr.","23Dc: 16","16","1915"
kew-4614,A,Araceae,,Aglaonema,,"commutatum",,"","Schott",Accepted,,H,WCSP,4614,84050-1,"Syn. Aroid.","123","","1856"
kew-4615,A,Araceae,,Aglaonema,,"commutatum",var.,"commutatum","",Accepted,,L,WCSP,4615,,"Unknown","","",""
kew-4618,A,Araceae,,Aglaonema,,"commutatum",var.,"elegans","(Engl.) Nicolson",Accepted,,L,WCSP,4618,,"Baileya","15: 125","","1968"
kew-4619,A,Araceae,,Aglaonema,,"commutatum",var.,"maculatum","(Hook.f.) Nicolson",Accepted,,L,WCSP,4619,,"Baileya","15: 125","","1968"
kew-4623,A,Araceae,,Aglaonema,,"commutatum",var.,"warburgii","(Engl.) Nicolson",Accepted,,L,WCSP,4623,,"Smithsonian Contr. Bot.","1: 50","","1969"
kew-4624,A,Araceae,,Aglaonema,,"cordifolium",,"","Engl.",Accepted,,H,WCSP,4624,84051-1,"Pflanzenr.","IV, 23Dc: 29","","1915"
kew-4625,A,Araceae,,Aglaonema,,"costatum",,"","N.E.Br.",Accepted,,H,WCSP,4625,84052-1,"Gard. Chron.","III, 1892: 426","","1892"
kew-4628,A,Araceae,,Aglaonema,,"costatum",f.,"costatum","",Accepted,,L,WCSP,4628,,"Unknown","","",""
kew-4632,A,Araceae,,Aglaonema,,"costatum",f.,"immaculatum","(Ridl.) Nicolson",Accepted,,L,WCSP,4632,,"Smithsonian Contr. Bot.","1: 24","","1969"
kew-4637,A,Araceae,,Aglaonema,,"costatum",f.,"virescens","(Ridl. ex Engl.) Nicolson",Accepted,,L,WCSP,4637,,"Smithsonian Contr. Bot.","1: 24","","1969"
kew-4639,A,Araceae,,Aglaonema,,"crispum",,"","(Pitcher & Manda) Nicolson",Accepted,,H,WCSP,4639,84053-1,"Baileya","15: 126","","1968"
kew-4644,A,Araceae,,Aglaonema,,"densinervium",,"","Engl.",Accepted,,H,WCSP,4644,84056-1,"Bot. Jahrb. Syst.","37: 134","","1905"
kew-4649,A,Araceae,,Aglaonema,,"flemingianum",,"","A.Hay",Accepted,,H,WCSP,4649,1004140-1,"Gard. Bull. Singapore","50: 1","","1998"
kew-4656,A,Araceae,,Aglaonema,,"hookerianum",,"","Schott",Accepted,,H,WCSP,4656,84067-1,"Bonplandia (Hannover)","7: 30","","1859"
kew-4668,A,Araceae,,Aglaonema,,"marantifolium",,"","Blume",Accepted,,H,WCSP,4668,84078-1,"Rumphia","1: 153","","1837"
kew-4675,A,Araceae,,Aglaonema,,"modestum",,"","Schott ex Engl.",Accepted,,H,WCSP,4675,84081-1,"Monogr. Phan.","2: 442","","1879"
kew-4677,A,Araceae,,Aglaonema,,"nebulosum",,"","N.E.Br.",Accepted,,H,WCSP,4677,84083-1,"Ill. Hort.","31: 67","","1887"
kew-4678,A,Araceae,,Aglaonema,,"nebulosum",f.,"nanum","(Hook.f.) Nicolson",Accepted,,L,WCSP,4678,,"Smithsonian Contr. Bot.","1: 31","","1969"
kew-4682,A,Araceae,,Aglaonema,,"nitidum",,"","(Jack) Kunth",Accepted,,H,WCSP,4682,84086-1,"Enum. Pl.","3: 56","","1841"
