ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-8671,A,Araliaceae,,Anakasia,,"simplicifolia",,"","Philipson",Accepted,,H,WCSP,8671,89555-1,"Blumea","21: 87","","1973"
kew-13957,A,Araliaceae,,Aralia,,"apioides",,"","Hand.-Mazz.",Accepted,,H,WCSP,13957,89574-1,"Symb. Sin.","7: 701","","1933"
kew-13963,A,Araliaceae,,Aralia,,"armata",,"","(Wall. ex G.Don) Seem.",Accepted,,H,WCSP,13963,89581-1,"J. Bot.","6: 134","","1868"
kew-13966,A,Araliaceae,,Aralia,,"atropurpurea",,"","Franch.",Accepted,,H,WCSP,13966,89583-1,"J. Bot. (Morot)","10: 301","","1896"
kew-13971,A,Araliaceae,,Aralia,,"bicrenata",,"","Wooton & Standl.",Accepted,,H,WCSP,13971,17482-2,"Contr. U. S. Natl. Herb.","16: 157","","1913"
kew-13973,A,Araliaceae,,Aralia,,"bipinnata",,"","Blanco",Accepted,,H,WCSP,13973,89591-1,"Fl. Filip.","222","","1837"
kew-13974,A,Araliaceae,,Aralia,,"bipinnata",var.,"apoensis","(Elmer) J.Wen",Accepted,,L,WCSP,13974,980736-1,"Novon","4: 403","","1994"
kew-13975,A,Araliaceae,,Aralia,,"bipinnata",var.,"bipinnata","",Accepted,,L,WCSP,13975,,"Unknown","","",""
kew-13981,A,Araliaceae,,Aralia,,"cachemirica",,"","Decne.",Accepted,,H,WCSP,13981,89595-1,"Voy. Inde","4: 72","","1841"
kew-13982,A,Araliaceae,,Aralia,,"caesia",,"","Hand.-Mazz.",Accepted,,H,WCSP,13982,89596-1,"Symb. Sin.","7: 702","","1933"
kew-13984,A,Araliaceae,,Aralia,,"californica",,"","S.Watson",Accepted,,H,WCSP,13984,89597-1,"Proc. Amer. Acad. Arts","11: 144","","1876"
kew-13989,A,Araliaceae,,Aralia,,"castanopsiscola",,"","(Hayata) J.Wen",Accepted,,H,WCSP,13989,,"Brittonia","45: 52","","1993"
kew-13997,A,Araliaceae,,Aralia,,"chinensis",,"","L.",Accepted,,H,WCSP,13997,89608-1,"Sp. Pl.","273","","1753"
kew-13999,A,Araliaceae,,Aralia,,"chinensis",var.,"chinensis","",Accepted,,L,WCSP,13999,,"Unknown","","",""
kew-14011,A,Araliaceae,,Aralia,,"continentalis",,"","Kitag.",Accepted,,H,WCSP,14011,89612-1,"Bot. Mag. (Tokyo)","49: 228","","1935"
kew-14013,A,Araliaceae,,Aralia,,"cordata",,"","Thunb.",Accepted,,H,WCSP,14013,89613-1,"Fl. Jap.","127","","1784"
kew-14015,A,Araliaceae,,Aralia,,"cordata",var.,"cordata","",Accepted,,L,WCSP,14015,,"Unknown","","",""
kew-14016,A,Araliaceae,,Aralia,,"cordata",var.,"sachalinensis","(Regel) Nakai",Accepted,,L,WCSP,14016,,"J. Arnold Arbor.","5: 29","","1924"
kew-14021,A,Araliaceae,,Aralia,,"dasyphylla",,"","Miq.",Accepted,,H,WCSP,14021,,"Bonplandia (Hannover)","4: 138","","1856"
