ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1610,A,Arecaceae,,Acanthophoenix,,"crinita",,"","(Bory) H.Wendl.",Accepted,,H,WCSP,1610,,"Ann. Gén. Hort.","6: 181","","1866"
kew-345632,A,Arecaceae,,Acanthophoenix,,"rousselii",,"","N.Ludw.",Accepted,,H,WCSP,345632,77078973-1,"Palms (1999+).","50: 84","","2006"
kew-1612,A,Arecaceae,,Acanthophoenix,,"rubra",,"","(Bory) H.Wendl.",Accepted,,H,WCSP,1612,663892-1,"Fl. Serres Jard. Paris","2(6): 181","","1866"
kew-2153,A,Arecaceae,,Acoelorrhaphe,,"wrightii",,"","(Griseb. & H.Wendl.) H.Wendl. ex Becc.",Accepted,,H,WCSP,2153,663912-1,"Webbia","2: 109","","1907"
kew-2570,A,Arecaceae,,Acrocomia,,"aculeata",,"","(Jacq.) Lodd. ex Mart.",Accepted,,H,WCSP,2570,663914-1,"Hist. Nat. Palm.","3: 286","","1845"
kew-2577,A,Arecaceae,,Acrocomia,,"crispa",,"","(Kunth) C.F.Baker ex Becc.",Accepted,,H,WCSP,2577,663921-1,"Pomona Coll. J. Econ. Bot.","2: 364","","1912"
kew-2585,A,Arecaceae,,Acrocomia,,"hassleri",,"","(Barb.Rodr.) W.J.Hahn",Accepted,,H,WCSP,2585,962864-1,"Principes","35: 170","","1991"
kew-2592,A,Arecaceae,,Acrocomia,,"media",,"","O.F.Cook",Accepted,,H,WCSP,2592,3550-2,"Bull. Torrey Bot. Club","28: 566","","1901"
kew-2737,A,Arecaceae,,Actinokentia,,"divaricata",,"","(Brongn.) Dammer",Accepted,,H,WCSP,2737,663957-1,"Bot. Jahrb. Syst.","39: 21","","1906"
kew-2738,A,Arecaceae,,Actinokentia,,"huerlimannii",,"","H.E.Moore",Accepted,,H,WCSP,2738,663958-1,"Gentes Herb.","12: 17","","1980"
kew-2778,A,Arecaceae,,Actinorhytis,,"calapparia",,"","(Blume) H.Wendl. & Drude ex Scheff.",Accepted,,H,WCSP,2778,,"Ann. Jard. Bot. Buitenzorg","1: 156","","1876"
kew-3315,A,Arecaceae,,Adonidia,,"merrillii",,"","(Becc.) Becc.",Accepted,,H,WCSP,3315,663990-1,"Philipp. J. Sci.","14: 329","","1919"
kew-5088,A,Arecaceae,,Aiphanes,,"acaulis",,"","Galeano & R.Bernal",Accepted,,H,WCSP,5088,271902-2,"Principes","29: 20","","1985"
kew-329632,A,Arecaceae,,Aiphanes,,"bicornis",,"","Cerón & R.Bernal",Accepted,,H,WCSP,329632,77066334-1,"Caldasia","26: 433","","2004"
kew-5091,A,Arecaceae,,Aiphanes,,"chiribogensis",,"","Borchs. & Balslev",Accepted,,H,WCSP,5091,271903-2,"Nordic J. Bot.","9: 386","","1989 publ. 1990"
kew-5095,A,Arecaceae,,Aiphanes,,"deltoidea",,"","Burret",Accepted,,H,WCSP,5095,7897-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 568","","1932"
kew-5097,A,Arecaceae,,Aiphanes,,"duquei",,"","Burret",Accepted,,H,WCSP,5097,664001-1,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 492","","1937"
kew-5099,A,Arecaceae,,Aiphanes,,"eggersii",,"","Burret",Accepted,,H,WCSP,5099,7901-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 563","","1932"
kew-5101,A,Arecaceae,,Aiphanes,,"erinacea",,"","(H.Karst.) H.Wendl.",Accepted,,H,WCSP,5101,1012993-2,"Palmiers","230","","1878"
kew-5106,A,Arecaceae,,Aiphanes,,"gelatinosa",,"","H.E.Moore",Accepted,,H,WCSP,5106,7906-2,"Gentes Herb.","8: 227","","1951"
kew-218462,A,Arecaceae,,Aiphanes,,"graminifolia",,"","Galeano & R.Bernal",Accepted,,H,WCSP,218462,60427622-2,"Caldasia","24: 277","","2002"
kew-5108,A,Arecaceae,,Aiphanes,,"grandis",,"","Borchs. & Balslev",Accepted,,H,WCSP,5108,271904-2,"Nordic J. Bot.","9: 388","","1989 publ. 1990"
kew-5109,A,Arecaceae,,Aiphanes,,"hirsuta",,"","Burret",Accepted,,H,WCSP,5109,316942-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 573","","1932"
kew-5110,A,Arecaceae,,Aiphanes,,"hirsuta",subsp.,"fosteriorum","(H.E.Moore) Borchs. & R.Bernal",Accepted,,L,WCSP,5110,1213454-2,"Fl. Neotrop. Monogr.","70: 65","","1996"
kew-5111,A,Arecaceae,,Aiphanes,,"hirsuta",subsp.,"hirsuta","",Accepted,,L,WCSP,5111,,"Unknown","","",""
kew-5113,A,Arecaceae,,Aiphanes,,"hirsuta",subsp.,"kalbreyeri","(Burret) Borchs. & R.Bernal",Accepted,,L,WCSP,5113,1169851-2,"Fl. Neotrop. Monogr.","70: 63","","1996"
kew-5114,A,Arecaceae,,Aiphanes,,"horrida",,"","(Jacq.) Burret",Accepted,,H,WCSP,5114,664013-1,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 575","","1932"
kew-5118,A,Arecaceae,,Aiphanes,,"leiostachys",,"","Burret",Accepted,,H,WCSP,5118,7913-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 570","","1932"
