ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2650595,A,Argophyllaceae,,Argophyllum,,"acinetochromum",,"","Guillaumin",Accepted,,M,WCSP (in review),774260,790239-1,"Mém. Mus. Natl. Hist. Nat., B, Bot.","4: 24","","1953"
kew-2650596,A,Argophyllaceae,,Argophyllum,,"brevipetalum",,"","Guillaumin",Accepted,,M,WCSP (in review),774261,790241-1,"Mém. Mus. Natl. Hist. Nat., B, Bot.","4: 25","","1953"
kew-2650597,A,Argophyllaceae,,Argophyllum,,"brevistylum",,"","Guillaumin",Accepted,,M,WCSP (in review),774262,790242-1,"Mém. Mus. Natl. Hist. Nat., B, Bot.","4: 25","","1953"
kew-2650598,A,Argophyllaceae,,Argophyllum,,"cryptophlebum",,"","Zemann",Accepted,,M,WCSP (in review),774263,136270-3,"Ann. K. K. Naturhist. Hofmus.","22: 283","","1907"
kew-2650599,A,Argophyllaceae,,Argophyllum,,"ellipticum",,"","Labill.",Accepted,,M,WCSP (in review),774264,790244-1,"Sert. Austro-Caledon.","39","","1824"
kew-2650600,A,Argophyllaceae,,Argophyllum,,"grunowii",,"","Zahlbr.",Accepted,,M,WCSP (in review),774265,790245-1,"Ann. K. K. Naturhist. Hofmus.","3: 278","","1888"
kew-2650601,A,Argophyllaceae,,Argophyllum,,"latifolium",,"","Vieill. ex Zemann",Accepted,,M,WCSP (in review),774266,790246-1,"Ann. K. K. Naturhist. Hofmus.","22: 285","","1907"
kew-2650602,A,Argophyllaceae,,Argophyllum,,"laxum",,"","Schltr.",Accepted,,M,WCSP (in review),774267,790247-1,"Bot. Jahrb. Syst.","39: 118","","1906"
kew-2650603,A,Argophyllaceae,,Argophyllum,,"lejourdanii",,"","F.Muell.",Accepted,,M,WCSP (in review),774268,790248-1,"Fragm.","4: 33","","1863"
kew-2650605,A,Argophyllaceae,,Argophyllum,,"montanum",,"","Schltr.",Accepted,,M,WCSP (in review),774270,790249-1,"Bot. Jahrb. Syst.","39: 118","","1906"
kew-2650606,A,Argophyllaceae,,Argophyllum,,"nitidum",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),774271,136304-3,"Char. Gen. Pl.","15","","1775"
kew-2650610,A,Argophyllaceae,,Argophyllum,,"nullumense",,"","R.T.Baker",Accepted,,M,WCSP (in review),774275,790251-1,"Proc. Linn. Soc. New South Wales","24: 439","","1900"
kew-2650612,A,Argophyllaceae,,Argophyllum,,"schlechterianum",,"","Bonati & Petitm.",Accepted,,M,WCSP (in review),774277,790253-1,"Bull. Herb. Boissier","II, 7: 650","","1907"
kew-2650614,A,Argophyllaceae,,Argophyllum,,"verae",,"","P.I.Forst.",Accepted,,M,WCSP (in review),774279,940103-1,"Austrobaileya","3: 173","","1990"
kew-2650615,A,Argophyllaceae,,Argophyllum,,"vernicosum",,"","Däniker",Accepted,,M,WCSP (in review),774280,790256-1,"Vierteljahrsschr. Naturf. Ges. Zürich","76: 165","","1931"
kew-2737873,A,Argophyllaceae,,Corokia,,"buddleioides",,"","A.Cunn.",Accepted,,M,WCSP (in review),859874,,"Ann. Nat. Hist.","3: 249","","1839"
kew-2737875,A,Argophyllaceae,,Corokia,,"carpodetoides",,"","(F.Muell.) L.S.Sm.",Accepted,,M,WCSP (in review),859876,790729-1,"Proc. Roy. Soc. Queensland","69: 54","","1958"
kew-2737877,A,Argophyllaceae,,Corokia,,"collenettei",,"","L.Riley",Accepted,,M,WCSP (in review),859878,271713-1,"Bull. Misc. Inform. Kew","1926: 53","","1926"
kew-2737878,A,Argophyllaceae,,Corokia,,"cotoneaster",,"","Raoul",Accepted,,M,WCSP (in review),859879,271715-1,"Ann. Sci. Nat., Bot.","III, 2: 120","","1844"
kew-2737879,A,Argophyllaceae,,Corokia,,"macrocarpa",,"","Kirk",Accepted,,M,WCSP (in review),859880,271716-1,"Stud. Fl. New Zealand","224","","1899"
kew-2737880,A,Argophyllaceae,,Corokia,×,"virgata",,"","Turrill",Accepted,,M,WCSP (in review),859881,271718-1,"Bot. Mag.","138: t. 8466","","1912"
kew-2737881,A,Argophyllaceae,,Corokia,,"whiteana",,"","L.S.Sm.",Accepted,,M,WCSP (in review),859882,790730-1,"Proc. Roy. Soc. Queensland","69: 53","","1958"
