ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2651132,A,Aristolochiaceae,,Aristolochia,,"acontophylla",,"","Pfeifer",Accepted,,M,WCSP (in review),774797,19389-2,"Taxon. Rev. Pentandr. Aristol.","19","","1970"
kew-2651134,A,Aristolochiaceae,,Aristolochia,,"acutifolia",,"","Duch.",Accepted,,M,WCSP (in review),774799,92720-1,"Ann. Sci. Nat., Bot.","IV, 2: 54","","1854"
kew-2651136,A,Aristolochiaceae,,Aristolochia,,"albertiana",,"","Ahumada",Accepted,,M,WCSP (in review),774801,19390-2,"Sellowia","24: 64","","1972"
kew-2651137,A,Aristolochiaceae,,Aristolochia,,"albida",,"","Duch.",Accepted,,M,WCSP (in review),774802,92723-1,"Ann. Sci. Nat., Bot.","IV, 2: 75","","1854"
kew-2651138,A,Aristolochiaceae,,Aristolochia,,"allemanii",,"","Hoehne",Accepted,,M,WCSP (in review),774803,19388-2,"Arch. Bot. São Paulo","1: 15","","1925"
kew-2651140,A,Aristolochiaceae,,Aristolochia,,"amara",,"","(Aubl.) Poncy",Accepted,,M,WCSP (in review),774805,272644-2,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","10: 344","","1988 publ. 1989"
kew-2651145,A,Aristolochiaceae,,Aristolochia,,"andina",,"","F.González & I.G.Vargas",Accepted,,M,WCSP (in review),774810,321010-2,"Kew Bull.","55: 911","","2000"
kew-2651146,A,Aristolochiaceae,,Aristolochia,,"anguicida",,"","Jacq.",Accepted,,M,WCSP (in review),774811,316428-2,"Enum. Syst. Pl.","30","","1760"
kew-2651152,A,Aristolochiaceae,,Aristolochia,,"angustifolia",,"","Cham.",Accepted,,M,WCSP (in review),774817,92737-1,"Linnaea","7: 211","","1832"
kew-2651157,A,Aristolochiaceae,,Aristolochia,,"antennifera",,"","L.Uribe",Accepted,,M,WCSP (in review),774822,19397-2,"Caldasia","7: 35","","1955"
kew-2651159,A,Aristolochiaceae,,Aristolochia,,"apoloensis",,"","Rusby",Accepted,,M,WCSP (in review),774824,19398-2,"Bull. New York Bot. Gard.","6: 502","","1910"
kew-2651161,A,Aristolochiaceae,,Aristolochia,,"arborea",,"","Linden",Accepted,,M,WCSP (in review),774826,92742-1,"Cat. Gén.","13: 6","","1858"
kew-2651162,A,Aristolochiaceae,,Aristolochia,,"arborescens",,"","L.",Accepted,,M,WCSP (in review),774827,92743-1,"Sp. Pl.","960","","1753"
kew-2651163,A,Aristolochiaceae,,Aristolochia,,"arcuata",,"","Mast.",Accepted,,M,WCSP (in review),774828,92744-1,"Fl. Bras.","4(2): 101","","1875"
kew-2651164,A,Aristolochiaceae,,Aristolochia,,"arenicola",,"","Hance",Accepted,,M,WCSP (in review),774829,92745-1,"J. Bot.","14: 261","","1876"
kew-2651166,A,Aristolochiaceae,,Aristolochia,,"argentina",,"","Griseb.",Accepted,,M,WCSP (in review),774831,92747-1,"Abh. Königl. Ges. Wiss. Göttingen","19: 156","","1874"
kew-2651167,A,Aristolochiaceae,,Aristolochia,,"argyroneura",,"","Hoehne ex Uribe",Accepted,,M,WCSP (in review),774832,92749-1,"Caldasia","7: 160","","1955"
kew-2651170,A,Aristolochiaceae,,Aristolochia,,"asclepiadifolia",,"","Brandegee",Accepted,,M,WCSP (in review),774835,19400-2,"Univ. Calif. Publ. Bot.","6: 178","","1915"
kew-2651171,A,Aristolochiaceae,,Aristolochia,,"asperifolia",,"","Ule ex Pilg.",Accepted,,M,WCSP (in review),774836,,"Verh. Bot. Vereins Prov. Brandenburg","47: 121","","1905"
kew-2651173,A,Aristolochiaceae,,Aristolochia,,"atropurpurea",,"","Parish ex Hook.f.",Accepted,,M,WCSP (in review),774838,92754-1,"Fl. Brit. India","5: 76","","1886"
kew-2651177,A,Aristolochiaceae,,Aristolochia,,"auricularia",,"","Boiss.",Accepted,,M,WCSP (in review),774842,92758-1,"Diagn. Pl. Orient.","5: 49","","1844"
kew-2651179,A,Aristolochiaceae,,Aristolochia,,"austrochinensis",,"","C.Y.Cheng & J.S.Ma",Accepted,,M,WCSP (in review),774844,937728-1,"Acta Phytotax. Sin.","27: 293","","1989"
kew-2651182,A,Aristolochiaceae,,Aristolochia,,"baenzigeri",,"","B.Hansen & Phuph.",Accepted,,M,WCSP (in review),774847,1012086-1,"Nordic J. Bot.","19: 575","","1999"
kew-2651183,A,Aristolochiaceae,,Aristolochia,,"baetica",,"","L.",Accepted,,M,WCSP (in review),774848,92760-1,"Sp. Pl.","961","","1753"
kew-2651184,A,Aristolochiaceae,,Aristolochia,,"bahiensis",,"","F.González",Accepted,,M,WCSP (in review),774849,315366-2,"Brittonia","50: 8","","1998"
kew-2651185,A,Aristolochiaceae,,Aristolochia,,"baianorii",,"","Sennen & Pau",Accepted,,M,WCSP (in review),774850,,"Butl. Inst. Catalana Hist. Nat.","11: 19","","1911"
kew-2651187,A,Aristolochiaceae,,Aristolochia,,"balansae",,"","Franch.",Accepted,,M,WCSP (in review),774852,92762-1,"J. Bot. (Morot)","12: 311","","1898"
kew-2651189,A,Aristolochiaceae,,Aristolochia,,"bambusifolia",,"","C.F.Liang ex H.Q.Wen",Accepted,,M,WCSP (in review),774854,961411-1,"Guihaia","12: 217","","1992"
kew-2651190,A,Aristolochiaceae,,Aristolochia,,"baracoensis",,"","R.Rankin",Accepted,,M,WCSP (in review),774855,272646-2,"Revista Jard. Bot. Nac. Univ. Habana","10: 203","","1989"
kew-2651194,A,Aristolochiaceae,,Aristolochia,,"barbourii",,"","Barringer",Accepted,,M,WCSP (in review),774859,272647-2,"Brittonia","38: 128","","1986"
kew-2651195,A,Aristolochiaceae,,Aristolochia,,"baseri",,"","Malyer & Erken",Accepted,,M,WCSP (in review),774860,1013700-1,"Turkish J. Bot.","21: 381","","1997"
kew-2651196,A,Aristolochiaceae,,Aristolochia,,"batucensis",,"","Wiggins & Rollins",Accepted,,M,WCSP (in review),774861,19404-2,"Contr. Dudley Herb.","3: 269","","1943"
