ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-293447,A,Asparagaceae,,Acanthocarpus,,"canaliculatus",,"","A.S.George",Accepted,,H,WCSP,293447,929675-1,"in Fl. Australia","46: 221","","1986"
kew-293449,A,Asparagaceae,,Acanthocarpus,,"humilis",,"","A.S.George",Accepted,,H,WCSP,293449,929676-1,"in Fl. Australia","46: 221","","1986"
kew-293451,A,Asparagaceae,,Acanthocarpus,,"parviflorus",,"","A.S.George",Accepted,,H,WCSP,293451,84485-3,"in Fl. Australia","64: 221","","1986"
kew-293452,A,Asparagaceae,,Acanthocarpus,,"preissii",,"","Lehm.",Accepted,,H,WCSP,293452,84495-3,"Pl. Preiss.","2: 274","","1848"
kew-293453,A,Asparagaceae,,Acanthocarpus,,"robustus",,"","A.S.George",Accepted,,H,WCSP,293453,929678-1,"in Fl. Australia","46: 222","","1986"
kew-293454,A,Asparagaceae,,Acanthocarpus,,"rupestris",,"","A.S.George",Accepted,,H,WCSP,293454,929679-1,"in Fl. Australia","46: 222","","1986"
kew-293456,A,Asparagaceae,,Acanthocarpus,,"verticillatus",,"","A.S.George",Accepted,,H,WCSP,293456,929680-1,"in Fl. Australia","46: 222","","1986"
kew-293562,A,Asparagaceae,,Agave,,"acicularis",,"","Trel.",Accepted,,H,WCSP,293562,6345-2,"Mem. Natl. Acad. Sci.","11: 34","","1913"
kew-293563,A,Asparagaceae,,Agave,,"acklinicola",,"","Trel.",Accepted,,H,WCSP,293563,6346-2,"Mem. Natl. Acad. Sci.","11: 41","","1913"
kew-293566,A,Asparagaceae,,Agave,×,"ajoensis",,"","W.C.Hodgs.",Accepted,,H,WCSP,293566,322114-2,"Novon","11: 414","","2001"
kew-293567,A,Asparagaceae,,Agave,,"aktites",,"","Gentry",Accepted,,H,WCSP,293567,57045-1,"U.S.D.A. Agric. Handb.","399: 148","","1972"
kew-293568,A,Asparagaceae,,Agave,,"albescens",,"","Trel.",Accepted,,H,WCSP,293568,6349-2,"Mem. Natl. Acad. Sci.","11: 44","","1913"
kew-293572,A,Asparagaceae,,Agave,,"albomarginata",,"","Gentry",Accepted,,H,WCSP,293572,899099-1,"Agaves Cont. N. Amer.","129","","1982"
kew-374549,A,Asparagaceae,,Agave,,"albopilosa",,"","I.Cabral, Villarreal & A.E.Estrada",Accepted,,H,WCSP,374549,60447092-2,"Acta Bot. Mex.","80: 52","","2007"
kew-293578,A,Asparagaceae,,Agave,,"americana",,"","L.",Accepted,,H,WCSP,293578,319063-2,"Sp. Pl.","323","","1753"
kew-311161,A,Asparagaceae,,Agave,,"americana",subsp.,"americana","",Accepted,,L,WCSP,311161,,"Unknown","","",""
kew-293579,A,Asparagaceae,,Agave,,"americana",var.,"expansa","(Jacobi) Gentry",Accepted,,L,WCSP,293579,873966-1,"U.S.D.A. Agric. Handb.","399: 80","","1972"
kew-293592,A,Asparagaceae,,Agave,,"angustiarum",,"","Trel.",Accepted,,H,WCSP,293592,6363-2,"Contr. U. S. Natl. Herb.","23: 139","","1920"
kew-293602,A,Asparagaceae,,Agave,,"anomala",,"","Trel.",Accepted,,H,WCSP,293602,6365-2,"Mem. Natl. Acad. Sci.","11: 36","","1913"
kew-293603,A,Asparagaceae,,Agave,,"antillarum",,"","Descourt.",Accepted,,H,WCSP,293603,61818-1,"Fl. Méd. Antilles","4: 239","","1827"
kew-293606,A,Asparagaceae,,Agave,,"applanata",,"","Lem. ex Jacobi",Accepted,,H,WCSP,293606,61819-1,"Hamburger Garten- Blumenzeitung","20: 550","","1864"
kew-372123,A,Asparagaceae,,Agave,,"arcedianoensis",,"","Cházaro, O.M.Valencia & A.Vázquez",Accepted,,H,WCSP,372123,77093314-1,"Agaves Occid. México","45","","2007"
kew-293609,A,Asparagaceae,,Agave,×,"arizonica",,"","Gentry & J.H.Weber",Accepted,,H,WCSP,293609,6370-2,"Cact. Succ. J. (Los Angeles)","42: 223","","1970"
kew-293610,A,Asparagaceae,,Agave,,"arubensis",,"","Hummelinck",Accepted,,H,WCSP,293610,6371-2,"Recueil Trav. Bot. Néerl.","33: 236","","1936"
kew-293612,A,Asparagaceae,,Agave,,"asperrima",,"","Jacobi",Accepted,,H,WCSP,293612,61822-1,"Hamburger Garten- Blumenzeitung","20: 561","","1864"
kew-311164,A,Asparagaceae,,Agave,,"asperrima",subsp.,"asperrima","",Accepted,,L,WCSP,311164,,"Unknown","","",""
kew-293613,A,Asparagaceae,,Agave,,"asperrima",subsp.,"maderensis","(Gentry) B.Ullrich",Accepted,,L,WCSP,293613,1147989-2,"Sida","15: 254","","1992"
kew-293614,A,Asparagaceae,,Agave,,"asperrima",subsp.,"potosiensis","(Gentry) B.Ullrich",Accepted,,L,WCSP,293614,1002212-2,"Sida","15: 254","","1992"
kew-293615,A,Asparagaceae,,Agave,,"asperrima",subsp.,"zarcensis","(Gentry) B.Ullrich",Accepted,,L,WCSP,293615,1080917-2,"Sida","15: 254","","1992"
kew-293616,A,Asparagaceae,,Agave,,"atrovirens",,"","Karw. ex Salm-Dyck",Accepted,,H,WCSP,293616,,"Hort. Dyck.","302","","1834"
kew-293622,A,Asparagaceae,,Agave,,"attenuata",,"","Salm-Dyck",Accepted,,H,WCSP,293622,61824-1,"Hort. Dyck.","303","","1834"
kew-349029,A,Asparagaceae,,Agave,,"attenuata",subsp.,"attenuata","",Accepted,,L,WCSP,349029,,"Unknown","","",""
kew-349026,A,Asparagaceae,,Agave,,"attenuata",subsp.,"dentata","(J.Verschaff.) B.Ullrich",Accepted,,L,WCSP,349026,77088023-1,"Haseltonia","12: 27","","2006"
kew-293623,A,Asparagaceae,,Agave,,"aurea",,"","Brandegee",Accepted,,H,WCSP,293623,6379-2,"Proc. Calif. Acad. Sci.","II, 2: 207","","1889"
kew-293626,A,Asparagaceae,,Agave,,"avellanidens",,"","Trel.",Accepted,,H,WCSP,293626,6380-2,"Rep. (Annual) Missouri Bot. Gard.","22: 60","","1911 publ. 1912"
kew-293627,A,Asparagaceae,,Agave,,"bahamana",,"","Trel.",Accepted,,H,WCSP,293627,6381-2,"Mem. Natl. Acad. Sci.","11: 40","","1913"
kew-293634,A,Asparagaceae,,Agave,,"beauleriana",,"","Jacobi",Accepted,,H,WCSP,293634,61835-1,"Abh. Schles. Ges. Vaterl. Cult., Abth. Naturwiss.","1869: 150","","1869"
kew-293640,A,Asparagaceae,,Agave,,"boldinghiana",,"","Trel.",Accepted,,H,WCSP,293640,6386-2,"Mem. Natl. Acad. Sci.","11: 21","","1913"
kew-312189,A,Asparagaceae,,Agave,,"boscii",,"","(Hornem.) ined.",Accepted,,H,WCSP,312189,,"Unknown","","",""
kew-293645,A,Asparagaceae,,Agave,,"bovicornuta",,"","Gentry",Accepted,,H,WCSP,293645,6391-2,"Publ. Carnegie Inst. Wash.","527: 92","","1942"
kew-293646,A,Asparagaceae,,Agave,,"braceana",,"","Trel.",Accepted,,H,WCSP,293646,6392-2,"Mem. Natl. Acad. Sci.","11: 40","","1913"
kew-293648,A,Asparagaceae,,Agave,,"bracteosa",,"","S.Watson ex Engelm.",Accepted,,H,WCSP,293648,61847-1,"Gard. Chron.","n.s., 18: 776","","1882"
kew-293651,A,Asparagaceae,,Agave,,"breedlovei",,"","Gentry",Accepted,,H,WCSP,293651,899100-1,"Agaves Cont. N. Amer.","567","","1982"
kew-293652,A,Asparagaceae,,Agave,,"brevipetala",,"","Trel.",Accepted,,H,WCSP,293652,6397-2,"Repert. Spec. Nov. Regni Veg.","23: 362","","1927"
kew-293654,A,Asparagaceae,,Agave,,"brevispina",,"","Trel.",Accepted,,H,WCSP,293654,6398-2,"Repert. Spec. Nov. Regni Veg.","23: 363","","1927"
kew-293655,A,Asparagaceae,,Agave,,"brittoniana",,"","Trel.",Accepted,,H,WCSP,293655,6399-2,"Mem. Natl. Acad. Sci.","11: 44","","1913"
kew-293663,A,Asparagaceae,,Agave,,"cacozela",,"","Trel.",Accepted,,H,WCSP,293663,6402-2,"Mem. Natl. Acad. Sci.","11: 41","","1913"
kew-293667,A,Asparagaceae,,Agave,,"cajalbanensis",,"","A.Álvarez",Accepted,,H,WCSP,293667,6405-2,"Revista Jard. Bot. Nac. Univ. Habana","1: 34","","1980 publ. 1981"
kew-293670,A,Asparagaceae,,Agave,,"calodonta",,"","A.Berger",Accepted,,H,WCSP,293670,61864-1,"Hortus Mortolensis","364","","1912"
kew-293675,A,Asparagaceae,,Agave,,"cantala",,"","(Haw.) Roxb. ex Salm-Dyck",Accepted,,H,WCSP,293675,941416-1,"Index Pl. Succ. Hort. Dyck.","1","","1829"
kew-293676,A,Asparagaceae,,Agave,,"cantala",var.,"acuispina","(Trel.) Gentry",Accepted,,L,WCSP,293676,920462-1,"Agaves Cont. N. Amer.","569","","1982"
kew-311166,A,Asparagaceae,,Agave,,"cantala",var.,"cantala","",Accepted,,L,WCSP,311166,,"Unknown","","",""
kew-293677,A,Asparagaceae,,Agave,,"capensis",,"","Gentry",Accepted,,H,WCSP,293677,6409-2,"Occas. Pap. Calif. Acad. Sci.","130: 72","","1978"
kew-293680,A,Asparagaceae,,Agave,,"caribaeicola",,"","Trel.",Accepted,,H,WCSP,293680,61871-1,"Mem. Natl. Acad. Sci.","11: 27","","1913"
kew-293688,A,Asparagaceae,,Agave,,"cerulata",,"","Trel.",Accepted,,H,WCSP,293688,6416-2,"Rep. (Annual) Missouri Bot. Gard.","22: 55","","1911 publ. 1912"
kew-293689,A,Asparagaceae,,Agave,,"cerulata",subsp.,"dentiens","(Trel.) Gentry",Accepted,,L,WCSP,293689,6417-2,"Occas. Pap. Calif. Acad. Sci.","130: 43","","1978"
kew-293690,A,Asparagaceae,,Agave,,"cerulata",subsp.,"nelsonii","(Trel.) Gentry",Accepted,,L,WCSP,293690,6418-2,"Occas. Pap. Calif. Acad. Sci.","130: 44","","1978"
kew-372045,A,Asparagaceae,,Agave,,"chazaroi",,"","A.Vázquez & O.M.Valencia",Accepted,,H,WCSP,372045,77093315-1,"Agaves Occid. México","48","","2007"
kew-293693,A,Asparagaceae,,Agave,,"chiapensis",,"","Jacobi",Accepted,,H,WCSP,293693,61878-1,"Hamburger Garten- Blumenzeitung","22: 213","","1866"
kew-293698,A,Asparagaceae,,Agave,,"chrysantha",,"","Peebles",Accepted,,H,WCSP,293698,6423-2,"Proc. Biol. Soc. Wash.","48: 139","","1935"
kew-293699,A,Asparagaceae,,Agave,,"chrysoglossa",,"","I.M.Johnst.",Accepted,,H,WCSP,293699,6424-2,"Proc. Calif. Acad. Sci.","IV, 12: 998","","1924"
kew-293704,A,Asparagaceae,,Agave,,"cocui",,"","Trel.",Accepted,,H,WCSP,293704,6425-2,"Mem. Natl. Acad. Sci.","11: 19","","1913"
kew-293709,A,Asparagaceae,,Agave,,"collina",,"","Greenm.",Accepted,,H,WCSP,293709,6432-2,"Proc. Amer. Acad. Arts","32: 296","","1897"
