ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-275798,A,Asteliaceae,,Astelia,,"alpina",,"","R.Br.",Accepted,,H,WCSP,275798,531603-1,"Prodr. Fl. Nov. Holl.","291","","1810"
kew-311593,A,Asteliaceae,,Astelia,,"alpina",var.,"alpina","",Accepted,,L,WCSP,311593,,"Unknown","","",""
kew-275799,A,Asteliaceae,,Astelia,,"alpina",var.,"novae-hollandiae","Skottsb.",Accepted,,L,WCSP,275799,,"Kongl. Svenska Vetensk. Acad. Handl.","III, 14(2): 28","","1934"
kew-275800,A,Asteliaceae,,Astelia,,"argyrocoma",,"","A.Heller ex Skottsb.",Accepted,,H,WCSP,275800,531605-1,"Bernice P. Bishop Mus. Bull.","117: 31","","1934"
kew-275801,A,Asteliaceae,,Astelia,,"australiana",,"","(J.H.Willis) L.B.Moore",Accepted,,H,WCSP,275801,531606-1,"New Zealand J. Bot.","4: 229","","1966"
kew-275803,A,Asteliaceae,,Astelia,,"banksii",,"","A.Cunn.",Accepted,,H,WCSP,275803,531608-1,"Companion Bot. Mag.","2: 374","","1837"
kew-275804,A,Asteliaceae,,Astelia,,"chathamica",,"","(Skottsb.) L.B.Moore",Accepted,,H,WCSP,275804,531609-1,"New Zealand J. Bot.","4: 228","","1966"
kew-275810,A,Asteliaceae,,Astelia,,"fragrans",,"","Colenso",Accepted,,H,WCSP,275810,531614-1,"Trans. & Proc. New Zealand Inst.","15: 333","","1883"
kew-275812,A,Asteliaceae,,Astelia,,"graminea",,"","L.B.Moore",Accepted,,H,WCSP,275812,531616-1,"New Zealand J. Bot.","4: 222","","1966"
kew-275814,A,Asteliaceae,,Astelia,,"grandis",,"","Hook.f. ex Kirk",Accepted,,H,WCSP,275814,531618-1,"Trans. & Proc. New Zealand Inst.","1: 93","","1968"
