ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2664801,A,Atherospermataceae,,Atherosperma,,"dilatatum",,"","Gand.",Accepted,,M,WCSP (in review),788448,581755-1,"Bull. Soc. Bot. France","66: 233","","1919"
kew-2664802,A,Atherospermataceae,,Atherosperma,,"elongatum",,"","Gand.",Accepted,,M,WCSP (in review),788449,581756-1,"Bull. Soc. Bot. France","66: 232","","1919"
kew-2664805,A,Atherospermataceae,,Atherosperma,,"moschatum",,"","Labill.",Accepted,,M,WCSP (in review),788452,581759-1,"Nov. Holl. Pl.","2: 74","","1806"
kew-2603623,A,Atherospermataceae,,Atherosperma,,"moschatum",subsp.,"integrifolium","(A.Cunn. ex Tul.) Schodde",Accepted,,L,WCSP (in review),728306,77083068-1,"in Fl. Australia","2: 456","","2007"
kew-2664806,A,Atherospermataceae,,Atherosperma,,"muticum",,"","Gand.",Accepted,,M,WCSP (in review),788453,581760-1,"Bull. Soc. Bot. France","66: 232","","1919"
kew-2664811,A,Atherospermataceae,,Atherosperma,,"tasmanicum",,"","Gand.",Accepted,,M,WCSP (in review),788458,581765-1,"Bull. Soc. Bot. France","66: 233","","1919"
kew-2604139,A,Atherospermataceae,,Daphnandra,,"apatela",,"","Schodde",Accepted,,M,WCSP (in review),728796,77081981-1,"in Fl. Australia","2: 455","","2007"
kew-2756797,A,Atherospermataceae,,Daphnandra,,"dielsii",,"","G.Perkins",Accepted,,M,WCSP (in review),878215,581857-1,"Pflanzenr.","IV, 101(49): 46","","1911"
kew-2604140,A,Atherospermataceae,,Daphnandra,,"johnsonii",,"","Schodde",Accepted,,M,WCSP (in review),728797,77081983-1,"in Fl. Australia","2: 456","","2007"
kew-2604141,A,Atherospermataceae,,Daphnandra,,"melasmena",,"","Schodde",Accepted,,M,WCSP (in review),728798,77081982-1,"in Fl. Australia","2: 456","","2007"
kew-2756798,A,Atherospermataceae,,Daphnandra,,"micrantha",,"","(Tul.) Benth.",Accepted,,M,WCSP (in review),878216,581858-1,"Fl. Austral.","5: 285","","1870"
kew-2756801,A,Atherospermataceae,,Daphnandra,,"repandula",,"","(F.Muell.) F.Muell.",Accepted,,M,WCSP (in review),878219,98013-3,"Syst. Census Austral. Pl.","2(1): 5","","1889"
kew-2756802,A,Atherospermataceae,,Daphnandra,,"tenuipes",,"","G.Perkins",Accepted,,M,WCSP (in review),878220,581862-1,"Pflanzenr.","IV, 101: 75","","1901"
kew-2776059,A,Atherospermataceae,,Doryphora,,"aromatica",,"","(F.M.Bailey) L.S.Sm.",Accepted,,M,WCSP (in review),895932,581867-1,"Proc. Roy. Soc. Queensland","69: 48","","1958"
kew-2776061,A,Atherospermataceae,,Doryphora,,"sassafras",,"","Endl.",Accepted,,M,WCSP (in review),895934,581869-1,"Iconogr. Gen. Pl.","1: t. 10","","1837"
kew-2778305,A,Atherospermataceae,,Dryadodaphne,,"crassa",,"","Schodde ex Philipson",Accepted,,M,WCSP (in review),898138,929826-1,"in Fl. Males.","10: 265","","1986"
kew-2778306,A,Atherospermataceae,,Dryadodaphne,,"novoguineensis",,"","(Perkins) A.C.Sm.",Accepted,,M,WCSP (in review),898139,464348-1,"J. Arnold Arbor.","23: 443","","1942"
kew-2604224,A,Atherospermataceae,,Dryadodaphne,,"trachyphloia",,"","Schodde",Accepted,,M,WCSP (in review),728876,77081984-1,"in Fl. Australia","2: 456","","2007"
kew-2494581,A,Atherospermataceae,,Laurelia,,"sempervirens",,"","Tul.",Accepted,,M,WCSP (in review),622173,581996-1,"Arch. Mus. Hist. Nat.","8: 416","","1856"
tro-21200404,A,Atherospermataceae,,Laureliopsis,,"philippiana",,"","(Looser) Schodde",Accepted,,M,TRO,21200404,136261-2,"Parodiana","2(2): 299","299","1983"
tro-21200360,A,Atherospermataceae,,Nemuaron,,"vieillardii",,"","(Baill.) Baill.",Accepted,,L,TRO,21200360,582170-1,"Adansonia","10: 354","354","1873"
