ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2668013,A,Balanophoraceae,,Balanophora,,"abbreviata",,"","Blume",Accepted,,M,WCSP (in review),791590,103224-1,"Enum. Pl. Javae","1: 87","","1827"
kew-2668027,A,Balanophoraceae,,Balanophora,,"dioica",,"","R.Br. ex Royle",Accepted,,M,WCSP (in review),791604,103237-1,"Ill. Bot. Himal. Mts.","330","","1836"
kew-2668032,A,Balanophoraceae,,Balanophora,,"elongata",,"","Blume",Accepted,,M,WCSP (in review),791609,103242-1,"Enum. Pl. Javae","1: 87","","1827"
kew-2668034,A,Balanophoraceae,,Balanophora,,"elongata",var.,"ungeriana","(Valeton) B.Hansen",Accepted,,L,WCSP (in review),791611,,"Dansk Bot. Ark.","28: 120","","1972"
kew-2668036,A,Balanophoraceae,,Balanophora,,"fargesii",,"","(Tiegh.) Harms",Accepted,,M,WCSP (in review),791613,,"Nat. Pflanzenfam. ed. 2","16b: 332","","1935"
kew-2668043,A,Balanophoraceae,,Balanophora,,"fungosa",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),791620,103250-1,"Char. Gen. Pl.","50","","1775"
kew-2668045,A,Balanophoraceae,,Balanophora,,"fungosa",var.,"globosa","(Jungh.) B.Hansen",Accepted,,L,WCSP (in review),791622,,"Dansk Bot. Ark.","28: 109","","1972"
kew-2668046,A,Balanophoraceae,,Balanophora,,"fungosa",subsp.,"indica","(Arn.) B.Hansen",Accepted,,L,WCSP (in review),791623,,"Dansk Bot. Ark.","28: 100","","1972"
kew-2668050,A,Balanophoraceae,,Balanophora,,"fungosa",var.,"minor","(Eichler) B.Hansen",Accepted,,L,WCSP (in review),791627,,"Dansk Bot. Ark.","28: 106","","1972"
kew-2668055,A,Balanophoraceae,,Balanophora,,"harlandii",,"","Hook.f.",Accepted,,L,WCSP (in review),791632,103255-1,"Trans. Linn. Soc. London","22: 426","","1859"
