ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-3100287,A,Balsaminaceae,,Hydrocera,,"triflora",,"","(L.) Wight & Arn.",Accepted,,M,TRO,3100287,373938-1,"Prodr. Fl. Ind. Orient.","1: 140","140","1834"
tro-50275535,A,Balsaminaceae,,Impatiens,,"abbatis",,"","Hook. f.",Accepted,,M,TRO,50275535,103435-1,"Hooker's Icon. Pl.","29: , pl. 2861","","1908"
tro-50105392,A,Balsaminaceae,,Impatiens,,"alpicola",,"","Y.L. Chen & Y.Q. Lu",Accepted,,M,TRO,50105392,939228-1,"Acta Bot. Yunnan.","12(1): 25-26, pl. 3","25","1990"
tro-50275637,A,Balsaminaceae,,Impatiens,,"amabilis",,"","Hook. f.",Accepted,,M,TRO,50275637,103446-1,"Hooker's Icon. Pl.","30: , pl. 2973","","1911"
tro-50275122,A,Balsaminaceae,,Impatiens,,"amplexicaulis",,"","Edgew.",Accepted,,M,TRO,50275122,373953-1,"Trans. Linn. Soc. London","20: 37","37","1851"
tro-50325395,A,Balsaminaceae,,Impatiens,,"angulata",,"","S.X. Yu, Y.L. Chen & H.N. Qin",Accepted,,M,TRO,50325395,77093840-1,"Nordic J. Bot.","25: 27-28, f. 1-3","27","2007"
tro-50150362,A,Balsaminaceae,,Impatiens,,"anhuiensis",,"","Y.L. Chen",Accepted,,M,TRO,50150362,1007049-1,"Acta Phytotax. Sin.","37(1): 90-93, f. 2","90","1999"
tro-50272811,A,Balsaminaceae,,Impatiens,,"apalophylla",,"","Hook. f.",Accepted,,M,TRO,50272811,103458-1,"Nouv. Arch. Mus. Hist. Nat., sér. 4,","10: 243","243","1908"
tro-50275754,A,Balsaminaceae,,Impatiens,,"apsotis",,"","Hook. f.",Accepted,,M,TRO,50275754,103460-1,"Hooker's Icon. Pl.","30: , pl. 2972","","1911"
tro-50163919,A,Balsaminaceae,,Impatiens,,"aquatilis",,"","Hook. f.",Accepted,,M,TRO,50163919,103461-1,"Nouv. Arch. Mus. Hist. Nat., sér. 4,","10: 247","247","1908"
tro-50275648,A,Balsaminaceae,,Impatiens,,"arctosepala",,"","Hook. f.",Accepted,,M,TRO,50275648,103463-1,"Nouv. Arch. Mus. Hist. Nat., sér. 4,","10: 259","259","1908"
tro-50151563,A,Balsaminaceae,,Impatiens,,"arguta",,"","Hook. f. & Thomson",Accepted,,M,TRO,50151563,373962-1,"J. Linn. Soc., Bot.","4: 137","137","1860"
tro-50240561,A,Balsaminaceae,,Impatiens,,"armeniaca",,"","S.H. Huang",Accepted,,M,TRO,50240561,70029148-1,"Acta Bot. Yunnan.","25(3): 271-273, pl. 7, f. 1-7","271","2003"
kew-2862151,A,Balsaminaceae,,Impatiens,,"assurgens",,"","Baker",Accepted,,M,WCSP (in review),980776,373966-1,"Bull. Misc. Inform. Kew","1895: 64","","1895"
tro-50275558,A,Balsaminaceae,,Impatiens,,"atherosepala",,"","Hook. f.",Accepted,,M,TRO,50275558,103466-1,"Hooker's Icon. Pl.","29: , pl. 2868","","1910?"
tro-50192079,A,Balsaminaceae,,Impatiens,,"atrosanguinea",,"","(Nakai) B.U. Oh & W.S. Hong",Accepted,,M,TRO,50192079,978144-1,"Korean J. Pl. Taxon","23(5): 253","253","1993"
tro-50073941,A,Balsaminaceae,,Impatiens,,"aureliana",,"","Hook. f.",Accepted,,M,TRO,50073941,103470-1,"Icon. Pl.","29: , pl. 2851","","1908"
kew-2862160,A,Balsaminaceae,,Impatiens,,"aurella",,"","Rydb.",Accepted,,M,WCSP (in review),980785,128209-2,"Bull. Torrey Bot. Club","28: 34","","1901"
tro-50240568,A,Balsaminaceae,,Impatiens,,"austroyunnanensis",,"","S.H. Huang",Accepted,,M,TRO,50240568,70029154-1,"Acta Bot. Yunnan.","25(3): 276-277, pl. 1, f. 9-15","276","2003"
tro-50275629,A,Balsaminaceae,,Impatiens,,"bachii",,"","H. Lév.",Accepted,,M,TRO,50275629,103474-1,"Cat. Pl. Yun-Nan","119","119","1916"
tro-50190616,A,Balsaminaceae,,Impatiens,,"bahanensis",,"","Hand.-Mazz.",Accepted,,M,TRO,50190616,103475-1,"Symb. Sin.","7(3): 648, pl. 10, f. 14-16","648","1933"
tro-50274204,A,Balsaminaceae,,Impatiens,,"balansae",,"","Hook. f.",Accepted,,M,TRO,50274204,103476-1,"Hooker's Icon. Pl.","29: , pl. 2862","","1908"
kew-2862177,A,Balsaminaceae,,Impatiens,,"balfourii",,"","Hook.f.",Accepted,,M,WCSP (in review),980802,373976-1,"Bot. Mag.","129: t. 7878","","1903"
kew-2862179,A,Balsaminaceae,,Impatiens,,"balsamina",,"","L.",Accepted,,M,WCSP (in review),980804,373978-1,"Sp. Pl.","938","","1753"
tro-3100094,A,Balsaminaceae,,Impatiens,,"balsamina",var.,"coccinea","(Wall.) Hook. f.",Accepted,,L,TRO,3100094,,"","","",""
tro-50240560,A,Balsaminaceae,,Impatiens,,"bannaensis",,"","S.H. Huang",Accepted,,M,TRO,50240560,77064904-1,"Acta Bot. Yunnan.","25(3): 271, pl. 6, f. 1-7","271","2003"
tro-3100469,A,Balsaminaceae,,Impatiens,,"barbata",,"","H.F. Comber",Accepted,,M,TRO,3100469,103477-1,"Notes Roy. Bot. Gard. Edinburgh","18(89): 244-245, f. s.n.","244","1934"
tro-3100163,A,Balsaminaceae,,Impatiens,,"baronii",,"","Baker",Accepted,,M,TRO,3100163,373979-1,"J. Bot.","20: 49","49","1882"
tro-50226045,A,Balsaminaceae,,Impatiens,,"bathiei",,"","Eb. Fisch. & Raheliv.",Accepted,,M,TRO,50226045,20010541-1,"Adansonia, sér. 3","24(2): 276","276","2002"
tro-50073942,A,Balsaminaceae,,Impatiens,,"begoniifolia",,"","S. Akiyama & H. Ohba",Accepted,,M,TRO,50073942,983573-1,"J. Jap. Bot.","70(2): 90, 99?, pl. 1, f. 4a-4e; pl. 3","90","1995"
tro-50275635,A,Balsaminaceae,,Impatiens,,"bellula",,"","Hook. f.",Accepted,,M,TRO,50275635,103484-1,"Nouv. Arch. Mus. Hist. Nat., sér. 4,","10: 262","262","1908"
kew-2862203,A,Balsaminaceae,,Impatiens,,"bequaertii",,"","De Wild.",Accepted,,M,WCSP (in review),980828,103487-1,"Pl. Bequaert.","1: 355","","1922"
tro-3100430,A,Balsaminaceae,,Impatiens,,"bicornuta",,"","Wall.",Accepted,,M,TRO,3100430,103490-1,"Fl. Ind. ed. Carey","2: 460","460","1824"
tro-50005193,A,Balsaminaceae,,Impatiens,,"blepharosepala",,"","E. Pritz.",Accepted,,M,TRO,50005193,,"Bot. Jahrb. Syst.","29(3-4): 455","455","1900"
tro-50274244,A,Balsaminaceae,,Impatiens,,"blinii",,"","H. Lév.",Accepted,,M,TRO,50274244,103495-1,"Cat. Pl. Yun-Nan","119-120","119","1916"
tro-50275649,A,Balsaminaceae,,Impatiens,,"bodinieri",,"","Hook. f.",Accepted,,M,TRO,50275649,103497-1,"Nouv. Arch. Mus. Hist. Nat., sér. 4,","10: 259","259","1908"
tro-3100297,A,Balsaminaceae,,Impatiens,,"brachycentra",,"","Kar. & Kir.",Accepted,,M,TRO,3100297,373997-1,"Bull. Soc. Imp. Naturalistes Moscou","15: 179","179","1842"
tro-50272764,A,Balsaminaceae,,Impatiens,,"bracteata",,"","Colebr.",Accepted,,M,TRO,50272764,,"Fl. Ind., ed. 1820","2: 459","459","1824"
tro-50275780,A,Balsaminaceae,,Impatiens,,"brevipes",,"","Hook. f.",Accepted,,M,TRO,50275780,103504-1,"Bull. Misc. Inform. Kew","1910: 271","271","1910"
kew-2862246,A,Balsaminaceae,,Impatiens,,"briartii",,"","De Wild. & T.Durand",Accepted,,M,WCSP (in review),980871,374002-1,"Bull. Soc. Roy. Bot. Belgique","Compt. Rend. 38: 185","","1899"
kew-2862253,A,Balsaminaceae,,Impatiens,,"burtonii",,"","Hook.f.",Accepted,,M,WCSP (in review),980878,374006-1,"J. Proc. Linn. Soc., Bot.","7: 187","","1864"
