ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-360630,A,Basellaceae,,Anredera,,"aspera",,"","Sperling",Accepted,,H,WCSP,360630,303718-2,"Phytologia","79: 3","","1995 publ. 1996"
kew-360631,A,Basellaceae,,Anredera,,"baselloides",,"","(Kunth) Baill.",Accepted,,H,WCSP,360631,14548-2,"Hist. Pl.","9: 147","","1888"
kew-360633,A,Basellaceae,,Anredera,,"brachystachys",,"","(Moq.) Sperling",Accepted,,H,WCSP,360633,1137258-2,"Phytologia","79: 3","","1995 publ. 1996"
kew-360634,A,Basellaceae,,Anredera,,"cordifolia",,"","(Ten.) Steenis",Accepted,,H,WCSP,360634,,"in Fl. Males.","5: 303","","1957"
kew-360637,A,Basellaceae,,Anredera,,"densiflora",,"","Sperling",Accepted,,H,WCSP,360637,302771-2,"Phytologia","79: 2","","1995 publ. 1996"
kew-360638,A,Basellaceae,,Anredera,,"diffusa",,"","(Moq.) Sperling",Accepted,,H,WCSP,360638,974500-1,"Monogr. Syst. Bot. Missouri Bot. Gard.","45: 1253","","1993"
kew-360640,A,Basellaceae,,Anredera,,"floribunda",,"","(Moq.) Sperling",Accepted,,H,WCSP,360640,1161054-2,"Phytologia","79: 2","","1995 publ. 1996"
kew-360641,A,Basellaceae,,Anredera,,"krapovickasii",,"","(Villa) Sperling",Accepted,,H,WCSP,360641,1159706-2,"Phytologia","79: 3","","1995 publ. 1996"
kew-360643,A,Basellaceae,,Anredera,,"marginata",,"","(Kunth) Sperling",Accepted,,H,WCSP,360643,974501-1,"Monogr. Syst. Bot. Missouri Bot. Gard.","45: 1253","","1993"
kew-360645,A,Basellaceae,,Anredera,,"ramosa",,"","(Moq.) Eliasson",Accepted,,H,WCSP,360645,14551-2,"Madroño","20: 266","","1970"
kew-371029,A,Basellaceae,,Anredera,,"ramosa",subsp.,"ramosa","",Accepted,,L,WCSP,371029,,"Unknown","","",""
kew-360650,A,Basellaceae,,Anredera,,"tucumanensis",,"","(Lillo & Hauman) Sperling",Accepted,,H,WCSP,360650,1017974-2,"Phytologia","79: 3","","1995 publ. 1996"
kew-360651,A,Basellaceae,,Anredera,,"vesicaria",,"","(Lam.) C.F.Gaertn.",Accepted,,H,WCSP,360651,1153747-2,"Suppl. Carp.","3: 176","","1807"
kew-360840,A,Basellaceae,,Basella,,"alba",,"","L.",Accepted,,H,WCSP,360840,164286-1,"Sp. Pl.","272","","1753"
kew-360847,A,Basellaceae,,Basella,,"excavata",,"","Elliot",Accepted,,H,WCSP,360847,164291-1,"J. Linn. Soc., Bot.","29: 44","","1891"
kew-360851,A,Basellaceae,,Basella,,"leandriana",,"","H.Perrier",Accepted,,H,WCSP,360851,104070-1,"Notul. Syst. (Paris)","14: 54","","1950"
kew-360853,A,Basellaceae,,Basella,,"madagascariensis",,"","Boivin ex H.Perrier",Accepted,,H,WCSP,360853,104071-1,"Notul. Syst. (Paris)","14: 55","","1950"
kew-360858,A,Basellaceae,,Basella,,"paniculata",,"","Volkens",Accepted,,H,WCSP,360858,164300-1,"Bot. Jahrb. Syst.","38: 81","","1906"
kew-358076,A,Basellaceae,,Tournonia,,"hookeriana",,"","Moq.",Accepted,,H,WCSP,358076,167620-1,"Prodr.","13(2): 225","","1849"
kew-358073,A,Basellaceae,,Ullucus,,"tuberosus",,"","Caldas",Accepted,,H,WCSP,358073,167633-1,"Seman. Nuov. Granad.","185","","1809"
