ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-360868,A,Begoniaceae,,Begonia,,"abbottii",,"","Urb.",Accepted,,H,WCSP,360868,30363-2,"Repert. Spec. Nov. Regni Veg.","18: 192","","1922"
kew-360869,A,Begoniaceae,,Begonia,,"abdullahpieei",,"","Kiew",Accepted,,H,WCSP,360869,77067411-1,"Begonias Peninsular Malaysia","252","","2005"
kew-360870,A,Begoniaceae,,Begonia,,"aberrans",,"","Irmsch.",Accepted,,H,WCSP,360870,104103-1,"Webbia","9: 483","","1954"
kew-360871,A,Begoniaceae,,Begonia,,"aborensis",,"","Dunn",Accepted,,H,WCSP,360871,104104-1,"Bull. Misc. Inform. Kew","1920: 109","","1920"
kew-360873,A,Begoniaceae,,Begonia,,"acaulis",,"","Merr. & L.M.Perry",Accepted,,H,WCSP,360873,104106-1,"J. Arnold Arbor.","24: 43","","1943"
kew-360874,A,Begoniaceae,,Begonia,,"acerifolia",,"","Kunth",Accepted,,H,WCSP,360874,104107-1,"Nov. Gen. Sp.","7: 186","","1825"
kew-360875,A,Begoniaceae,,Begonia,,"aceroides",,"","Irmsch.",Accepted,,H,WCSP,360875,104108-1,"Bot. Jahrb. Syst.","76: 100","","1953"
kew-360876,A,Begoniaceae,,Begonia,,"acetosa",,"","Vell.",Accepted,,H,WCSP,360876,104109-1,"Fl. Flumin.","10: t. 50","","1831"
kew-360877,A,Begoniaceae,,Begonia,,"acetosella",,"","Craib",Accepted,,H,WCSP,360877,327431-2,"Bull. Misc. Inform. Kew","1912: 153","","1912"
kew-371046,A,Begoniaceae,,Begonia,,"acetosella",var.,"acetosella","",Accepted,,L,WCSP,371046,,"Unknown","","",""
kew-360879,A,Begoniaceae,,Begonia,,"acida",,"","Vell.",Accepted,,H,WCSP,360879,104111-1,"Fl. Flumin.","10: t. 49","","1831"
kew-360881,A,Begoniaceae,,Begonia,,"aconitifolia",,"","A.DC.",Accepted,,H,WCSP,360881,104113-1,"Ann. Sci. Nat., Bot.","IV, 11: 127","","1859"
kew-360885,A,Begoniaceae,,Begonia,,"acuminatissima",,"","Merr.",Accepted,,H,WCSP,360885,104117-1,"Philipp. J. Sci., C","6: 395","","1911 publ. 1912"
kew-360887,A,Begoniaceae,,Begonia,,"acutifolia",,"","Jacq.",Accepted,,H,WCSP,360887,317883-2,"Collectanea","1: 122","","1786"
kew-360890,A,Begoniaceae,,Begonia,,"acutiloba",,"","Liebm.",Accepted,,H,WCSP,360890,,"Mexic. Begon.","14","","1852"
kew-360891,A,Begoniaceae,,Begonia,,"acutitepala",,"","K.Y.Guan & D.K.Tian",Accepted,,H,WCSP,360891,1014341-1,"Acta Bot. Yunnan.","22: 129","","2000"
kew-360892,A,Begoniaceae,,Begonia,,"adenodes",,"","Irmsch.",Accepted,,H,WCSP,360892,104123-1,"Webbia","9: 478","","1954"
kew-360893,A,Begoniaceae,,Begonia,,"adenopoda",,"","Lem.",Accepted,,H,WCSP,360893,104124-1,"Jard. Fleur.","2(Misc.): 17","","1857"
kew-360894,A,Begoniaceae,,Begonia,,"adenostegia",,"","Stapf",Accepted,,H,WCSP,360894,104125-1,"Trans. Linn. Soc. London, Bot.","4: 164","","1894"
kew-360896,A,Begoniaceae,,Begonia,,"admirabilis",,"","Brade",Accepted,,H,WCSP,360896,30365-2,"Arch. Jard. Bot. Rio de Janeiro","10: 136","","1950"
kew-360899,A,Begoniaceae,,Begonia,,"adpressa",,"","Sosef",Accepted,,H,WCSP,360899,960981-1,"Agric. Univ. Wageningen Pap.","91(4): 126","","1991 publ. 1992"
kew-360900,A,Begoniaceae,,Begonia,,"adscendens",,"","C.B.Clarke",Accepted,,H,WCSP,360900,104130-1,"J. Linn. Soc., Bot.","25: 26","","1889"
kew-360901,A,Begoniaceae,,Begonia,,"aenea",,"","Linden & André",Accepted,,H,WCSP,360901,,"Cat. Gén.","87: 2","","1871"
kew-360902,A,Begoniaceae,,Begonia,,"aequata",,"","A.Gray",Accepted,,H,WCSP,360902,104131-1,"U.S. Expl. Exped., Phan.","1: 658","","1854"
kew-360903,A,Begoniaceae,,Begonia,,"aequatorialis",,"","L.B.Sm. & B.G.Schub.",Accepted,,H,WCSP,360903,30366-2,"Lloydia","13: 85","","1950"
kew-360904,A,Begoniaceae,,Begonia,,"aequilateralis",,"","Irmsch.",Accepted,,H,WCSP,360904,104133-1,"Mitt. Inst. Allg. Bot. Hamburg","8: 134","","1929"
kew-360905,A,Begoniaceae,,Begonia,,"aeranthos",,"","L.B.Sm. & B.G.Schub.",Accepted,,H,WCSP,360905,30367-2,"Mem. New York Bot. Gard.","8: 36","","1952"
kew-360906,A,Begoniaceae,,Begonia,,"affinis",,"","Merr.",Accepted,,H,WCSP,360906,104135-1,"Philipp. J. Sci., C","7: 308","","1912"
