ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-6246,A,Betulaceae,,Alnus,,"acuminata",,"","Kunth",Accepted,,H,WCSP,6246,294882-1,"Nov. Gen. Sp.","2: 20","","1817"
kew-6247,A,Betulaceae,,Alnus,,"acuminata",subsp.,"acuminata","",Accepted,,L,WCSP,6247,,"Unknown","","",""
kew-6248,A,Betulaceae,,Alnus,,"acuminata",subsp.,"arguta","(Schltdl.) Furlow",Accepted,,L,WCSP,6248,9382-2,"Ann. Missouri Bot. Gard.","63: 380","","1976 publ. 1977"
kew-6251,A,Betulaceae,,Alnus,,"acuminata",subsp.,"glabrata","(Fernald) Furlow",Accepted,,L,WCSP,6251,9383-2,"Ann. Missouri Bot. Gard.","63: 381","","1976 publ. 1977"
kew-6294,A,Betulaceae,,Alnus,,"cordata",,"","(Loisel.) Duby",Accepted,,H,WCSP,6294,,"Bot. Gall.","1: 423","","1828"
kew-6302,A,Betulaceae,,Alnus,,"cremastogyne",,"","Burkill",Accepted,,H,WCSP,6302,294905-1,"J. Linn. Soc., Bot.","26: 499","","1890"
kew-6321,A,Betulaceae,,Alnus,×,"elliptica",,"","Req.",Accepted,,H,WCSP,6321,294912-1,"Ann. Sci. Nat. (Paris)","5: 381","","1825"
kew-6324,A,Betulaceae,,Alnus,×,"fallacina",,"","Callier",Accepted,,H,WCSP,6324,107659-1,"Repert. Spec. Nov. Regni Veg.","10: 232","","1911"
kew-6325,A,Betulaceae,,Alnus,,"fauriei",,"","H.Lév. & Vaniot",Accepted,,H,WCSP,6325,294915-1,"Bull. Soc. Bot. France","51: 423","","1904"
kew-6329,A,Betulaceae,,Alnus,,"ferdinandi-coburgii",,"","C.K.Schneid.",Accepted,,H,WCSP,6329,107660-1,"Bot. Gaz.","64: 147","","1917"
kew-6338,A,Betulaceae,,Alnus,,"firma",,"","Siebold & Zucc.",Accepted,,H,WCSP,6338,294920-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 230","","1845"
kew-6344,A,Betulaceae,,Alnus,,"formosana",,"","(Burkill) Makino",Accepted,,H,WCSP,6344,107662-1,"Bot. Mag. (Tokyo)","26: 390","","1912"
kew-6364,A,Betulaceae,,Alnus,,"glutinosa",,"","(L.) Gaertn.",Accepted,,H,WCSP,6364,30036759-2,"Fruct. Sem. Pl.","2: 54","","1790"
kew-6370,A,Betulaceae,,Alnus,,"glutinosa",subsp.,"barbata","(C.A.Mey.) Yalt.",Accepted,,L,WCSP,6370,,"Notes Roy. Bot. Gard. Edinburgh","28: 15","","1967"
kew-6376,A,Betulaceae,,Alnus,,"glutinosa",subsp.,"glutinosa","",Accepted,,L,WCSP,6376,,"Unknown","","",""
tro-100145109,A,Betulaceae,,Alnus,,"glutinosa",var.,"incisa","(Willd.) Regel",Accepted,,L,TRO,100145109,,"Bull. Soc. Imp. Naturalistes Moscou","38(2): 431","431","1865"
tro-100145110,A,Betulaceae,,Alnus,,"glutinosa",var.,"laciniata","(Willd.) Regel",Accepted,,L,TRO,100145110,,"Bull. Soc. Imp. Naturalistes Moscou","38(2): 431","431","1865"
kew-6403,A,Betulaceae,,Alnus,,"glutipes",,"","(Jarm. ex Czerpek) Vorosch.",Accepted,,H,WCSP,6403,107665-1,"Fl. Sovetsk. Dal'n. Vost.","152","","1966"
kew-6405,A,Betulaceae,,Alnus,,"hakkodensis",,"","Hayashi",Accepted,,H,WCSP,6405,,"Bull. Gov. Forest Exp. Sta.","57: 153","","1952"
kew-6406,A,Betulaceae,,Alnus,×,"hanedae",,"","Suyinata",Accepted,,H,WCSP,6406,,"New Keys Jap. Trees","457","","1961"
kew-6409,A,Betulaceae,,Alnus,,"henryi",,"","C.K.Schneid.",Accepted,,H,WCSP,6409,107669-1,"Pl. Wilson.","2: 495","","1916"
kew-6410,A,Betulaceae,,Alnus,,"hirsuta",,"","(Spach) Rupr.",Accepted,,H,WCSP,6410,,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","15: 376","","1857"
kew-6414,A,Betulaceae,,Alnus,×,"hosoii",,"","Mizush.",Accepted,,H,WCSP,6414,107671-1,"J. Jap. Bot.","32: 1","","1957"
kew-6417,A,Betulaceae,,Alnus,,"incana",,"","(L.) Moench",Accepted,,H,WCSP,6417,30106706-2,"Methodus","424","","1794"
kew-6432,A,Betulaceae,,Alnus,,"incana",subsp.,"incana","",Accepted,,L,WCSP,6432,,"Unknown","","",""
kew-6435,A,Betulaceae,,Alnus,,"incana",subsp.,"kolaensis","(Orlova) Á.Löve & D.Löve",Accepted,,L,WCSP,6435,,"Bot. Not.","114: 51","","1961"
kew-6448,A,Betulaceae,,Alnus,,"incana",subsp.,"rugosa","(Du Roi) R.T.Clausen",Accepted,,L,WCSP,6448,9423-2,"Cornell Univ. Agric. Exp. Sta. Mem.","291: 8","","1949"
kew-6453,A,Betulaceae,,Alnus,,"incana",subsp.,"tenuifolia","(Nutt.) Breitung",Accepted,,L,WCSP,6453,9425-2,"Amer. Midl. Naturalist","58: 25","","1957"
kew-6471,A,Betulaceae,,Alnus,,"japonica",,"","(Thunb.) Steud.",Accepted,,H,WCSP,6471,294936-1,"Nomencl. Bot.","ed. 2, 1: 55","","1840"
kew-6476,A,Betulaceae,,Alnus,,"jorullensis",,"","Kunth",Accepted,,H,WCSP,6476,294937-1,"Nov. Gen. Sp.","2: 20","","1817"
kew-6484,A,Betulaceae,,Alnus,,"jorullensis",subsp.,"jorullensis","",Accepted,,L,WCSP,6484,,"Unknown","","",""
kew-6486,A,Betulaceae,,Alnus,,"jorullensis",subsp.,"lutea","Furlow",Accepted,,L,WCSP,6486,9432-2,"Ann. Missouri Bot. Gard.","63: 381","","1976 publ. 1977"
kew-6496,A,Betulaceae,,Alnus,,"lanata",,"","Duthie ex Bean",Accepted,,H,WCSP,6496,107679-1,"Bull. Misc. Inform. Kew","1913: 164","","1913"
kew-6506,A,Betulaceae,,Alnus,,"mairei",,"","H.Lév.",Accepted,,H,WCSP,6506,107680-1,"Bull. Acad. Int. Géogr. Bot.","23: 283","","1914"
kew-6507,A,Betulaceae,,Alnus,,"mandshurica",,"","(Callier) Hand.-Mazz.",Accepted,,H,WCSP,6507,,"Oesterr. Bot. Z.","81: 306","","1932"
kew-6509,A,Betulaceae,,Alnus,,"maritima",,"","(Marshall) Muhl. ex Nutt.",Accepted,,H,WCSP,6509,9436-2,"N. Amer. Sylv.","1: 34","","1842"
kew-6516,A,Betulaceae,,Alnus,,"matsumurae",,"","Callier",Accepted,,H,WCSP,6516,107682-1,"Repert. Spec. Nov. Regni Veg.","10: 234","","1911"
kew-6518,A,Betulaceae,,Alnus,,"maximowiczii",,"","Callier",Accepted,,H,WCSP,6518,,"Ill. Handb. Laubholzk.","1: 122","","1904"
kew-342847,A,Betulaceae,,Alnus,×,"mayrii",,"","Callier",Accepted,,H,WCSP,342847,,"Ill. Handb. Laubholzk.","1: 126","","1904"
kew-6533,A,Betulaceae,,Alnus,,"nepalensis",,"","D.Don",Accepted,,H,WCSP,6533,294958-1,"Prodr. Fl. Nepal.","58","","1825"
kew-6538,A,Betulaceae,,Alnus,,"nitida",,"","(Spach) Endl.",Accepted,,H,WCSP,6538,294962-1,"Gen. Pl.","Suppl. 4(2): 20","","1847"
