ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-320890,A,Bignoniaceae,,Adenocalymma,,"adenophorum",,"","(Sandwith) L.G.Lohmann",Accepted,,H,iPlants,320890,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320891,A,Bignoniaceae,,Adenocalymma,,"album",,"","(Aubl.) L.G.Lohmann",Accepted,,H,iPlants,320891,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320892,A,Bignoniaceae,,Adenocalymma,,"allamandiflorum",,"","(Bureau ex K.Schum.) L.G.Lohmann",Accepted,,H,iPlants,320892,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319321,A,Bignoniaceae,,Adenocalymma,,"apparicianum",,"","J.C.Gomes",Accepted,,H,iPlants,319321,4265-2,"Arch. Jard. Bot. Rio de Janeiro","9: 223","","1949"
kew-319322,A,Bignoniaceae,,Adenocalymma,,"apurense",,"","(Kunth) Sandwith",Accepted,,H,iPlants,319322,4266-2,"Lilloa","3: 461","","1938"
kew-319323,A,Bignoniaceae,,Adenocalymma,,"arthropetiolatum",,"","A.H.Gentry",Accepted,,H,iPlants,319323,4267-2,"Ann. Missouri Bot. Gard.","60: 789","","1973 publ. 1974"
kew-320893,A,Bignoniaceae,,Adenocalymma,,"aspericarpum",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320893,77100434-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-320894,A,Bignoniaceae,,Adenocalymma,,"axillarum",,"","(K.Schum.) L.G.Lohmann",Accepted,,H,iPlants,320894,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320900,A,Bignoniaceae,,Adenocalymma,,"bipinnatum",,"","(S.Moore) L.G.Lohmann",Accepted,,H,iPlants,320900,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320901,A,Bignoniaceae,,Adenocalymma,,"biternatum",,"","(A.Samp.) L.G.Lohmann",Accepted,,H,iPlants,320901,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319328,A,Bignoniaceae,,Adenocalymma,,"bracteatum",,"","(Cham.) DC.",Accepted,,H,iPlants,319328,108107-1,"Prodr.","9: 200","","1845"
kew-319329,A,Bignoniaceae,,Adenocalymma,,"bracteolatum",,"","DC.",Accepted,,H,iPlants,319329,108108-1,"Prodr.","9: 200","","1845"
kew-320902,A,Bignoniaceae,,Adenocalymma,,"bracteosum",,"","(DC.) L.G.Lohmann",Accepted,,H,iPlants,320902,77100435-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-319330,A,Bignoniaceae,,Adenocalymma,,"bullatum",,"","Bureau & K.Schum.",Accepted,,H,iPlants,319330,108110-1,"Nat. Pflanzenfam.","4(3b): 214","","1894"
kew-320903,A,Bignoniaceae,,Adenocalymma,,"campicola",,"","(Pilg.) L.G.Lohmann",Accepted,,H,iPlants,320903,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319333,A,Bignoniaceae,,Adenocalymma,,"chocoense",,"","A.H.Gentry",Accepted,,H,iPlants,319333,271589-2,"Phytologia","57: 240","","1985"
kew-320904,A,Bignoniaceae,,Adenocalymma,,"cidii",,"","(A.H.Gentry ex Hauk) L.G.Lohmann",Accepted,,H,iPlants,320904,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320886,A,Bignoniaceae,,Adenocalymma,,"cladotrichum",,"","(Sandwith) L.G.Lohmann",Accepted,,H,iPlants,320886,77100436-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-319336,A,Bignoniaceae,,Adenocalymma,,"comosum",,"","(Cham.) DC.",Accepted,,H,iPlants,319336,108111-1,"Prodr.","9: 201","","1845"
kew-320905,A,Bignoniaceae,,Adenocalymma,,"contractum",,"","(A.H.Gentry ex Hauk) L.G.Lohmann",Accepted,,H,iPlants,320905,77100437-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-319341,A,Bignoniaceae,,Adenocalymma,,"coriaceum",,"","A.DC.",Accepted,,H,iPlants,319341,108112-1,"Prodr.","9: 202","","1845"
kew-320906,A,Bignoniaceae,,Adenocalymma,,"croatii",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320906,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319343,A,Bignoniaceae,,Adenocalymma,,"cymbalum",,"","(Cham.) Bureau & K.Schum.",Accepted,,H,iPlants,319343,4282-2,"Fl. Bras.","8(2): 112","","1896"
kew-319345,A,Bignoniaceae,,Adenocalymma,,"dichilum",,"","A.H.Gentry",Accepted,,H,iPlants,319345,303473-2,"Novon","3: 137","","1993"
kew-319346,A,Bignoniaceae,,Adenocalymma,,"divaricatum",,"","Miers",Accepted,,H,iPlants,319346,108116-1,"Ann. Mag. Nat. Hist.","III, 7: 390","","1861"
kew-319347,A,Bignoniaceae,,Adenocalymma,,"dugandii",,"","Sandwith",Accepted,,H,iPlants,319347,4284-2,"Kew Bull.","8: 479","","1953 publ. 1954"
kew-319348,A,Bignoniaceae,,Adenocalymma,,"dusenii",,"","Kraenzl.",Accepted,,H,iPlants,319348,4285-2,"Repert. Spec. Nov. Regni Veg.","17: 115","","1921"
kew-320895,A,Bignoniaceae,,Adenocalymma,,"flaviflorum",,"","(Miq.) L.G.Lohmann",Accepted,,H,iPlants,320895,77100438-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-319352,A,Bignoniaceae,,Adenocalymma,,"flavum",,"","Mart. ex DC.",Accepted,,H,iPlants,319352,108118-1,"Prodr.","9: 202","","1845"
kew-319357,A,Bignoniaceae,,Adenocalymma,,"fruticosum",,"","A.H.Gentry",Accepted,,H,iPlants,319357,303765-2,"Novon","3: 137","","1993"
kew-319359,A,Bignoniaceae,,Adenocalymma,,"gracielzae",,"","A.H.Gentry",Accepted,,H,iPlants,319359,300430-2,"Novon","3: 138","","1993"
kew-319365,A,Bignoniaceae,,Adenocalymma,,"hatschbachii",,"","A.H.Gentry",Accepted,,H,iPlants,319365,302305-2,"Novon","3: 139","","1993"
kew-319367,A,Bignoniaceae,,Adenocalymma,,"heterophyllum",,"","Kraenzl.",Accepted,,H,iPlants,319367,4299-2,"Notizbl. Königl. Bot. Gart. Berlin","6: 372","","1915"
kew-319370,A,Bignoniaceae,,Adenocalymma,,"hirtum",,"","(Mart. ex DC.) Bureau & K.Schum.",Accepted,,H,iPlants,319370,4302-2,"Fl. Bras.","8(2): 100","","1896"
kew-319372,A,Bignoniaceae,,Adenocalymma,,"hypostictum",,"","Bureau & K.Schum.",Accepted,,H,iPlants,319372,4304-2,"Fl. Bras.","8(2): 99","","1896"
kew-320896,A,Bignoniaceae,,Adenocalymma,,"imperatoris-maximilianii",,"","(Wawra) L.G.Lohmann",Accepted,,H,iPlants,320896,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319373,A,Bignoniaceae,,Adenocalymma,,"impressum",,"","(Rusby) Sandwith",Accepted,,H,iPlants,319373,4305-2,"Recueil Trav. Bot. Néerl.","34: 212","","1937"
kew-319374,A,Bignoniaceae,,Adenocalymma,,"inundatum",,"","Mart. ex DC.",Accepted,,H,iPlants,319374,108127-1,"Prodr.","9: 201","","1845"
kew-320907,A,Bignoniaceae,,Adenocalymma,,"involucratum",,"","(Bureau & K.Schum.) L.G.Lohmann",Accepted,,H,iPlants,320907,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320908,A,Bignoniaceae,,Adenocalymma,,"juliae",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320908,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320909,A,Bignoniaceae,,Adenocalymma,,"longilineum",,"","(A.Samp.) L.G.Lohmann",Accepted,,H,iPlants,320909,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319388,A,Bignoniaceae,,Adenocalymma,,"magdalenense",,"","Dugand",Accepted,,H,iPlants,319388,4313-2,"Caldasia","4: 61","","1946"
kew-319389,A,Bignoniaceae,,Adenocalymma,,"magnificum",,"","Mart. ex DC.",Accepted,,H,iPlants,319389,108138-1,"Prodr.","9: 202","","1845"
kew-319391,A,Bignoniaceae,,Adenocalymma,,"magnoalatum",,"","Scud.",Accepted,,H,iPlants,319391,320444-2,"Novon","10: 234","","2000"
kew-319392,A,Bignoniaceae,,Adenocalymma,,"marginatum",,"","(Cham.) DC.",Accepted,,H,iPlants,319392,108139-1,"Prodr.","9: 200","","1845"
kew-320910,A,Bignoniaceae,,Adenocalymma,,"mollis",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320910,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320911,A,Bignoniaceae,,Adenocalymma,,"moringifolium",,"","(DC.) L.G.Lohmann",Accepted,,H,iPlants,320911,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-316979,A,Bignoniaceae,,Adenocalymma,,"neoflavidum",,"","L.G.Lohmann",Accepted,,H,iPlants,316979,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319397,A,Bignoniaceae,,Adenocalymma,,"nervosum",,"","Bureau & K.Schum.",Accepted,,H,iPlants,319397,4322-2,"Fl. Bras.","8(2): 95","","1896"
kew-320912,A,Bignoniaceae,,Adenocalymma,,"nodosum",,"","(Silva Manso) L.G.Lohmann",Accepted,,H,iPlants,320912,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320913,A,Bignoniaceae,,Adenocalymma,,"patulum",,"","(Miers) L.G.Lohmann",Accepted,,H,iPlants,320913,77100439-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-320914,A,Bignoniaceae,,Adenocalymma,,"paucifoliolatum",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320914,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319403,A,Bignoniaceae,,Adenocalymma,,"paulistarum",,"","Bureau & K.Schum.",Accepted,,H,iPlants,319403,108146-1,"Nat. Pflanzenfam.","4(3b): 214","","1894"
kew-320915,A,Bignoniaceae,,Adenocalymma,,"pedunculatum",,"","(Vell.) L.G.Lohmann",Accepted,,H,iPlants,320915,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320916,A,Bignoniaceae,,Adenocalymma,,"peregrinum",,"","(Miers) L.G.Lohmann",Accepted,,H,iPlants,320916,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319409,A,Bignoniaceae,,Adenocalymma,,"prancei",,"","A.H.Gentry",Accepted,,H,iPlants,319409,4332-2,"Ann. Missouri Bot. Gard.","65: 725","","1978 publ. 1979"
kew-317208,A,Bignoniaceae,,Adenocalymma,,"pseudopatulum",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,317208,77100440-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-320918,A,Bignoniaceae,,Adenocalymma,,"pubescens",,"","(Spreng.) L.G.Lohmann",Accepted,,H,iPlants,320918,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319413,A,Bignoniaceae,,Adenocalymma,,"purpurascens",,"","Rusby",Accepted,,H,iPlants,319413,4334-2,"Descr. S. Amer. Pl.","121","","1920"
kew-320919,A,Bignoniaceae,,Adenocalymma,,"racemosum",,"","(A.H.Gentry) L.G.Lohmann",Accepted,,H,iPlants,320919,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-320887,A,Bignoniaceae,,Adenocalymma,,"reticulatum",,"","Bureau ex K.Schum.",Accepted,,H,iPlants,320887,108153-1,"Nat. Pflanzenfam.","4(3b): 214","","1894"
kew-319416,A,Bignoniaceae,,Adenocalymma,,"salmoneum",,"","J.C.Gomes",Accepted,,H,iPlants,319416,4337-2,"Dusenia","2: 314","","1951"
kew-319417,A,Bignoniaceae,,Adenocalymma,,"salzmannii",,"","DC.",Accepted,,H,iPlants,319417,108155-1,"Prodr.","9: 200","","1845"
kew-320920,A,Bignoniaceae,,Adenocalymma,,"sastrei",,"","(A.H.Gentry ex Hauk) L.G.Lohmann",Accepted,,H,iPlants,320920,,"Ann. Missouri Bot. Gard.","","","(2010) in press"
kew-319418,A,Bignoniaceae,,Adenocalymma,,"saulense",,"","A.H.Gentry",Accepted,,H,iPlants,319418,303766-2,"Novon","3: 140","","1993"
kew-319419,A,Bignoniaceae,,Adenocalymma,,"scabriusculum",,"","Mart. ex DC.",Accepted,,H,iPlants,319419,108156-1,"Prodr.","9: 201","","1845"
kew-319420,A,Bignoniaceae,,Adenocalymma,,"scansile",,"","Miers",Accepted,,H,iPlants,319420,108157-1,"Ann. Mag. Nat. Hist.","III, 7: 388","","1861"
kew-320921,A,Bignoniaceae,,Adenocalymma,,"schomburgkii",,"","(DC.) L.G.Lohmann",Accepted,,H,iPlants,320921,77100441-1,"Nuevo Cat. Fl. Vasc. Venezuela","270","","2008"
kew-319424,A,Bignoniaceae,,Adenocalymma,,"sousae",,"","A.H.Gentry",Accepted,,H,iPlants,319424,899090-1,"in Fl. Veracruz","24: 22","","1982"
kew-319428,A,Bignoniaceae,,Adenocalymma,,"subincanum",,"","Huber",Accepted,,H,iPlants,319428,4342-2,"Bull. Soc. Bot. Genève","6: 201","","1914 publ. 1915"
