ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-8046,A,Bixaceae,,Amoreuxia,,"gonzalezii",,"","Sprague & L.Riley",Accepted,,H,WCSP,8046,11400-2,"Bull. Misc. Inform. Kew","1922: 102","","1922"
kew-8047,A,Bixaceae,,Amoreuxia,,"malvifolia",,"","A.Gray",Accepted,,H,WCSP,8047,,"Pl. Wright.","1: 29","","1852"
kew-8048,A,Bixaceae,,Amoreuxia,,"palmatifida",,"","Moc. & Sessé ex DC.",Accepted,,H,WCSP,8048,11403-2,"Prodr.","2: 638","","1825"
kew-8052,A,Bixaceae,,Amoreuxia,,"wrightii",,"","A.Gray",Accepted,,H,WCSP,8052,,"Pl. Wright.","2: 26","","1853"
kew-22270,A,Bixaceae,,Bixa,,"arborea",,"","Huber",Accepted,,H,WCSP,22270,111492-1,"Bol. Mus. Goeldi Hist. Nat. Ethnogr.","6: 87","","1910"
kew-22271,A,Bixaceae,,Bixa,,"excelsa",,"","Gleason & Krukoff",Accepted,,H,WCSP,22271,33334-2,"Phytologia","1: 107","","1934"
kew-22274,A,Bixaceae,,Bixa,,"orellana",,"","L.",Accepted,,H,WCSP,22274,33335-2,"Sp. Pl.","512","","1753"
kew-22278,A,Bixaceae,,Bixa,,"platycarpa",,"","Ruiz & Pav. ex G.Don",Accepted,,H,WCSP,22278,,"Gen. Hist.","1: 294","","1831"
kew-22282,A,Bixaceae,,Bixa,,"urucurana",,"","Willd.",Accepted,,H,WCSP,22282,111504-1,"Enum. Pl.","565","","1809"
kew-44522,A,Bixaceae,,Cochlospermum,,"angolense",,"","Welw. ex Oliv.",Accepted,,H,WCSP,44522,,"Fl. Trop. Afr.","1: 113","","1868"
kew-44526,A,Bixaceae,,Cochlospermum,,"fraseri",,"","Planch.",Accepted,,H,WCSP,44526,111523-1,"London J. Bot.","6: 307","","1847"
kew-44528,A,Bixaceae,,Cochlospermum,,"fraseri",subsp.,"heteroneurum","(F.Muell.) Poppend.",Accepted,,L,WCSP,44528,,"Bot. Jahrb. Syst.","101: 240","","1980"
kew-44529,A,Bixaceae,,Cochlospermum,,"gillivraei",,"","Benth.",Accepted,,H,WCSP,44529,111524-1,"Fl. Austral.","1: 106","","1863"
kew-44531,A,Bixaceae,,Cochlospermum,,"gillivraei",subsp.,"gregorii","(F.Muell.) Poppend.",Accepted,,L,WCSP,44531,876319-1,"Bot. Jahrb. Syst.","101: 237","","1980"
kew-44540,A,Bixaceae,,Cochlospermum,,"intermedium",,"","Mildbr.",Accepted,,H,WCSP,44540,169693-1,"Bot. Jahrb. Syst.","58: 234","","1923"
kew-331598,A,Bixaceae,,Cochlospermum,,"noldei",,"","Poppend.",Accepted,,H,WCSP,331598,77068381-1,"Sukkulentenforsch. Afrika","225","","2004"
kew-44543,A,Bixaceae,,Cochlospermum,,"orinocense",,"","(Kunth) Steud.",Accepted,,H,WCSP,44543,111532-1,"Nomencl. Bot.","ed. 2, 1: 393","","1840"
kew-44546,A,Bixaceae,,Cochlospermum,,"planchonii",,"","Hook.f. ex Planch.",Accepted,,H,WCSP,44546,111535-1,"London J. Bot.","6: 309","","1847"
kew-44548,A,Bixaceae,,Cochlospermum,,"regium",,"","(Schrank) Pilg.",Accepted,,H,WCSP,44548,62527-2,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 716","","1924"
kew-44549,A,Bixaceae,,Cochlospermum,,"religiosum",,"","(L.) Alston",Accepted,,H,WCSP,44549,169697-1,"Handb. Fl. Ceylon","6(Suppl.): 14","","1931"
kew-44551,A,Bixaceae,,Cochlospermum,,"tetraporum",,"","Hallier f.",Accepted,,H,WCSP,44551,62529-2,"Meded. Rijks-Herb.","19: 39","","1913"
kew-44552,A,Bixaceae,,Cochlospermum,,"tinctorium",,"","Perrier ex A.Rich.",Accepted,,H,WCSP,44552,,"Fl. Seneg. Tent.","99","","1831"
kew-44555,A,Bixaceae,,Cochlospermum,,"vitifolium",,"","(Willd.) Spreng.",Accepted,,H,WCSP,44555,111539-1,"Syst. Veg.","4(2): 206","","1827"
kew-44558,A,Bixaceae,,Cochlospermum,,"wittei",,"","Robyns",Accepted,,H,WCSP,44558,169703-1,"Bull. Jard. Bot. État","33: 418","","1963"
kew-44559,A,Bixaceae,,Cochlospermum,,"wittei",subsp.,"incanum","(Robyns) Poppend.",Accepted,,L,WCSP,44559,876320-1,"Bot. Jahrb. Syst.","101: 233","","1980"
kew-61803,A,Bixaceae,,Diegodendron,,"humbertii",,"","Capuron",Accepted,,H,WCSP,61803,316444-1,"Adansonia","n.s., 3: 386","","1963"
