ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620815,A,Boraginaceae,,Actinocarya,,"acaulis",,"","(W.W.Sm.) I.M.Johnst.",Accepted,,M,WCSP (in review),744683,112660-1,"J. Arnold Arbor.","21: 53","","1940"
kew-2620818,A,Boraginaceae,,Actinocarya,,"tibetica",,"","Benth.",Accepted,,M,WCSP (in review),744686,112662-1,"Gen. Pl.","2: 846","","1876"
kew-2621176,A,Boraginaceae,,Adelocaryum,,"coelestinum",,"","(Lindl.) Brand",Accepted,,M,WCSP (in review),745039,112665-1,"Repert. Spec. Nov. Regni Veg.","13: 549","","1915"
kew-2621179,A,Boraginaceae,,Adelocaryum,,"malabaricum",,"","(C.B.Clarke) Brand",Accepted,,M,WCSP (in review),745042,112668-1,"Repert. Spec. Nov. Regni Veg.","13: 549","","1915"
tro-4000095,A,Boraginaceae,,Aegonychon,,"purpurea-coeruleum",,"","Holub.",Accepted,,M,TRO,4000095,,"","","",""
kew-2624948,A,Boraginaceae,,Afrotysonia,,"africana",,"","(Bolus) Rauschert",Accepted,,L,WCSP (in review),748796,909920-1,"Taxon","31: 558","","1982"
kew-2624949,A,Boraginaceae,,Afrotysonia,,"glochidiata",,"","(R.R.Mill) R.Mill",Accepted,,L,WCSP (in review),748797,943296-1,"Notes Roy. Bot. Gard. Edinburgh","43: 470","","1986"
kew-2624950,A,Boraginaceae,,Afrotysonia,,"pilosicaulis",,"","R.R.Mill",Accepted,,M,WCSP (in review),748798,930741-1,"Notes Roy. Bot. Gard. Edinburgh","43: 472","","1986"
kew-2628454,A,Boraginaceae,,Alkanna,,"amana",,"","Rech.f.",Accepted,,M,WCSP (in review),752280,112679-1,"Ann. Naturhist. Mus. Wien","58: 56","","1951"
kew-2628456,A,Boraginaceae,,Alkanna,,"angustifolia",,"","Sümbül",Accepted,,M,WCSP (in review),752282,958966-1,"Edinburgh J. Bot.","48: 36","","1991"
kew-2628457,A,Boraginaceae,,Alkanna,,"areolata",,"","Boiss.",Accepted,,M,WCSP (in review),752283,112681-1,"Diagn. Pl. Orient.","4: 45","","1844"
kew-2628460,A,Boraginaceae,,Alkanna,,"attilae",,"","P.H.Davis",Accepted,,M,WCSP (in review),752286,112683-1,"Notes Roy. Bot. Gard. Edinburgh","22: 81","","1956"
kew-2628461,A,Boraginaceae,,Alkanna,,"aucheriana",,"","A.DC.",Accepted,,M,WCSP (in review),752287,112684-1,"Prodr.","10: 102","","1846"
kew-2628462,A,Boraginaceae,,Alkanna,,"auranitica",,"","Mouterde",Accepted,,M,WCSP (in review),752288,112685-1,"Fl. Djebel Druze","167","","1953"
kew-2628468,A,Boraginaceae,,Alkanna,,"bracteosa",,"","Boiss.",Accepted,,M,WCSP (in review),752294,112691-1,"Diagn. Pl. Orient.","11: 118","","1849"
kew-2628469,A,Boraginaceae,,Alkanna,,"caliensis",,"","Heldr. ex Boiss.",Accepted,,M,WCSP (in review),752295,112692-1,"Fl. Orient.","Suppl.: 358","","1888"
kew-2628471,A,Boraginaceae,,Alkanna,,"cappadocica",,"","Boiss. & Balansa",Accepted,,M,WCSP (in review),752297,112694-1,"Diagn. Pl. Orient.","II, 6: 123","","1859"
kew-2628472,A,Boraginaceae,,Alkanna,,"confusa",,"","Sam. ex Rech.f.",Accepted,,M,WCSP (in review),752298,112695-1,"Ark. Bot.","a.s., 1: 316","","1950"
kew-2628475,A,Boraginaceae,,Alkanna,,"corcyrensis",,"","Hayek",Accepted,,M,WCSP (in review),752301,112698-1,"Repert. Spec. Nov. Regni Veg. Beih.","30(2): 71","","1928"
kew-2628476,A,Boraginaceae,,Alkanna,,"cordifolia",,"","K.Koch",Accepted,,M,WCSP (in review),752302,112699-1,"Linnaea","22: 640","","1849"
kew-2628477,A,Boraginaceae,,Alkanna,,"dumanii",,"","Sümbül",Accepted,,M,WCSP (in review),752303,958968-1,"Edinburgh J. Bot.","48: 39","","1991"
kew-2628479,A,Boraginaceae,,Alkanna,,"frigida",,"","Boiss.",Accepted,,M,WCSP (in review),752305,112701-1,"Diagn. Pl. Orient.","7: 32","","1846"
kew-2628481,A,Boraginaceae,,Alkanna,,"froedinii",,"","Rech.f.",Accepted,,M,WCSP (in review),752307,112702-1,"Ann. Naturhist. Mus. Wien","55: 13","","1947"
kew-2628482,A,Boraginaceae,,Alkanna,,"galilaea",,"","Boiss.",Accepted,,M,WCSP (in review),752308,112703-1,"Diagn. Pl. Orient.","11: 118","","1849"
kew-2628483,A,Boraginaceae,,Alkanna,,"graeca",,"","Boiss. & Spruner",Accepted,,M,WCSP (in review),752309,112704-1,"Diagn. Pl. Orient.","4: 47","","1844"
kew-2628484,A,Boraginaceae,,Alkanna,,"graeca",subsp.,"baeotica","(A.DC.) Nyman",Accepted,,L,WCSP (in review),752310,,"Consp. Fl. Eur.","517","","1881"
kew-2628487,A,Boraginaceae,,Alkanna,,"haussknechtii",,"","Bornm.",Accepted,,M,WCSP (in review),752313,112705-1,"Oesterr. Bot. Z.","44: 16","","1894"
kew-2628491,A,Boraginaceae,,Alkanna,,"hirsutissima",,"","(Bertol.) A.DC.",Accepted,,M,WCSP (in review),752317,112708-1,"Prodr.","10: 101","","1846"
kew-2628492,A,Boraginaceae,,Alkanna,,"hispida",,"","Hub.-Mor.",Accepted,,M,WCSP (in review),752318,112709-1,"Bauhinia","4: 202","","1971"
kew-2628493,A,Boraginaceae,,Alkanna,,"incana",,"","Boiss.",Accepted,,M,WCSP (in review),752319,112710-1,"Diagn. Pl. Orient.","4: 45","","1844"
kew-2628494,A,Boraginaceae,,Alkanna,×,"intercedens",,"","Rech.f.",Accepted,,M,WCSP (in review),752320,112711-1,"Ann. Naturhist. Mus. Wien","68: 216","","1965"
kew-2628495,A,Boraginaceae,,Alkanna,,"jordanovii",,"","St.Kozhukharov",Accepted,,M,WCSP (in review),752321,,"in Fl. Nar. Republ. Bulgariya","9: 506","","1989"
kew-2628496,A,Boraginaceae,,Alkanna,,"kotschyana",,"","A.DC.",Accepted,,M,WCSP (in review),752322,112712-1,"Prodr.","10: 98","","1846"
kew-2628497,A,Boraginaceae,,Alkanna,,"lehmannii",,"","(Tineo) A.DC.",Accepted,,M,WCSP (in review),752323,112713-1,"Prodr.","10: 588","","1846"
kew-2628498,A,Boraginaceae,,Alkanna,,"leiocarpa",,"","Rech.f.",Accepted,,M,WCSP (in review),752324,112714-1,"Ark. Bot.","a.s., 1: 316","","1950"
kew-2628499,A,Boraginaceae,,Alkanna,,"leptophylla",,"","Rech.f.",Accepted,,M,WCSP (in review),752325,112715-1,"Ann. Naturhist. Mus. Wien","58: 55","","1951"
