ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-294464,A,Boryaceae,,Alania,,"cunninghamii",,"","Steud.",Accepted,,H,WCSP,294464,527304-1,"Nomencl. Bot.","ed. 2, 1: 47","","1840"
kew-300930,A,Boryaceae,,Borya,,"constricta",,"","Churchill",Accepted,,H,WCSP,300930,63227-3,"Muelleria","6: 1","","1985"
kew-300932,A,Boryaceae,,Borya,,"inopinata",,"","P.I.Forst. & E.J.Thomps.",Accepted,,H,WCSP,300932,994169-1,"Austrobaileya","4: 597","","1997"
kew-300933,A,Boryaceae,,Borya,,"jabirabela",,"","Churchill",Accepted,,H,WCSP,300933,932533-1,"in Fl. Australia","45: 468","","1987"
kew-300934,A,Boryaceae,,Borya,,"laciniata",,"","Churchill",Accepted,,H,WCSP,300934,905755-1,"Muelleria","6: 4","","1985"
kew-300935,A,Boryaceae,,Borya,,"longiscapa",,"","Churchill",Accepted,,H,WCSP,300935,63246-3,"in Fl. Australia","45: 468","","1987"
kew-300937,A,Boryaceae,,Borya,,"mirabilis",,"","Churchill",Accepted,,H,WCSP,300937,905756-1,"Muelleria","6: 6","","1985"
kew-300939,A,Boryaceae,,Borya,,"nitida",,"","Labill.",Accepted,,H,WCSP,300939,531940-1,"Nov. Holl. Pl.","1: 81","","1805"
kew-300941,A,Boryaceae,,Borya,,"scirpoidea",,"","Lindl.",Accepted,,H,WCSP,300941,531941-1,"Sketch Veg. Swan R.","57","","1840"
kew-300942,A,Boryaceae,,Borya,,"septentrionalis",,"","F.Muell.",Accepted,,H,WCSP,300942,531942-1,"Fragm.","5: 41","","1865"
kew-300943,A,Boryaceae,,Borya,,"sphaerocephala",,"","R.Br.",Accepted,,H,WCSP,300943,63336-3,"Prodr. Fl. Nov. Holl.","286","","1810"
kew-300945,A,Boryaceae,,Borya,,"subulata",,"","G.A.Gardner",Accepted,,H,WCSP,300945,531945-1,"For. Dept. Bull., W. Austral.","32: 38","","1923"
