ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2624646,A,Brassicaceae,,Aethionema,,"acarii",,"","Gemici & Leblebici",Accepted,,M,WCSP (in review),748501,982510-1,"Candollea","50: 41","","1995"
kew-2624647,A,Brassicaceae,,Aethionema,,"alanyae",,"","H.Duman",Accepted,,M,WCSP (in review),748502,980458-1,"Karaca Arbor. Mag.","2: 172","","1994"
kew-2624650,A,Brassicaceae,,Aethionema,,"arabicum",,"","(L.) Andrz. ex DC.",Accepted,,M,WCSP (in review),748505,1022841-2,"Syst. Nat.","2: 560","","1821"
kew-2624651,A,Brassicaceae,,Aethionema,,"armenum",,"","Boiss.",Accepted,,M,WCSP (in review),748506,277159-1,"Ann. Sci. Nat., Bot.","II, 17: 191","","1842"
kew-2624658,A,Brassicaceae,,Aethionema,,"caespitosum",,"","(Boiss.) Boiss.",Accepted,,M,WCSP (in review),748513,277165-1,"Fl. Orient.","1: 343","","1867"
kew-2624660,A,Brassicaceae,,Aethionema,,"capitatum",,"","Boiss. & Balansa",Accepted,,M,WCSP (in review),748515,277167-1,"Diagn. Pl. Orient.","II, 5: 43","","1856"
kew-2624664,A,Brassicaceae,,Aethionema,,"carlsbergii",,"","Strid & Papan.",Accepted,,M,WCSP (in review),748519,896330-1,"Bot. Not.","133: 521","","1980"
kew-2624665,A,Brassicaceae,,Aethionema,,"carneum",,"","(Banks & Sol.) B.Fedtsch.",Accepted,,M,WCSP (in review),748520,,"Fl. Zap. Tian Shan","176","","1905"
kew-2624666,A,Brassicaceae,,Aethionema,,"cephalanthum",,"","(Bornm.) Bornm.",Accepted,,M,WCSP (in review),748521,,"Beih. Bot. Centralbl.","28(2): 535","","1911"
kew-2624669,A,Brassicaceae,,Aethionema,,"cordatum",,"","(Desf.) Boiss.",Accepted,,M,WCSP (in review),748524,277175-1,"Fl. Orient.","1: 350","","1867"
kew-2624673,A,Brassicaceae,,Aethionema,,"coridifolium",,"","DC.",Accepted,,M,WCSP (in review),748528,277176-1,"Syst. Nat.","2: 561","","1821"
kew-2624677,A,Brassicaceae,,Aethionema,,"demirizii",,"","P.H.Davis & Hedge",Accepted,,M,WCSP (in review),748532,935532-1,"Fl. Turkey","10: 232","","1988"
kew-2624678,A,Brassicaceae,,Aethionema,,"diastrophis",,"","Bunge",Accepted,,M,WCSP (in review),748533,277179-1,"Index Seminum (TU)","1841: 7","","1841"
kew-2624680,A,Brassicaceae,,Aethionema,,"dumanii",,"","Vural & Adigüzel",Accepted,,M,WCSP (in review),748535,1016800-1,"Turkish J. Bot.","19: 481","","1995"
kew-2624681,A,Brassicaceae,,Aethionema,,"edentulum",,"","N.Busch",Accepted,,M,WCSP (in review),748536,277181-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","3: 363","","1937"
kew-2624683,A,Brassicaceae,,Aethionema,,"eunomioides",,"","(Boiss.) Bornm.",Accepted,,M,WCSP (in review),748538,,"Beih. Bot. Centralbl.","28(2): 535","","1911"
kew-2624684,A,Brassicaceae,,Aethionema,,"fimbriatum",,"","Boiss.",Accepted,,M,WCSP (in review),748539,277184-1,"Ann. Sci. Nat., Bot.","II, 17: 193","","1842"
