ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-217372,A,Bromeliaceae,,Acanthostachys,,"pitcairnioides",,"","(Mez) Rauh & Barthlott",Accepted,,H,WCSP,217372,911670-1,"Abh. Math.-Naturwiss. Kl. Akad. Wiss. Mainz","42: 34","","1983"
kew-217373,A,Bromeliaceae,,Acanthostachys,,"strobilacea",,"","(Schult. & Schult.f.) Klotzsch",Accepted,,H,WCSP,217373,121533-1,"Icon. Pl. Rar.","1: 22","","1841"
kew-217790,A,Bromeliaceae,,Aechmea,,"abbreviata",,"","L.B.Sm.",Accepted,,H,WCSP,217790,5334-2,"Phytologia","6: 434","","1959"
kew-217791,A,Bromeliaceae,,Aechmea,,"aciculosa",,"","Mez & Sodiro",Accepted,,H,WCSP,217791,271641-2,"Bull. Herb. Boissier","II, 4: 620","","1904"
kew-217792,A,Bromeliaceae,,Aechmea,,"aculeatosepala",,"","(Rauh & Barthlott) Leme",Accepted,,H,WCSP,217792,1003095-1,"Canistrum - Bromeliads Atlantic Forest","95","","1997"
kew-456099,A,Bromeliaceae,,Aechmea,,"aguadocensis",,"","Leme & L.Kollmann",Accepted,,H,WCSP,456099,60452848-2,"J. Bromeliad Soc.","59: 56","","2009"
kew-217793,A,Bromeliaceae,,Aechmea,,"alba",,"","Mez",Accepted,,H,WCSP,217793,271642-2,"Fl. Bras.","3(3): 375","","1892"
kew-217794,A,Bromeliaceae,,Aechmea,,"alegrensis",,"","W.Weber",Accepted,,H,WCSP,217794,271643-2,"Feddes Repert.","97: 110","","1986"
kew-217795,A,Bromeliaceae,,Aechmea,,"allenii",,"","L.B.Sm.",Accepted,,H,WCSP,217795,5337-2,"Ann. Missouri Bot. Gard.","28: 411","","1941"
kew-217796,A,Bromeliaceae,,Aechmea,,"alopecurus",,"","Mez",Accepted,,H,WCSP,217796,271645-2,"Fl. Bras.","3(3): 367","","1892"
kew-351419,A,Bromeliaceae,,Aechmea,,"amicorum",,"","B.R.Silva & H.Luther",Accepted,,H,WCSP,351419,325412-2,"J. Bromeliad Soc.","52: 221","","2002"
kew-217798,A,Bromeliaceae,,Aechmea,,"amorimii",,"","Leme",Accepted,,H,WCSP,217798,301848-2,"J. Bromeliad Soc.","46: 19","","1996"
kew-217799,A,Bromeliaceae,,Aechmea,,"ampla",,"","L.B.Sm.",Accepted,,H,WCSP,217799,5340-2,"Phytologia","24: 433","","1972"
kew-217803,A,Bromeliaceae,,Aechmea,,"andersoniana",,"","Leme & H.E.Luther",Accepted,,H,WCSP,217803,327153-2,"J. Bromeliad Soc.","53: 3","","2003"
kew-217804,A,Bromeliaceae,,Aechmea,,"andersonii",,"","H.E.Luther & Leme",Accepted,,H,WCSP,217804,315791-2,"J. Bromeliad Soc.","48: 127","","1998"
kew-217806,A,Bromeliaceae,,Aechmea,,"angustifolia",,"","Poepp. & Endl.",Accepted,,H,WCSP,217806,121543-1,"Nov. Gen. Sp. Pl.","2: 43","","1838"
kew-217807,A,Bromeliaceae,,Aechmea,,"anomala",,"","L.B.Sm.",Accepted,,H,WCSP,217807,271647-2,"Caldasia","3: 237","","1945"
kew-217808,A,Bromeliaceae,,Aechmea,,"apocalyptica",,"","Reitz",Accepted,,L,WCSP,217808,271648-2,"Sellowia","14: 99","","1962"
kew-217809,A,Bromeliaceae,,Aechmea,,"aquilega",,"","(Salisb.) Griseb.",Accepted,,H,WCSP,217809,1160033-2,"Fl. Brit. W. I.","592","","1864"
kew-217811,A,Bromeliaceae,,Aechmea,,"aquilega",var.,"aquilega","",Accepted,,L,WCSP,217811,,"Unknown","","",""
kew-217812,A,Bromeliaceae,,Aechmea,,"aquilega",var.,"chrysocoma","(Baker) L.B.Sm.",Accepted,,L,WCSP,217812,5347-2,"Phytologia","8: 219","","1962"
kew-217814,A,Bromeliaceae,,Aechmea,,"araneosa",,"","L.B.Sm.",Accepted,,H,WCSP,217814,5349-2,"Arq. Bot. Estado São Paulo","2(1): 53","","1941"
kew-217815,A,Bromeliaceae,,Aechmea,,"arenaria",,"","(Ule) L.B.Sm. & M.A.Spencer",Accepted,,H,WCSP,217815,1195459-2,"Phytologia","72: 96","","1992"
kew-217816,A,Bromeliaceae,,Aechmea,,"aripoensis",,"","(N.E.Br.) Pittendr.",Accepted,,H,WCSP,217816,,"J. Wash. Acad. Sci.","48: 316","","1958"
kew-372056,A,Bromeliaceae,,Aechmea,,"atrovittata",,"","Leme & J.A.Siqueira",Accepted,,H,WCSP,372056,77089976-1,"Fragm. Atlantic Forest N. E. Brazil","228","","2007"
kew-217821,A,Bromeliaceae,,Aechmea,,"azurea",,"","L.B.Sm.",Accepted,,H,WCSP,217821,5353-2,"Arch. Jard. Bot. Rio de Janeiro","10: 141","","1950"
kew-217822,A,Bromeliaceae,,Aechmea,,"bahiana",,"","L.B.Sm.",Accepted,,H,WCSP,217822,5354-2,"Phytologia","13: 458","","1966"
kew-217823,A,Bromeliaceae,,Aechmea,,"bambusoides",,"","L.B.Sm. & Reitz",Accepted,,H,WCSP,217823,5355-2,"Bull. Bromeliad Soc.","14: 31","","1964"
kew-217829,A,Bromeliaceae,,Aechmea,,"bicolor",,"","L.B.Sm.",Accepted,,H,WCSP,217829,271650-2,"Smithsonian Misc. Collect.","126(1): 12, 213","","1955"
kew-217830,A,Bromeliaceae,,Aechmea,,"biflora",,"","(L.B.Sm.) L.B.Sm. & M.A.Spencer",Accepted,,H,WCSP,217830,1182317-2,"Phytologia","72: 96","","1992"
kew-217832,A,Bromeliaceae,,Aechmea,,"blanchetiana",,"","(Baker) L.B.Sm.",Accepted,,H,WCSP,217832,5361-2,"Smithsonian Misc. Collect.","126(1): 13","","1955"
kew-217835,A,Bromeliaceae,,Aechmea,,"blumenavii",,"","Reitz",Accepted,,H,WCSP,217835,271651-2,"Anais Bot. Herb. ""Barbosa Rodrigues""","4: 21","","1952"
kew-217837,A,Bromeliaceae,,Aechmea,,"bocainensis",,"","E.Pereira & Leme",Accepted,,H,WCSP,217837,271653-2,"Revista Brasil. Biol.","45: 634","","1985 publ. 1986"
kew-217840,A,Bromeliaceae,,Aechmea,,"brachyclada",,"","Baker",Accepted,,H,WCSP,217840,5367-2,"Handb. Bromel.","37","","1889"
kew-217841,A,Bromeliaceae,,Aechmea,,"brachystachys",,"","(Harms) L.B.Sm. & M.A.Spencer",Accepted,,H,WCSP,217841,1014639-2,"Phytologia","72: 97","","1992"
kew-217842,A,Bromeliaceae,,Aechmea,,"bracteata",,"","(Sw.) Griseb.",Accepted,,H,WCSP,217842,121570-1,"Fl. Brit. W. I.","592","","1864"
kew-217846,A,Bromeliaceae,,Aechmea,,"brassicoides",,"","Baker",Accepted,,H,WCSP,217846,121572-1,"J. Bot.","20: 329","","1882"
kew-217847,A,Bromeliaceae,,Aechmea,,"brevicollis",,"","L.B.Sm.",Accepted,,H,WCSP,217847,271654-2,"Contr. Gray Herb.","154: 32","","1945"
kew-217848,A,Bromeliaceae,,Aechmea,,"bromeliifolia",,"","(Rudge) Baker",Accepted,,H,WCSP,217848,,"Gen. Pl.","3: 664","","1883"
kew-376246,A,Bromeliaceae,,Aechmea,,"bromeliifolia",var.,"bromeliifolia","",Accepted,,L,WCSP,376246,,"Unknown","","",""
kew-217853,A,Bromeliaceae,,Aechmea,,"bruggeri",,"","Leme",Accepted,,H,WCSP,217853,306042-2,"Bromélia","3(3): 24","","1996"
kew-217855,A,Bromeliaceae,,Aechmea,,"burle-marxii",,"","E.Pereira",Accepted,,H,WCSP,217855,271655-2,"Bradea","2: 307","","1979"
kew-217858,A,Bromeliaceae,,Aechmea,,"caesia",,"","E.Morren ex Baker",Accepted,,H,WCSP,217858,271656-2,"Handb. Bromel.","43","","1889"
