ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-24842,A,Brunelliaceae,,Brunellia,,"acostae",,"","Cuatrec.",Accepted,,H,WCSP,24842,37446-2,"Phytologia","4: 484","","1954"
kew-24844,A,Brunelliaceae,,Brunellia,,"acutangula",,"","Bonpl.",Accepted,,H,WCSP,24844,813631-1,"Pl. Aequinoct.","1: 216","","1808"
kew-24845,A,Brunelliaceae,,Brunellia,,"almaguerensis",,"","Cuatrec.",Accepted,,H,WCSP,24845,126245-1,"Fl. Neotrop. Monogr.","2: 156","","1970"
kew-24846,A,Brunelliaceae,,Brunellia,,"amayensis",,"","C.I.Orozco",Accepted,,H,WCSP,24846,273527-2,"Caldasia","15(71-75): 177","","1986"
kew-24847,A,Brunelliaceae,,Brunellia,,"antioquensis",,"","(Cuatrec.) Cuatrec.",Accepted,,H,WCSP,24847,942326-1,"Fl. Neotrop. Monogr.","2(Suppl.): 48","","1985"
kew-24848,A,Brunelliaceae,,Brunellia,,"boliviana",,"","Britton ex Rusby",Accepted,,H,WCSP,24848,37448-2,"Mem. Torrey Bot. Club","3(3): 13","","1893"
kew-24849,A,Brunelliaceae,,Brunellia,,"boliviana",var.,"boliviana","",Accepted,,L,WCSP,24849,,"Unknown","","",""
kew-24850,A,Brunelliaceae,,Brunellia,,"boliviana",var.,"brittonii","(Rusby) Cuatrec.",Accepted,,L,WCSP,24850,,"Fl. Neotrop. Monogr.","2(Suppl.): 79","","1985"
kew-24851,A,Brunelliaceae,,Brunellia,,"boqueronensis",,"","Cuatrec.",Accepted,,H,WCSP,24851,37449-2,"Fl. Neotrop. Monogr.","2: 174","","1970"
kew-24852,A,Brunelliaceae,,Brunellia,,"briquetii",,"","Baehni",Accepted,,H,WCSP,24852,37450-2,"Candollea","7: 361","","1938"
kew-24854,A,Brunelliaceae,,Brunellia,,"brunnea",,"","J.F.Macbr.",Accepted,,H,WCSP,24854,37452-2,"Candollea","5: 361","","1934"
kew-24857,A,Brunelliaceae,,Brunellia,,"cayambensis",,"","Cuatrec.",Accepted,,H,WCSP,24857,37454-2,"Fl. Neotrop. Monogr.","2: 115","","1970"
kew-24858,A,Brunelliaceae,,Brunellia,,"colombiana",,"","Cuatrec.",Accepted,,H,WCSP,24858,37455-2,"Revista Acad. Colomb. Ci. Exact.","5: 33","","1942"
kew-24859,A,Brunelliaceae,,Brunellia,,"comocladifolia",,"","Bonpl.",Accepted,,H,WCSP,24859,813633-1,"Pl. Aequinoct.","1: 211","","1808"
kew-24865,A,Brunelliaceae,,Brunellia,,"comocladifolia",subsp.,"funckiana","(Tul.) Cuatrec.",Accepted,,L,WCSP,24865,,"Fl. Neotrop. Monogr.","2: 69","","1979"
kew-24867,A,Brunelliaceae,,Brunellia,,"comocladifolia",subsp.,"jamaicensis","Cuatrec.",Accepted,,L,WCSP,24867,,"Fl. Neotrop. Monogr.","2: 72","","1970"
kew-24869,A,Brunelliaceae,,Brunellia,,"comocladifolia",subsp.,"ptariana","(Steyerm.) Cuatrec.",Accepted,,L,WCSP,24869,,"Fl. Neotrop. Monogr.","2: 70","","1970"
