ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666186,A,Bruniaceae,,Audouinia,,"capitata",,"","(L.) Brongn.",Accepted,,M,WCSP (in review),789820,126289-1,"Ann. Sci. Nat. (Paris)","8: 384","","1826"
kew-2675204,A,Bruniaceae,,Berzelia,,"abrotanoides",,"","(L.) Brongn.",Accepted,,M,WCSP (in review),798663,126314-1,"Ann. Sci. Nat. (Paris)","8: 371","","1826"
kew-2675208,A,Bruniaceae,,Berzelia,,"burchellii",,"","Dummer",Accepted,,M,WCSP (in review),798667,126315-1,"J. Bot.","50(Suppl. 2): 10","","1912"
kew-2675210,A,Bruniaceae,,Berzelia,,"commutata",,"","Sond.",Accepted,,M,WCSP (in review),798669,126317-1,"Fl. Cap.","2: 310","","1862"
kew-2675212,A,Bruniaceae,,Berzelia,,"cordifolia",,"","Schltdl.",Accepted,,M,WCSP (in review),798671,126319-1,"Linnaea","6: 189","","1831"
kew-2675213,A,Bruniaceae,,Berzelia,,"dregeana",,"","Colozza",Accepted,,M,WCSP (in review),798672,126320-1,"Nuovo Giorn. Bot. Ital.","n.s., 10: 396","","1903"
kew-2675214,A,Bruniaceae,,Berzelia,,"ecklonii",,"","Pillans",Accepted,,M,WCSP (in review),798673,126321-1,"J. S. African Bot.","13: 197","","1947"
kew-2675217,A,Bruniaceae,,Berzelia,,"galpinii",,"","Pillans",Accepted,,M,WCSP (in review),798676,126324-1,"J. S. African Bot.","13: 195","","1947"
kew-2675220,A,Bruniaceae,,Berzelia,,"incurva",,"","Pillans",Accepted,,M,WCSP (in review),798679,126326-1,"J. S. African Bot.","13: 195","","1947"
kew-2675221,A,Bruniaceae,,Berzelia,,"intermedia",,"","Schltdl.",Accepted,,M,WCSP (in review),798680,126327-1,"Linnaea","6: 188","","1831"
kew-2675223,A,Bruniaceae,,Berzelia,,"lanuginosa",,"","(L.) Brongn.",Accepted,,M,WCSP (in review),798682,126328-1,"Ann. Sci. Nat. (Paris)","8: 372","","1826"
kew-2675225,A,Bruniaceae,,Berzelia,,"rubra",,"","Schltdl.",Accepted,,M,WCSP (in review),798684,126330-1,"Linnaea","6: 189","","1831"
kew-2675226,A,Bruniaceae,,Berzelia,,"squarrosa",,"","(Thunb.) Sond.",Accepted,,M,WCSP (in review),798685,126331-1,"Fl. Cap.","2: 312","","1862"
kew-2684175,A,Bruniaceae,,Brunia,,"albifora",,"","Phillips",Accepted,,M,WCSP (in review),807508,,"Bull. Misc. Inform. Kew","1922: 195","","1922"
kew-2684176,A,Bruniaceae,,Brunia,,"alopecuroides",,"","Thunb.",Accepted,,M,WCSP (in review),807509,126338-1,"Prodr. Pl. Cap.","187","","1794"
kew-2684203,A,Bruniaceae,,Brunia,,"laevis",,"","Thunb.",Accepted,,M,WCSP (in review),807536,126369-1,"Prodr. Pl. Cap.","187","","1794"
kew-2684210,A,Bruniaceae,,Brunia,,"macrocephala",,"","Willd.",Accepted,,M,WCSP (in review),807543,126376-1,"Denkschr. Königl. Akad. Wiss. München","1: 152","","1809"
kew-2684214,A,Bruniaceae,,Brunia,,"neglecta",,"","Schltr.",Accepted,,M,WCSP (in review),807547,126380-1,"Bot. Jahrb. Syst.","24: 443","","1897"
kew-2684216,A,Bruniaceae,,Brunia,,"noduliflora",,"","Goldblatt & J.C.Manning",Accepted,,M,WCSP (in review),807549,1017423-1,"Strelitzia","9: 706","","2000"
kew-2684236,A,Bruniaceae,,Brunia,,"stokoei",,"","Phillips",Accepted,,M,WCSP (in review),807569,126404-1,"Bull. Misc. Inform. Kew","1922: 195","","1922"
tro-4500049,A,Bruniaceae,,Linconia,,"alopecuroidea",,"","L.",Accepted,,M,TRO,4500049,126420-1,"Mant.","2: 216","216",""
tro-4500013,A,Bruniaceae,,Lonchostoma,,"monogynum",,"","Pill.",Accepted,,M,TRO,4500013,,"","","",""
tro-4500045,A,Bruniaceae,,Lonchostoma,,"myrtoides",,"","Pillans",Accepted,,M,TRO,4500045,,"","","",""
tro-4500047,A,Bruniaceae,,Lonchostoma,,"pentandrum",,"","Pillans",Accepted,,M,TRO,4500047,,"","","",""
tro-4500118,A,Bruniaceae,,Mniothamnea,,"callunoides",,"","(Oliv.) Nied.",Accepted,,L,TRO,4500118,,"Nat. Pflanzenfam.","3(2a): 136","136","1891"
tro-4500015,A,Bruniaceae,,Nebelia,,"fragarioides",,"","Kuntze",Accepted,,M,TRO,4500015,,"Revis. Gen. Pl.","","",""
tro-4500016,A,Bruniaceae,,Nebelia,,"paleacea",,"","Sweet",Accepted,,M,TRO,4500016,126451-1,"","","",""
tro-4500102,A,Bruniaceae,,Pseudobaeckea,,"africana",,"","Pillans",Accepted,,M,TRO,4500102,,"","","",""
tro-4500107,A,Bruniaceae,,Pseudobaeckea,,"cordata",,"","Nied.",Accepted,,M,TRO,4500107,126460-1,"","","",""
tro-4500055,A,Bruniaceae,,Raspalia,,"dregeana",,"","Nied.",Accepted,,M,TRO,4500055,126482-1,"","","",""
tro-4500018,A,Bruniaceae,,Raspalia,,"globosa",,"","(Lam.) Pillans",Accepted,,M,TRO,4500018,126483-1,"J. S. African Bot.","13(3): 159","159","1947"
tro-4500019,A,Bruniaceae,,Raspalia,,"microphylla",,"","(Thunb.) Brongn.",Accepted,,L,TRO,4500019,126484-1,"Ann. Sci. Nat. (Paris)","8: 377","377","1826"
tro-4500063,A,Bruniaceae,,Raspalia,,"phylicoides",,"","Arn.",Accepted,,M,TRO,4500063,,"","","",""
tro-4500067,A,Bruniaceae,,Raspalia,,"sacculata",,"","(Bolus ex Kirchn.) Pillans",Accepted,,M,TRO,4500067,126490-1,"J. S. African Bot.","13: 157","157","1947"
tro-4500069,A,Bruniaceae,,Raspalia,,"staavioides",,"","Pillans",Accepted,,M,TRO,4500069,,"","","",""
tro-4500075,A,Bruniaceae,,Raspalia,,"virgata",,"","Pillans",Accepted,,M,TRO,4500075,,"","","",""
tro-4500089,A,Bruniaceae,,Staavia,,"comosa",,"","Colozza",Accepted,,M,TRO,4500089,126510-1,"","","",""
tro-4500092,A,Bruniaceae,,Staavia,,"dregeana",,"","PRESL",Accepted,,M,TRO,4500092,126512-1,"","","",""
tro-4500094,A,Bruniaceae,,Staavia,,"glutinosa",,"","Dahl",Accepted,,M,TRO,4500094,126515-1,"","","",""
tro-4500022,A,Bruniaceae,,Staavia,,"radiata",,"","(L.) Dahl",Accepted,,M,TRO,4500022,126521-1,"Observ. Bot.","15","15","1787"
tro-4500097,A,Bruniaceae,,Staavia,,"trichotoma",,"","Pillans",Accepted,,M,TRO,4500097,,"","","",""
tro-4500100,A,Bruniaceae,,Staavia,,"verticillata",,"","Pillans",Accepted,,M,TRO,4500100,,"","","",""
