ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-345694,A,Burmanniaceae,,Afrothismia,,"amietii",,"","Cheek",Accepted,,H,WCSP,345694,77075908-1,"Kew Bull.","61: 605","","2007"
kew-218434,A,Burmanniaceae,,Afrothismia,,"baerae",,"","Cheek",Accepted,,H,WCSP,218434,60426765-2,"Kew Bull.","58: 951","","2003 publ. 2004"
kew-218435,A,Burmanniaceae,,Afrothismia,,"foertheriana",,"","T.Franke, Sainge & Agerer",Accepted,,H,WCSP,218435,77063378-1,"Blumea","49: 452","","2004"
kew-372038,A,Burmanniaceae,,Afrothismia,,"gabonensis",,"","Dauby & Stévart",Accepted,,H,WCSP,372038,77093860-1,"Nordic J. Bot.","25: 268","","2007 publ. 2008"
kew-218436,A,Burmanniaceae,,Afrothismia,,"gesnerioides",,"","H.Maas",Accepted,,H,WCSP,218436,50426094-2,"Blumea","48: 477","","2003"
kew-329624,A,Burmanniaceae,,Afrothismia,,"hydra",,"","Sainge & T.Franke",Accepted,,H,WCSP,329624,77065598-1,"Nordic J. Bot.","23: 299","","2005"
kew-218437,A,Burmanniaceae,,Afrothismia,,"insignis",,"","Cowley",Accepted,,H,WCSP,218437,934762-1,"in Fl. Trop. E. Afr.","Burmann.: 7","","1988"
kew-343480,A,Burmanniaceae,,Afrothismia,,"korupensis",,"","Sainge & T.Franke",Accepted,,H,WCSP,343480,77071626-1,"Willdenowia","35: 289","","2005"
kew-343481,A,Burmanniaceae,,Afrothismia,,"mhoroana",,"","Cheek",Accepted,,H,WCSP,343481,77073322-1,"Kew Bull.","60: 593","","2005 publ. 2006"
kew-218438,A,Burmanniaceae,,Afrothismia,,"pachyantha",,"","Schltr.",Accepted,,H,WCSP,218438,126541-1,"Bot. Jahrb. Syst.","38: 139","","1906"
kew-218439,A,Burmanniaceae,,Afrothismia,,"saingei",,"","T.Franke",Accepted,,H,WCSP,218439,77060247-1,"Syst. Geogr. Pl.","74: 28","","2004"
kew-218440,A,Burmanniaceae,,Afrothismia,,"winkleri",,"","(Engl.) Schltr.",Accepted,,H,WCSP,218440,126542-1,"Bot. Jahrb. Syst.","38: 139","","1906"
kew-456105,A,Burmanniaceae,,Afrothismia,,"zambesiaca",,"","Cheek",Accepted,,H,WCSP,456105,77099826-1,"in Fl. Zambes.","12(2): 141","","2009"
kew-220673,A,Burmanniaceae,,Apteria,,"aphylla",,"","(Nutt.) Barnhart ex Small",Accepted,,H,WCSP,220673,126543-1,"Fl. S.E. U.S.","309","","1903"
kew-222619,A,Burmanniaceae,,Burmannia,,"alba",,"","Mart.",Accepted,,H,WCSP,222619,126558-1,"Nov. Gen. Sp. Pl.","1: 12","","1824"
kew-222622,A,Burmanniaceae,,Burmannia,,"aprica",,"","(Malme) Jonker",Accepted,,H,WCSP,222622,292297-2,"Monogr. Burmann.","87","","1938"
kew-222625,A,Burmanniaceae,,Burmannia,,"australis",,"","Malme",Accepted,,H,WCSP,222625,38382-2,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","22(3, 8): 25","","1896"
kew-222629,A,Burmanniaceae,,Burmannia,,"bicolor",,"","Mart.",Accepted,,H,WCSP,222629,126566-1,"Nov. Gen. Sp. Pl.","1: 10","","1824"
kew-222636,A,Burmanniaceae,,Burmannia,,"bifaria",,"","J.J.Sm.",Accepted,,H,WCSP,222636,126568-1,"Icon. Bogor.","4: t. 379","","1914"
kew-222638,A,Burmanniaceae,,Burmannia,,"biflora",,"","L.",Accepted,,H,WCSP,222638,126570-1,"Sp. Pl.","287","","1753"
kew-222645,A,Burmanniaceae,,Burmannia,,"candelabrum",,"","Gagnep.",Accepted,,H,WCSP,222645,126579-1,"Bull. Soc. Bot. France","54: 462","","1907"
kew-222646,A,Burmanniaceae,,Burmannia,,"candida",,"","Griff. ex Hook.f.",Accepted,,H,WCSP,222646,126580-1,"Fl. Brit. India","5: 665","","1888"
kew-222650,A,Burmanniaceae,,Burmannia,,"capitata",,"","(Walter ex J.F.Gmel.) Mart.",Accepted,,H,WCSP,222650,126582-1,"Nov. Gen. Sp. Pl.","1: 12","","1824"
kew-222653,A,Burmanniaceae,,Burmannia,,"championii",,"","Thwaites",Accepted,,H,WCSP,222653,126584-1,"Enum. Pl. Zeyl.","325","","1864"
kew-222655,A,Burmanniaceae,,Burmannia,,"chinensis",,"","Gand.",Accepted,,H,WCSP,222655,126586-1,"Bull. Soc. Bot. France","66: 290","","1919 publ. 1920"
kew-222658,A,Burmanniaceae,,Burmannia,,"cochinchinensis",,"","Gagnep.",Accepted,,H,WCSP,222658,126589-1,"Bull. Soc. Bot. France","54: 463","","1907"
kew-222659,A,Burmanniaceae,,Burmannia,,"coelestis",,"","D.Don",Accepted,,H,WCSP,222659,126590-1,"Prodr. Fl. Nepal.","44","","1825"
kew-222661,A,Burmanniaceae,,Burmannia,,"compacta",,"","Maas & H.Maas",Accepted,,H,WCSP,222661,930274-1,"Fl. Neotrop. Monogr.","42: 53","","1986"
kew-222662,A,Burmanniaceae,,Burmannia,,"congesta",,"","(C.H.Wright) Jonker",Accepted,,H,WCSP,222662,126591-1,"Monogr. Burmann.","94","","1938"
kew-222663,A,Burmanniaceae,,Burmannia,,"connata",,"","Jonker",Accepted,,H,WCSP,222663,126592-1,"Monogr. Burmann.","128","","1938"
kew-222664,A,Burmanniaceae,,Burmannia,,"cryptopetala",,"","Makino",Accepted,,H,WCSP,222664,126593-1,"Bot. Mag. (Tokyo)","27: 3","","1913"
kew-222667,A,Burmanniaceae,,Burmannia,,"damazii",,"","Beauverd",Accepted,,H,WCSP,222667,38387-2,"Bull. Herb. Boissier","II, 5: 948, 1081","","1905"
kew-222668,A,Burmanniaceae,,Burmannia,,"dasyantha",,"","Mart.",Accepted,,H,WCSP,222668,126596-1,"Nov. Gen. Sp. Pl.","1: 11","","1824"
kew-222671,A,Burmanniaceae,,Burmannia,,"disticha",,"","L.",Accepted,,H,WCSP,222671,126599-1,"Sp. Pl.","287","","1753"
kew-222673,A,Burmanniaceae,,Burmannia,,"engganensis",,"","Jonker",Accepted,,H,WCSP,222673,126600-1,"Blumea","3: 108","","1938"
kew-222675,A,Burmanniaceae,,Burmannia,,"filamentosa",,"","D.X.Zhang & R.M.K.Saunders",Accepted,,H,WCSP,222675,1018991-1,"Nordic J. Bot.","20: 392","","2000 publ. 2001"
kew-222676,A,Burmanniaceae,,Burmannia,,"flava",,"","Mart.",Accepted,,H,WCSP,222676,126601-1,"Nov. Gen. Sp. Pl.","1: 11","","1824"
kew-222679,A,Burmanniaceae,,Burmannia,,"foliosa",,"","Gleason",Accepted,,H,WCSP,222679,38388-2,"Bull. Torrey Bot. Club","58: 343","","1931"
kew-222681,A,Burmanniaceae,,Burmannia,,"geelvinkiana",,"","Becc.",Accepted,,H,WCSP,222681,126605-1,"Malesia","1: 244","","1878"
kew-222684,A,Burmanniaceae,,Burmannia,,"gracilis",,"","Ridl.",Accepted,,H,WCSP,222684,126608-1,"J. Straits Branch Roy. Asiat. Soc.","22: 335","","1890"
kew-222686,A,Burmanniaceae,,Burmannia,,"grandiflora",,"","Malme",Accepted,,H,WCSP,222686,38389-2,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","22(3, 8): 27","","1896"
kew-222689,A,Burmanniaceae,,Burmannia,,"hexaptera",,"","Schltr.",Accepted,,H,WCSP,222689,126612-1,"Bot. Jahrb. Syst.","38: 143","","1906"
kew-222691,A,Burmanniaceae,,Burmannia,,"indica",,"","Jonker",Accepted,,H,WCSP,222691,126613-1,"Monogr. Burmann.","161","","1938"
kew-222693,A,Burmanniaceae,,Burmannia,,"itoana",,"","Makino",Accepted,,H,WCSP,222693,126615-1,"Bot. Mag. (Tokyo)","27: 1","","1913"
kew-222696,A,Burmanniaceae,,Burmannia,,"jonkeri",,"","Benthem & Maas",Accepted,,H,WCSP,222696,38391-2,"Acta Bot. Neerl.","30: 140","","1981"
kew-222697,A,Burmanniaceae,,Burmannia,,"juncea",,"","Sol. ex R.Br.",Accepted,,H,WCSP,222697,126618-1,"Prodr. Fl. Nov. Holl.","265","","1810"
kew-222698,A,Burmanniaceae,,Burmannia,,"kalbreyeri",,"","Oliv.",Accepted,,H,WCSP,222698,126619-1,"Hooker's Icon. Pl.","14: t. 1357","","1881"
kew-222699,A,Burmanniaceae,,Burmannia,,"larseniana",,"","D.X.Zhang & R.M.K.Saunders",Accepted,,H,WCSP,222699,1008698-1,"Nordic J. Bot.","19: 243","","1999"
kew-222700,A,Burmanniaceae,,Burmannia,,"latialata",,"","Pobég.",Accepted,,H,WCSP,222700,126620-1,"Essai Fl. Guinée Franç.","166","","1906"
kew-222701,A,Burmanniaceae,,Burmannia,,"ledermannii",,"","Jonker",Accepted,,H,WCSP,222701,126622-1,"Monogr. Burmann.","126","","1938"
kew-222706,A,Burmanniaceae,,Burmannia,,"longifolia",,"","Becc.",Accepted,,H,WCSP,222706,126626-1,"Malesia","1: 244","","1878"
kew-222707,A,Burmanniaceae,,Burmannia,,"luteoalba",,"","Gagnep.",Accepted,,H,WCSP,222707,126627-1,"Bull. Soc. Bot. France","54: 463","","1907"
kew-222708,A,Burmanniaceae,,Burmannia,,"lutescens",,"","Becc.",Accepted,,H,WCSP,222708,126628-1,"Malesia","1: 246","","1878"
