ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666183,A,Burseraceae,,Aucoumea,,"klaineana",,"","Pierre",Accepted,,M,WCSP (in review),789817,126950-1,"Bull. Mens. Soc. Linn. Paris","1: 1241","","1896"
kew-2672716,A,Burseraceae,,Beiselia,,"mexicana",,"","Forman",Accepted,,M,WCSP (in review),796208,273194-2,"Kew Bull.","42: 262","","1987"
kew-2680542,A,Burseraceae,,Boswellia,,"ameero",,"","Balf.f.",Accepted,,M,WCSP (in review),803911,127033-1,"Proc. Roy. Soc. Edinburgh","11: 505","","1882"
kew-2680546,A,Burseraceae,,Boswellia,,"boranensis",,"","Engl.",Accepted,,M,WCSP (in review),803915,127036-1,"Bot. Jahrb. Syst.","34: 316","","1904"
kew-2680547,A,Burseraceae,,Boswellia,,"bricchettii",,"","(Chiov.) Chiov.",Accepted,,M,WCSP (in review),803916,127048-1,"Bull. Misc. Inform. Kew","1941: 132","","1941"
kew-2680548,A,Burseraceae,,Boswellia,,"bullata",,"","Thulin",Accepted,,M,WCSP (in review),803917,20003266-1,"Kew Bull.","56: 983","","2001"
kew-2680552,A,Burseraceae,,Boswellia,,"chariensis",,"","Guillaumin",Accepted,,M,WCSP (in review),803921,127039-1,"Bull. Soc. Bot. France","55(8): 33","","1908"
kew-2680553,A,Burseraceae,,Boswellia,,"dalzielii",,"","Hutch.",Accepted,,M,WCSP (in review),803922,127040-1,"Bull. Misc. Inform. Kew","1910: 137","","1910"
kew-2680554,A,Burseraceae,,Boswellia,,"dioscoridis",,"","Thulin",Accepted,,M,WCSP (in review),803923,20003267-1,"Kew Bull.","56: 984","","2001"
kew-2680555,A,Burseraceae,,Boswellia,,"elegans",,"","Engl.",Accepted,,M,WCSP (in review),803924,127041-1,"Bot. Jahrb. Syst.","34: 314","","1904"
kew-2680556,A,Burseraceae,,Boswellia,,"elongata",,"","Balf.f.",Accepted,,M,WCSP (in review),803925,127042-1,"Proc. Roy. Soc. Edinburgh","11: 505","","1882"
kew-2680557,A,Burseraceae,,Boswellia,,"frereana",,"","Birdw.",Accepted,,M,WCSP (in review),803926,127043-1,"Trans. Linn. Soc. London","27: 146","","1870"
kew-2603841,A,Burseraceae,,Boswellia,,"globosa",,"","Thulin",Accepted,,M,WCSP (in review),728524,77076724-1,"Nordic J. Bot.","24: 373","","2006 publ. 2007"
kew-2680559,A,Burseraceae,,Boswellia,,"hildebrandtii",,"","Engl.",Accepted,,M,WCSP (in review),803928,127045-1,"Bot. Jahrb. Syst.","15: 98","","1893"
kew-2680561,A,Burseraceae,,Boswellia,,"holstii",,"","Engl.",Accepted,,M,WCSP (in review),803930,127047-1,"Veg. Erde","9(III 1): 786","","1915"
kew-2680564,A,Burseraceae,,Boswellia,,"madagascariensis",,"","Capuron",Accepted,,M,WCSP (in review),803933,127051-1,"Adansonia","n.s., 2: 268","","1962"
kew-2680565,A,Burseraceae,,Boswellia,,"microphylla",,"","Chiov.",Accepted,,M,WCSP (in review),803934,127052-1,"Ann. Bot. (Rome)","13: 404","","1915"
kew-2680566,A,Burseraceae,,Boswellia,,"multifoliolata",,"","Engl.",Accepted,,M,WCSP (in review),803935,127054-1,"Ann. Bot. (Rome)","7: 16","","1907"
kew-2680567,A,Burseraceae,,Boswellia,,"nana",,"","Hepper",Accepted,,M,WCSP (in review),803936,127055-1,"Hooker's Icon. Pl.","37: t. 3676","","1971"
kew-2680568,A,Burseraceae,,Boswellia,,"neglecta",,"","S.Moore",Accepted,,M,WCSP (in review),803937,127056-1,"J. Bot.","15: 67","","1877"
kew-2680570,A,Burseraceae,,Boswellia,,"occidentalis",,"","Engl.",Accepted,,M,WCSP (in review),803939,127057-1,"Bot. Jahrb. Syst.","46: 292","","1911"
kew-2680571,A,Burseraceae,,Boswellia,,"odorata",,"","Hutch.",Accepted,,M,WCSP (in review),803940,127058-1,"Bull. Misc. Inform. Kew","1910: 138","","1910"
kew-2680572,A,Burseraceae,,Boswellia,,"ogadensis",,"","Vollesen",Accepted,,M,WCSP (in review),803941,905757-1,"Kew Bull.","40: 39","","1985"
kew-2680573,A,Burseraceae,,Boswellia,,"ovalifoliolata",,"","N.P.Balakr. & A.N.Henry",Accepted,,M,WCSP (in review),803942,127059-1,"J. Bombay Nat. Hist. Soc.","58: 546","","1961"
kew-2680574,A,Burseraceae,,Boswellia,,"papyrifera",,"","(Del.) Hochst.",Accepted,,M,WCSP (in review),803943,127060-1,"Flora","26: 81","","1843"
