ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2687834,A,Buxaceae,,Buxus,,"acuminata",,"","Müll.Arg.",Accepted,,M,WCSP (in review),811149,340264-1,"Prodr.","16(1): 15","","1869"
kew-2687836,A,Buxaceae,,Buxus,,"acunae",,"","Borhidi & O.Muñiz",Accepted,,M,WCSP (in review),811151,38737-2,"Acta Bot. Acad. Sci. Hung.","22: 307","","1976 publ. 1977"
kew-2687837,A,Buxaceae,,Buxus,,"acutata",,"","Friis",Accepted,,M,WCSP (in review),811152,941145-1,"Kew Bull.","44: 297","","1989"
kew-2687838,A,Buxaceae,,Buxus,,"aneura",,"","Urb.",Accepted,,M,WCSP (in review),811153,38738-2,"Repert. Spec. Nov. Regni Veg.","21: 214","","1925"
kew-2687842,A,Buxaceae,,Buxus,,"arborea",,"","Proctor",Accepted,,M,WCSP (in review),811157,38739-2,"Bull. Inst. Jamaica, Sci. Ser.","16: 23","","1967"
kew-2687846,A,Buxaceae,,Buxus,,"austroyunnanensis",,"","Hatus.",Accepted,,M,WCSP (in review),811161,128636-1,"J. Dept. Agric. Kyushu Imp. Univ.","6: 261-342","","1942"
kew-2687847,A,Buxaceae,,Buxus,,"bahamensis",,"","Baker",Accepted,,M,WCSP (in review),811162,38740-2,"Hooker's Icon. Pl.","19: t. 1806","","1889"
kew-2687848,A,Buxaceae,,Buxus,,"balearica",,"","Lam.",Accepted,,M,WCSP (in review),811163,340272-1,"Encycl.","1: 511","","1785"
kew-2687849,A,Buxaceae,,Buxus,,"baracoensis",,"","Borhidi & O.Muñiz",Accepted,,M,WCSP (in review),811164,38741-2,"Acta Bot. Acad. Sci. Hung.","18: 34","","1973"
kew-2687850,A,Buxaceae,,Buxus,,"bartlettii",,"","Standl.",Accepted,,M,WCSP (in review),811165,38742-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 134","","1932"
kew-2687851,A,Buxaceae,,Buxus,,"benguellensis",,"","Gilg",Accepted,,M,WCSP (in review),811166,340273-1,"Bot. Jahrb. Syst.","28: 115","","1899"
kew-2687852,A,Buxaceae,,Buxus,,"benguellensis",var.,"hirta","Hutch.",Accepted,,L,WCSP (in review),811167,,"Bull. Misc. Inform. Kew","1912: 306","","1912"
kew-2687853,A,Buxaceae,,Buxus,,"bissei",,"","Eg.Köhler",Accepted,,M,WCSP (in review),811168,316028-2,"Feddes Repert.","108: 351","","1998"
kew-2687854,A,Buxaceae,,Buxus,,"bodinieri",,"","H.Lév.",Accepted,,M,WCSP (in review),811169,128639-1,"Repert. Spec. Nov. Regni Veg.","11: 549","","1913"
kew-2603860,A,Buxaceae,,Buxus,,"braimbridgeorum",,"","Eg.Köhler",Accepted,,M,WCSP (in review),728543,77075750-1,"Willdenowia","36: 485","","2006"
kew-2687855,A,Buxaceae,,Buxus,,"brevipes",,"","Urb.",Accepted,,M,WCSP (in review),811170,38743-2,"Symb. Antill.","5: 401","","1908"
kew-2687856,A,Buxaceae,,Buxus,,"calcarea",,"","G.E.Schatz & Lowry",Accepted,,M,WCSP (in review),811171,20010523-1,"Adansonia","III, 24: 183","","2002"
kew-2687859,A,Buxaceae,,Buxus,,"capuronii",,"","G.E.Schatz & Lowry",Accepted,,M,WCSP (in review),811174,20010524-1,"Adansonia","III, 24: 186","","2002"
kew-2687864,A,Buxaceae,,Buxus,,"chaoanensis",,"","H.G.Ye",Accepted,,M,WCSP (in review),811179,20008382-1,"J. Trop. Subtrop. Bot.","10: 245","","2002"
kew-2603861,A,Buxaceae,,Buxus,,"cipolinica",,"","Lowry & G.E.Schatz",Accepted,,M,WCSP (in review),728544,77075367-1,"Adansonia","III, 28: 68","","2006"
kew-2687866,A,Buxaceae,,Buxus,,"citrifolia",,"","(Willd.) Spreng.",Accepted,,M,WCSP (in review),811181,340279-1,"Syst. Veg.","3: 847","","1826"
kew-2687869,A,Buxaceae,,Buxus,,"cochinchinensis",,"","Pierre ex Gagnep.",Accepted,,M,WCSP (in review),811184,128643-1,"Bull. Soc. Bot. France","68: 481","","1921 publ. 1922"
kew-2687871,A,Buxaceae,,Buxus,,"conzattii",,"","Standl.",Accepted,,M,WCSP (in review),811186,38747-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 163","","1936"
kew-2687872,A,Buxaceae,,Buxus,,"cordata",,"","(Radcl.-Sm.) Friis",Accepted,,M,WCSP (in review),811187,946856-1,"Kew Bull.","44: 297","","1989"
kew-2687874,A,Buxaceae,,Buxus,,"crassifolia",,"","(Britton) Urb.",Accepted,,L,WCSP (in review),811189,38748-2,"Symb. Antill.","9: 175","","1923"
kew-2687878,A,Buxaceae,,Buxus,,"cubana",,"","Baill.",Accepted,,M,WCSP (in review),811193,340283-1,"Monogr. Buxac.","71","","1859"
