ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614477,A,Cactaceae,,Acanthocalycium,,"klimpelianum",,"","(Weidlich & Werderm.) Backeb.",Accepted,,M,WCSP (in review),738348,1624-2,"Kaktus-ABC","225","","1935"
kew-2614481,A,Cactaceae,,Acanthocalycium,,"spiniflorum",,"","(K.Schum.) Backeb.",Accepted,,M,WCSP (in review),738352,1627-2,"Kaktus-ABC","255","","1935"
kew-2614501,A,Cactaceae,,Acanthocereus,,"baxaniensis",,"","(Karw. ex Pfeiff.) Borg.",Accepted,,M,WCSP (in review),738372,128768-1,"Cacti","132","","1937"
kew-2614508,A,Cactaceae,,Acanthocereus,,"horridus",,"","Britton & Rose",Accepted,,M,WCSP (in review),738379,1640-2,"Cact.","2: 122","","1920"
kew-2614510,A,Cactaceae,,Acanthocereus,,"occidentalis",,"","Britton & Rose",Accepted,,M,WCSP (in review),738381,1641-2,"Cact.","2: 125","","1920"
kew-2614515,A,Cactaceae,,Acanthocereus,,"subinermis",,"","Britton & Rose",Accepted,,M,WCSP (in review),738386,1645-2,"Cact.","2: 125","","1920"
kew-2614516,A,Cactaceae,,Acanthocereus,,"tetragonus",,"","(L.) Hummelinck",Accepted,,M,WCSP (in review),738387,1646-2,"Succulenta (Netherlands)","20: 165","","1938"
kew-2626966,A,Cactaceae,,Airampoa,,"aurata",,"","Fric",Accepted,,M,WCSP (in review),750792,,"Neue Kakt. Sudamer. Hochgeb.","1","","1929"
tro-5105711,A,Cactaceae,,Aporocactus,,"moennighoffii",,"","(Fisch.) Borg",Accepted,,M,TRO,5105711,16736-2,"Cacti","171","171","1937"
kew-2651061,A,Cactaceae,,Ariocarpus,,"agavioides",,"","(Castañeda) E.S.Anderson",Accepted,,M,WCSP (in review),774726,19049-2,"Amer. J. Bot.","99: 615","","1962"
kew-2651065,A,Cactaceae,,Ariocarpus,,"bravoanus",,"","H.M.Hern. & E.F.Anderson",Accepted,,M,WCSP (in review),774730,301152-2,"Bradleya","10: 1","","1992"
kew-2651066,A,Cactaceae,,Ariocarpus,,"bravoanus",subsp.,"hintonii","(Stuppy & N.P.Taylor) E.F.Anderson & W.A.Fitz Maur.",Accepted,,L,WCSP (in review),774731,1002432-1,"Haseltonia","5: 11","","1997 publ. 1998"
kew-2651071,A,Cactaceae,,Ariocarpus,×,"drabi",,"","Halda & Sladk.",Accepted,,M,WCSP (in review),774736,326174-2,"Acta Mus. Richnov. Sect. Nat.","7: 33","","2000"
kew-2651075,A,Cactaceae,,Ariocarpus,,"fissuratus",,"","(Engelm.) K.Schum.",Accepted,,M,WCSP (in review),774740,19054-2,"Nat. Pflanzenfam.","3(6a): 195","","1894"
tro-50335692,A,Cactaceae,,Ariocarpus,,"fissuratus",subsp.,"fissuratus","",Accepted,,L,TRO,50335692,,"","","","1894"
kew-2651080,A,Cactaceae,,Ariocarpus,,"fissuratus",subsp.,"lloydii","(Rose) U.Guzmán",Accepted,,L,WCSP (in review),774745,70029520-1,"Cactaceae Syst. Init.","16: 16","","2003"
kew-2651085,A,Cactaceae,,Ariocarpus,,"kotschoubeyanus",,"","(Lem.) K.Schum.",Accepted,,M,WCSP (in review),774750,19059-2,"Nat. Pflanzenfam.","Nachtr. 1: 259","","1897"
kew-2651101,A,Cactaceae,,Ariocarpus,,"retusus",,"","Scheidw.",Accepted,,M,WCSP (in review),774766,128870-1,"Bull. Acad. Roy. Sci. Bruxelles","5: 492","","1838"
tro-50176741,A,Cactaceae,,Ariocarpus,,"retusus",subsp.,"retusus","",Accepted,,L,TRO,50176741,,"","","",""
kew-2651110,A,Cactaceae,,Ariocarpus,,"retusus",subsp.,"trigonus","(F.A.C.Weber) E.F.Anderson & W.A.Fitz Maur.",Accepted,,L,WCSP (in review),774775,1175789-2,"Haseltonia","5: 18","","1997 publ. 1998"
kew-2651112,A,Cactaceae,,Ariocarpus,,"scaphirostris",,"","Boed.",Accepted,,M,WCSP (in review),774777,,"Monatsschr. Deutsch. Kakteen-Ges.","2: 60","","1930"
kew-2652157,A,Cactaceae,,Armatocereus,,"cartwrightianus",,"","Backeb.",Accepted,,M,WCSP (in review),775823,19741-2,"Kaktus-ABC","176","","1935"
kew-2652162,A,Cactaceae,,Armatocereus,,"godingianus",,"","(Britton & Rose) Backeb.",Accepted,,M,WCSP (in review),775828,19744-2,"Blätt. Kakteenf.","12(12): 1","","1938"
kew-2652163,A,Cactaceae,,Armatocereus,,"godingianus",subsp.,"brevispinus","(Madsen) D.R.Hunt",Accepted,,L,WCSP (in review),775829,1160479-2,"Cactaceae Syst. Init.","14: 9","","2002"
kew-2652166,A,Cactaceae,,Armatocereus,,"laetus",,"","(Kunth) Backeb.",Accepted,,M,WCSP (in review),775832,19746-2,"Kaktus-ABC","176","","1935"
kew-2652170,A,Cactaceae,,Armatocereus,,"matucanensis",,"","Backeb.",Accepted,,M,WCSP (in review),775836,19747-2,"Kaktus-ABC","176","","1935"
kew-2652173,A,Cactaceae,,Armatocereus,,"procerus",,"","Rauh & Backeb.",Accepted,,M,WCSP (in review),775839,19749-2,"Descr. Cact. Nov.","1: 13","","1956 publ. 1957"
kew-2652175,A,Cactaceae,,Armatocereus,,"rauhii",,"","Backeb.",Accepted,,M,WCSP (in review),775841,19750-2,"Descr. Cact. Nov.","1: 13","","1956 publ. 1957"
kew-2652176,A,Cactaceae,,Armatocereus,,"rauhii",subsp.,"balsasensis","(F.Ritter) Ostolaza",Accepted,,L,WCSP (in review),775842,1005779-1,"Cactaceae Consensus Init.","6: 8","","1998"
kew-2653186,A,Cactaceae,,Arrojadoa,×,"albiflora",,"","Buining & Brederoo",Accepted,,M,WCSP (in review),776852,20427-2,"Succulentia","54: 22","","1975"
kew-2653190,A,Cactaceae,,Arrojadoa,,"bahiensis",,"","(P.J.Braun & Esteves) N.P.Taylor & Eggli",Accepted,,L,WCSP (in review),776856,1082358-2,"Kew Bull.","49: 98","","1994"
kew-2653193,A,Cactaceae,,Arrojadoa,,"dinae",,"","Buining & Brederoo",Accepted,,M,WCSP (in review),776859,20429-2,"Kakteen And. Sukk.","24: 99","","1973"
