ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2693188,A,Calophyllaceae,,Calophyllum,,"acidus",,"","Kosterm.",Accepted,,M,WCSP (in review),816363,899396-1,"Acta Bot. Neerl.","31: 122","","1982"
kew-2693190,A,Calophyllaceae,,Calophyllum,,"acutiputamen",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816365,169531-1,"Austral. J. Bot.","22: 359","","1974"
kew-2693191,A,Calophyllaceae,,Calophyllum,,"aerarium",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816366,169532-1,"J. Arnold Arbor.","61: 443","","1980"
kew-2693193,A,Calophyllaceae,,Calophyllum,,"alboramulum",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816368,169533-1,"J. Arnold Arbor.","61: 204","","1980"
kew-2693194,A,Calophyllaceae,,Calophyllum,,"amblyphyllum",,"","A.C.Sm. & S.P.Darwin",Accepted,,M,WCSP (in review),816369,169534-1,"J. Arnold Arbor.","55: 232","","1974"
kew-2693198,A,Calophyllaceae,,Calophyllum,,"andersonii",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816373,169535-1,"J. Arnold Arbor.","61: 429","","1980"
kew-2693199,A,Calophyllaceae,,Calophyllum,,"angulare",,"","A.C.Sm.",Accepted,,M,WCSP (in review),816374,42744-2,"Bull. Torrey Bot. Club","60: 379","","1933"
kew-2693202,A,Calophyllaceae,,Calophyllum,,"apetalum",,"","Willd.",Accepted,,M,WCSP (in review),816377,427097-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","5: 79","","1811"
kew-2693204,A,Calophyllaceae,,Calophyllum,,"archipelagi",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816379,169536-1,"J. Arnold Arbor.","61: 583","","1980"
kew-2693205,A,Calophyllaceae,,Calophyllum,,"ardens",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816380,169537-1,"J. Arnold Arbor.","61: 649","","1980"
kew-2693206,A,Calophyllaceae,,Calophyllum,,"articulatum",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816381,169538-1,"J. Arnold Arbor.","61: 550","","1980"
kew-2693208,A,Calophyllaceae,,Calophyllum,,"aurantiacum",,"","P.F.Stevens",Accepted,,M,WCSP (in review),816383,169539-1,"J. Arnold Arbor.","61: 659","","1980"
kew-2693209,A,Calophyllaceae,,Calophyllum,,"aureobrunnescens",,"","M.R.Hend. & Wyatt-Sm.",Accepted,,M,WCSP (in review),816384,427099-1,"Gard. Bull. Singapore","15: 341","","1956"
kew-2693210,A,Calophyllaceae,,Calophyllum,,"aureum",,"","M.R.Hend. & Wyatt-Sm.",Accepted,,M,WCSP (in review),816385,427100-1,"Gard. Bull. Singapore","15: 340","","1956"
