ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-360201,A,Campanulaceae,,Adenophora,,"amurica",,"","C.X.Fu & M.Y.Liu",Accepted,,H,WCSP,360201,929943-1,"Bull. Bot. Res., Harbin","6(1): 159","","1986"
kew-360204,A,Campanulaceae,,Adenophora,,"aurita",,"","Franch.",Accepted,,H,WCSP,360204,139408-1,"J. Bot. (Morot)","9: 366","","1895"
kew-360207,A,Campanulaceae,,Adenophora,,"biloba",,"","Y.Z.Zhao",Accepted,,H,WCSP,360207,77063036-1,"Ann. Bot. Fenn.","41: 381","","2004"
kew-360209,A,Campanulaceae,,Adenophora,,"borealis",,"","D.Y.Hong & Y.Z.Zhao",Accepted,,H,WCSP,360209,901348-1,"in Fl. Reipubl. Popul. Sin.","73(2): 187","","1983"
kew-360211,A,Campanulaceae,,Adenophora,,"brevidiscifera",,"","D.Y.Hong",Accepted,,H,WCSP,360211,901349-1,"in Fl. Reipubl. Popul. Sin.","73(2): 184","","1983"
kew-360216,A,Campanulaceae,,Adenophora,,"capillaris",,"","Hemsl.",Accepted,,H,WCSP,360216,139413-1,"J. Linn. Soc., Bot.","26: 10","","1889"
kew-375932,A,Campanulaceae,,Adenophora,,"capillaris",subsp.,"capillaris","",Accepted,,L,WCSP,375932,,"Unknown","","",""
kew-360217,A,Campanulaceae,,Adenophora,,"capillaris",subsp.,"leptosepala","(Diels) D.Y.Hong",Accepted,,L,WCSP,360217,921708-1,"in Fl. Reipubl. Popul. Sin.","73(2): 136","","1983"
kew-360220,A,Campanulaceae,,Adenophora,,"changaica",,"","Gubanov & Kamelin",Accepted,,H,WCSP,360220,935803-1,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol.","n.s., 93(5): 111","","1988"
kew-360222,A,Campanulaceae,,Adenophora,,"coelestis",,"","Diels",Accepted,,H,WCSP,360222,139415-1,"Notes Roy. Bot. Gard. Edinburgh","5: 173","","1912"
