ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2696452,A,Canellaceae,,Canella,,"winterana",,"","(L.) Gaertn.",Accepted,,H,WCSP,382478,146013-1,"Fruct. Sem. Pl.","1: t. 77","","1788"
kew-2721076,A,Canellaceae,,Cinnamodendron,,"angustifolium",,"","Sleumer",Accepted,,H,WCSP,382912,58784-2,"Repert. Spec. Nov. Regni Veg.","41: 127","","1936"
kew-2721077,A,Canellaceae,,Cinnamodendron,,"axillare",,"","(Nees) Endl. ex Walp.",Accepted,,H,WCSP,382913,146017-1,"Repert. Bot. Syst.","1: 398","","1842"
kew-2721078,A,Canellaceae,,Cinnamodendron,,"corticosum",,"","Miers",Accepted,,H,WCSP,382914,146018-1,"Ann. Mag. Nat. Hist.","III, 1: 351","","1858"
kew-2721079,A,Canellaceae,,Cinnamodendron,,"cubense",,"","Urb.",Accepted,,H,WCSP,382915,58785-2,"Repert. Spec. Nov. Regni Veg.","18: 19","","1922"
kew-2721080,A,Canellaceae,,Cinnamodendron,,"dinisii",,"","Schwacke",Accepted,,H,WCSP,382916,58786-2,"Pl. Nov. Mineir.","1: 5","","1898"
kew-2721081,A,Canellaceae,,Cinnamodendron,,"ekmanii",,"","Sleumer",Accepted,,H,WCSP,382917,58787-2,"Repert. Spec. Nov. Regni Veg.","41: 127","","1936"
kew-456872,A,Canellaceae,,Cinnamodendron,,"occhionianum",,"","F.Barros & J.Salazar",Accepted,,H,WCSP,456872,77100295-1,"Novon","19: 11","","2009"
kew-2721084,A,Canellaceae,,Cinnamodendron,,"sampaioanum",,"","Occhioni",Accepted,,H,WCSP,382920,58789-2,"Arch. Jard. Bot. Rio de Janeiro","7: 159","","1947"
kew-2721085,A,Canellaceae,,Cinnamodendron,,"tenuifolium",,"","Uittien",Accepted,,H,WCSP,382921,58790-2,"Recueil Trav. Bot. Néerl.","22: 367","","1925"
kew-2721086,A,Canellaceae,,Cinnamodendron,,"venezuelense",,"","Steyerm.",Accepted,,H,WCSP,382922,58791-2,"Fieldiana, Bot.","28: 402","","1952"
kew-2721726,A,Canellaceae,,Cinnamosma,,"fragrans",,"","Baill.",Accepted,,H,WCSP,382924,146027-1,"Adansonia","7: 219","","1867"
kew-2721729,A,Canellaceae,,Cinnamosma,,"macrocarpa",,"","H.Perrier",Accepted,,H,WCSP,382927,146028-1,"Bull. Soc. Bot. France","94: 214","","1948"
kew-2721730,A,Canellaceae,,Cinnamosma,,"madagascariensis",,"","Danguy",Accepted,,H,WCSP,382928,146029-1,"Notul. Syst. (Paris)","1: 236","","1910"
kew-2415475,A,Canellaceae,,Pleodendron,,"costaricense",,"","N.Zamora, Hammel & Aguilar",Accepted,,H,WCSP,378371,60440984-2,"Lankesteriana","5: 211","","2005"
kew-2409483,A,Canellaceae,,Pleodendron,,"ekmanii",,"","Urb.",Accepted,,H,WCSP,378290,202067-2,"Ark. Bot.","22A(8): 75","","1929"
kew-2409482,A,Canellaceae,,Pleodendron,,"macranthum",,"","(Baill.) Tiegh.",Accepted,,H,WCSP,378289,,"J. Bot. (Morot)","13: 272","","1899"
kew-2465911,A,Canellaceae,,Warburgia,,"elongata",,"","Verdc.",Accepted,,H,WCSP,378722,146035-1,"Kew Bull.","9: 544","","1954 publ. 1955"
kew-2465886,A,Canellaceae,,Warburgia,,"salutaris",,"","(G.Bertol.) Chiov.",Accepted,,H,WCSP,378714,146036-1,"Nuovo Giorn. Bot. Ital.","n.s., 44: 683","","1937"
kew-2465887,A,Canellaceae,,Warburgia,,"stuhlmannii",,"","Engl.",Accepted,,H,WCSP,378715,146037-1,"Pflanzenw. Ost-Afrikas","C: 276","","1895"
kew-2465888,A,Canellaceae,,Warburgia,,"ugandensis",,"","Sprague",Accepted,,H,WCSP,378716,146038-1,"J. Linn. Soc., Bot.","37: 498","","1906"
