ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2643339,A,Cannabaceae,,Aphananthe,,"aspera",,"","(Thunb.) Planch.",Accepted,,M,WCSP (in review),767016,850347-1,"Prodr.","17: 208","","1873"
tro-50127546,A,Cannabaceae,,Aphananthe,,"aspera",var.,"aspera","",Accepted,,L,TRO,50127546,,"","","",""
kew-2643342,A,Cannabaceae,,Aphananthe,,"cuspidata",,"","(Blume) Planch.",Accepted,,L,WCSP (in review),767019,850349-1,"Prodr.","17: 209","","1873"
kew-2643348,A,Cannabaceae,,Aphananthe,,"philippinensis",,"","Planch.",Accepted,,M,WCSP (in review),767025,850350-1,"Ann. Sci. Nat., Bot.","III, 10: 337","","1848"
kew-2643350,A,Cannabaceae,,Aphananthe,,"sakalava",,"","J.-F.Leroy",Accepted,,M,WCSP (in review),767027,,"Bull. Soc. Bot. France","92: 180","","1946"
kew-2696480,A,Cannabaceae,,Cannabis,,"sativa",,"","L.",Accepted,,M,WCSP (in review),819633,306087-2,"Sp. Pl.","1027","","1753"
kew-2708137,A,Cannabaceae,,Celtis,,"adolfi-friderici",,"","Engl.",Accepted,,M,WCSP (in review),830458,836937-1,"Bot. Jahrb. Syst.","43: 308","","1909"
kew-2708139,A,Cannabaceae,,Celtis,,"affinis",,"","De Wild.",Accepted,,M,WCSP (in review),830460,836938-1,"Rev. Zool. Bot. Africaines","9(Suppl. Bot.): 1","","1921"
kew-2708140,A,Cannabaceae,,Celtis,,"africana",,"","Burm.f.",Accepted,,M,WCSP (in review),830461,850978-1,"Fl. Indica","Prodr. Fl. Cap.: 31","","1768"
kew-2708166,A,Cannabaceae,,Celtis,,"australiensis",,"","Sattarian",Accepted,,M,WCSP (in review),830487,77069512-1,"Blumea","50: 499","","2005"
kew-2708167,A,Cannabaceae,,Celtis,,"australis",,"","L.",Accepted,,M,WCSP (in review),830488,850999-1,"Sp. Pl.","1043","","1753"
