ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-223846,A,Cannaceae,,Canna,,"bangii",,"","Kraenzl.",Accepted,,H,WCSP,223846,44407-2,"Pflanzenr.","IV, 47: 38","","1912"
kew-223885,A,Cannaceae,,Canna,,"flaccida",,"","Salisb.",Accepted,,H,WCSP,223885,146049-1,"Icon. Stirp. Rar.","3","","1791"
tro-5800001,A,Cannaceae,,Canna,×,"generalis",,"","L.H. Bailey & E.Z. Bailey",Accepted,,M,TRO,5800001,146050-1,"Hortus","118","118","1930"
kew-223895,A,Cannaceae,,Canna,,"glauca",,"","L.",Accepted,,H,WCSP,223895,796016-1,"Sp. Pl.","1","","1753"
kew-223906,A,Cannaceae,,Canna,,"indica",,"","L.",Accepted,,H,WCSP,223906,319130-2,"Sp. Pl.","1","","1753"
kew-223921,A,Cannaceae,,Canna,,"iridiflora",,"","Ruiz & Pav.",Accepted,,H,WCSP,223921,796025-1,"Fl. Peruv.","1: 1","","1798"
kew-223925,A,Cannaceae,,Canna,,"jaegeriana",,"","Urb.",Accepted,,H,WCSP,223925,44425-2,"Repert. Spec. Nov. Regni Veg.","15: 102","","1917"
kew-223936,A,Cannaceae,,Canna,,"liliiflora",,"","Warsz. ex Planch.",Accepted,,H,WCSP,223936,796038-1,"Fl. Serres Jard. Eur.","10: 211","","1855"
tro-5800003,A,Cannaceae,,Canna,,"orchiodes",,"","L.H. Bailey",Accepted,,M,TRO,5800003,146058-1,"Gentes Herb.","1(3): 120","120","1923"
kew-223965,A,Cannaceae,,Canna,,"paniculata",,"","Ruiz & Pav.",Accepted,,H,WCSP,223965,315579-2,"Fl. Peruv.","1: 1","","1798"
kew-223968,A,Cannaceae,,Canna,,"pedunculata",,"","Sims",Accepted,,H,WCSP,223968,796068-1,"Bot. Mag.","49: t. 2323","","1822"
kew-224009,A,Cannaceae,,Canna,,"tuerckheimii",,"","Kraenzl.",Accepted,,H,WCSP,224009,44441-2,"Pflanzenr.","IV, 47: 70","","1912"
