ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-5900626,A,Capparaceae,,Acome,,"micrantha",,"","(Bojer) Baker",Accepted,,M,TRO,5900626,,"J. Bot.","20: 18","18","1882"
kew-2606211,A,Capparaceae,,Anisocapparis,,"speciosa",,"","(Griseb.) Cornejo & Iltis",Accepted,,M,WCSP (in review),730193,60450134-2,"J. Bot. Res. Inst. Texas","2: 65","","2008"
kew-2644337,A,Capparaceae,,Apophyllum,,"anomalum",,"","F.Muell.",Accepted,,M,WCSP (in review),768003,,"Hooker's J. Bot. Kew Gard. Misc.","9: 307","","1857"
kew-2667561,A,Capparaceae,,Bachmannia,,"woodii",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),791140,146076-1,"Bot. Jahrb. Syst.","33: 204","","1904"
kew-2672828,A,Capparaceae,,Belencita,,"nemorosa",,"","(Jacq.) Dugand",Accepted,,M,WCSP (in review),796320,31086-2,"Caldasia","2: 371","","1944"
kew-2680166,A,Capparaceae,,Borthwickia,,"trifoliata",,"","W.W.Sm.",Accepted,,M,WCSP (in review),803535,146082-1,"Trans. & Proc. Bot. Soc. Edinburgh","24: 175","","1911"
kew-2680290,A,Capparaceae,,Boscia,,"albitrunca",,"","(Burch.) Gilg & Benedict",Accepted,,M,WCSP (in review),803659,,"Bot. Jahrb. Syst.","53: 212","","1915"
tro-5900504,A,Capparaceae,,Boscia,,"albitrunca",var.,"albitrunca","",Accepted,,L,TRO,5900504,,"","","",""
kew-2680292,A,Capparaceae,,Boscia,,"angustifolia",,"","A.Rich.",Accepted,,M,WCSP (in review),803661,146085-1,"Fl. Seneg. Tent.","26","","1831"
kew-2680294,A,Capparaceae,,Boscia,,"angustifolia",var.,"corymbosa","(Gilg) DeWolf",Accepted,,L,WCSP (in review),803663,,"Kew Bull.","16: 82","","1962"
kew-2680295,A,Capparaceae,,Boscia,,"arabica",,"","Pestal.",Accepted,,M,WCSP (in review),803664,146086-1,"Bull. Herb. Boissier","6(App. 3): 127","","1898"
kew-2680299,A,Capparaceae,,Boscia,,"cauliflora",,"","Wild",Accepted,,M,WCSP (in review),803668,146090-1,"Bol. Soc. Brot.","II, 32: 40","","1958"
kew-2680300,A,Capparaceae,,Boscia,,"coriacea",,"","Graells",Accepted,,M,WCSP (in review),803669,,"Bot. Jahrb. Syst.","14: 299","","1892"
kew-2680305,A,Capparaceae,,Boscia,,"fadeniorum",,"","Fici",Accepted,,M,WCSP (in review),803674,983161-1,"Kew Bull.","50: 409","","1995"
kew-2680310,A,Capparaceae,,Boscia,,"foetida",,"","Schinz",Accepted,,M,WCSP (in review),803679,146100-1,"Verh. Bot. Vereins Prov. Brandenburg","29(Abh.): 49","","1888"
kew-2680311,A,Capparaceae,,Boscia,,"foetida",subsp.,"filipes","(Gilg) Lötter",Accepted,,L,WCSP (in review),803680,,"Trees Shrubs Mpumalanga","676","","2002"
kew-2680312,A,Capparaceae,,Boscia,,"foetida",subsp.,"longipedicellata","(Gilg) Toelken",Accepted,,L,WCSP (in review),803681,,"Bothalia","10: 62","","1969"
kew-2680315,A,Capparaceae,,Boscia,,"foetida",subsp.,"rehmannii","(Pest) Toelken",Accepted,,L,WCSP (in review),803684,,"Bothalia","10: 62","","1969"
kew-2680316,A,Capparaceae,,Boscia,,"gossweileri",,"","Exell",Accepted,,M,WCSP (in review),803685,146101-1,"J. Bot.","73(Suppl.): 11","","1935"
kew-2680319,A,Capparaceae,,Boscia,,"hexamitocarpa",,"","Gilg-Ben.",Accepted,,M,WCSP (in review),803688,146104-1,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 187","","1938"
kew-2680323,A,Capparaceae,,Boscia,,"homblei",,"","De Wild.",Accepted,,M,WCSP (in review),803692,146108-1,"Repert. Spec. Nov. Regni Veg.","11: 511","","1913"
kew-2680327,A,Capparaceae,,Boscia,,"kalachariensis",,"","Pestal.",Accepted,,M,WCSP (in review),803696,146112-1,"Bull. Herb. Boissier","6(App. 3): 98","","1898"
kew-2680328,A,Capparaceae,,Boscia,,"keniensis",,"","Beentje",Accepted,,M,WCSP (in review),803697,938358-1,"Kew Bull.","44: 743","","1989"
kew-2680329,A,Capparaceae,,Boscia,,"longifolia",,"","Hadj-Moust.",Accepted,,M,WCSP (in review),803698,146113-1,"Adansonia","n.s., 5: 30","","1965"
kew-2680331,A,Capparaceae,,Boscia,,"madagascariensis",,"","(DC.) Hadj-Moust.",Accepted,,M,WCSP (in review),803700,146115-1,"Adansonia","n.s., 5: 29","","1965"
kew-2680332,A,Capparaceae,,Boscia,,"matabelensis",,"","Pestal.",Accepted,,M,WCSP (in review),803701,146116-1,"Bull. Herb. Boissier","6(App. 3): 115","","1898"
kew-2680333,A,Capparaceae,,Boscia,,"mazzocchii",,"","(Chiov.) Fici & Kers",Accepted,,M,WCSP (in review),803702,,"","","",""
kew-2680334,A,Capparaceae,,Boscia,,"microphylla",,"","Oliv.",Accepted,,M,WCSP (in review),803703,146117-1,"Fl. Trop. Afr.","1: 93","","1868"
kew-2680335,A,Capparaceae,,Boscia,,"minimifolia",,"","Chiov.",Accepted,,M,WCSP (in review),803704,146118-1,"Result. Sci. Miss. Stefan.-Paoli Somal. Ital.","1: 19","","1916"
kew-2680336,A,Capparaceae,,Boscia,,"mossambicensis",,"","Klotzsch",Accepted,,M,WCSP (in review),803705,146119-1,"Naturw. Reise Mossambique","164","","1861"
kew-2680339,A,Capparaceae,,Boscia,,"oleoides",,"","(Burch. ex DC.) Toelken",Accepted,,M,WCSP (in review),803708,146122-1,"Bothalia","10: 59","","1969"
kew-2680344,A,Capparaceae,,Boscia,,"pestalozziana",,"","Gilg",Accepted,,M,WCSP (in review),803713,146127-1,"Bot. Jahrb. Syst.","33: 221","","1902"
kew-2680345,A,Capparaceae,,Boscia,,"plantefolii",,"","Hadj-Moust.",Accepted,,M,WCSP (in review),803714,146128-1,"Adansonia","n.s., 5: 29","","1965"
kew-2680346,A,Capparaceae,,Boscia,,"polyantha",,"","Gilg",Accepted,,M,WCSP (in review),803715,146129-1,"Notizbl. Königl. Bot. Gart. Berlin","1: 109","","1895"
kew-2680348,A,Capparaceae,,Boscia,,"praecox",,"","Hauman",Accepted,,M,WCSP (in review),803717,146131-1,"Bull. Jard. Bot. État","20: 195","","1950"
