ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2609442,A,Caprifoliaceae,,Abelia,,"angustifolia",,"","Bureau & Franch.",Accepted,,M,WCSP (in review),733788,148179-1,"J. Bot. (Morot)","5: 47","","1891"
kew-2609443,A,Caprifoliaceae,,Abelia,,"anhwensis",,"","Nakai",Accepted,,M,WCSP (in review),733789,148180-1,"J. Jap. Bot.","13: 557","","1937"
kew-2609444,A,Caprifoliaceae,,Abelia,,"aschersoniana",,"","(Graebn.) Rehder",Accepted,,M,WCSP (in review),733790,148181-1,"Pl. Wilson.","1: 127","","1911"
kew-2609445,A,Caprifoliaceae,,Abelia,,"biflora",,"","Turcz.",Accepted,,M,WCSP (in review),733791,148182-1,"Bull. Soc. Imp. Naturalistes Moscou","10(7): 152","","1837"
kew-2609449,A,Caprifoliaceae,,Abelia,,"brachystemon",,"","(Diels) Rehder",Accepted,,M,WCSP (in review),733795,148183-1,"J. Arnold Arbor.","9: 117","","1928"
kew-2609451,A,Caprifoliaceae,,Abelia,,"buddleioides",,"","W.W.Sm.",Accepted,,M,WCSP (in review),733797,,"Notes Roy. Bot. Gard. Edinburgh","9: 75","","1916"
kew-2609452,A,Caprifoliaceae,,Abelia,,"cavaleriei",,"","H.Lév.",Accepted,,M,WCSP (in review),733798,148186-1,"Fl. Kouy-Tchéou","60","","1914"
kew-2609453,A,Caprifoliaceae,,Abelia,,"chinensis",,"","R.Br.",Accepted,,M,WCSP (in review),733799,148187-1,"Narr. Journey China","376","","1818"
kew-2609454,A,Caprifoliaceae,,Abelia,,"chowii",,"","G.Hoo",Accepted,,M,WCSP (in review),733800,148188-1,"Acta Phytotax.","1: 197","","1951"
kew-2609458,A,Caprifoliaceae,,Abelia,,"corymbosa",,"","Regel & Schmalh.",Accepted,,M,WCSP (in review),733804,148191-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","5: 608","","1877"
kew-2609462,A,Caprifoliaceae,,Abelia,,"dielsii",,"","(Graebn.) Rehder",Accepted,,M,WCSP (in review),733808,148195-1,"Pl. Wilson.","1: 128","","1911"
kew-2609463,A,Caprifoliaceae,,Abelia,,"engleriana",,"","(Graebn.) Rehder",Accepted,,L,WCSP (in review),733809,148196-1,"Pl. Wilson.","1: 120","","1911"
tro-6000631,A,Caprifoliaceae,,Abelia,,"forrestii",,"","(Diels) W.W. Sm.",Accepted,,M,TRO,6000631,,"Notes Roy. Bot. Gard. Edinburgh","9(42): 76","76","1916"
kew-2609466,A,Caprifoliaceae,,Abelia,,"gracilenta",,"","W.W.Sm.",Accepted,,M,WCSP (in review),733812,148199-1,"Notes Roy. Bot. Gard. Edinburgh","9: 76","","1916"
kew-2609467,A,Caprifoliaceae,,Abelia,,"gracilenta",var.,"microphylla","W.W.Sm.",Accepted,,L,WCSP (in review),733813,,"Notes Roy. Bot. Gard. Edinburgh","9: 76","","1916"
kew-2609471,A,Caprifoliaceae,,Abelia,,"grandifolia",,"","Villarreal",Accepted,,M,WCSP (in review),733817,320531-2,"Brittonia","52: 174","","2000"
kew-2609474,A,Caprifoliaceae,,Abelia,,"hersii",,"","Nakai",Accepted,,M,WCSP (in review),733820,148204-1,"J. Jap. Bot.","13: 557","","1937"
kew-2609477,A,Caprifoliaceae,,Abelia,,"integrifolia",,"","Koidz.",Accepted,,M,WCSP (in review),733823,148207-1,"Bot. Mag. (Tokyo)","29: 312","","1915"
kew-2609478,A,Caprifoliaceae,,Abelia,,"ionandra",,"","Hayata",Accepted,,M,WCSP (in review),733824,148208-1,"Icon. Pl. Formosan.","7: 31","","1918"
kew-2609482,A,Caprifoliaceae,,Abelia,,"macrotera",,"","(Graebn. & Bruchw.) Rehder",Accepted,,M,WCSP (in review),733828,148212-1,"Pl. Wilson.","1: 126","","1911"
kew-2609484,A,Caprifoliaceae,,Abelia,,"mexicana",,"","Villarreal",Accepted,,M,WCSP (in review),733830,320530-2,"Brittonia","52: 172","","2000"
kew-2609486,A,Caprifoliaceae,,Abelia,,"mosanensis",,"","I.C.Chung ex Nakai",Accepted,,M,WCSP (in review),733832,148215-1,"Bot. Mag. (Tokyo)","40: 171","","1926"
kew-2609488,A,Caprifoliaceae,,Abelia,,"occidentalis",,"","Villarreal",Accepted,,M,WCSP (in review),733834,313057-2,"Brittonia","49: 84","","1997"
kew-2609489,A,Caprifoliaceae,,Abelia,,"onkocarpa",,"","(Graebn.) Rehder",Accepted,,M,WCSP (in review),733835,148217-1,"Pl. Wilson.","1: 128","","1911"
kew-2609490,A,Caprifoliaceae,,Abelia,,"parvifolia",,"","Hemsl.",Accepted,,M,WCSP (in review),733836,148218-1,"J. Linn. Soc., Bot.","23: 358","","1888"
kew-2609498,A,Caprifoliaceae,,Abelia,,"serrata",,"","Siebold & Zucc.",Accepted,,M,WCSP (in review),733844,148224-1,"Fl. Jap.","1: 76","","1839"
kew-2609499,A,Caprifoliaceae,,Abelia,,"serrata",var.,"buchwaldii","(Graebn.) Nakai",Accepted,,L,WCSP (in review),733845,,"Trees Shrubs Japan","622","","1922"
kew-2609501,A,Caprifoliaceae,,Abelia,,"serrata",var.,"gymnocarpa","(Graebn.) Nakai",Accepted,,L,WCSP (in review),733847,,"Trees Shrubs Japan","623","","1922"
