ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-34102,A,Cardiopteridaceae,,Cardiopteris,,"moluccana",,"","Blume",Accepted,,H,WCSP,34102,607660-1,"Rumphia","3: 207","","1847"
kew-34104,A,Cardiopteridaceae,,Cardiopteris,,"quinqueloba",,"","(Hassk.) Hassk.",Accepted,,H,WCSP,34104,607661-1,"Retzia","1: 64","","1855"
kew-2723761,A,Cardiopteridaceae,,Citronella,,"apogon",,"","(Griseb.) R.A.Howard",Accepted,,L,WCSP,382931,607709-1,"Contr. Gray Herb.","142: 75","","1942"
kew-2723764,A,Cardiopteridaceae,,Citronella,,"colombiana",,"","Cuatrec.",Accepted,,H,WCSP,382934,607712-1,"Lloydia","11: 218","","1949"
kew-2723765,A,Cardiopteridaceae,,Citronella,,"costaricensis",,"","(Donn.Sm.) R.A.Howard",Accepted,,L,WCSP,382935,1105221-2,"J. Arnold Arbor.","21: 471","","1940"
kew-2723766,A,Cardiopteridaceae,,Citronella,,"engleriana",,"","(Loes.) R.A.Howard",Accepted,,H,WCSP,382936,1124929-2,"J. Arnold Arbor.","21: 471","","1940"
kew-2723767,A,Cardiopteridaceae,,Citronella,,"gongonha",,"","(Mart.) R.A.Howard",Accepted,,H,WCSP,382937,1120991-2,"J. Arnold Arbor.","21: 471","","1940"
kew-2723768,A,Cardiopteridaceae,,Citronella,,"ilicifolia",,"","(Sleumer) R.A.Howard",Accepted,,H,WCSP,382938,607716-1,"Contr. Gray Herb.","142: 79","","1942"
kew-2723769,A,Cardiopteridaceae,,Citronella,,"incarum",,"","(J.F.Macbr.) R.A.Howard",Accepted,,H,WCSP,382939,1143077-2,"J. Arnold Arbor.","21: 472","","1940"
kew-2723770,A,Cardiopteridaceae,,Citronella,,"latifolia",,"","(Merr.) R.A.Howard",Accepted,,H,WCSP,382940,607718-1,"J. Arnold Arbor.","21: 471","","1940"
kew-2723771,A,Cardiopteridaceae,,Citronella,,"lucidula",,"","(Sleumer) R.A.Howard",Accepted,,H,WCSP,382941,607719-1,"Contr. Gray Herb.","142: 87","","1942"
kew-2723772,A,Cardiopteridaceae,,Citronella,,"macrocarpa",,"","Hürl.",Accepted,,H,WCSP,382942,434250-1,"Mém. Mus. Natl. Hist. Nat., B, Bot.","15: 60","","1964"
kew-2723774,A,Cardiopteridaceae,,Citronella,,"melliodora",,"","(Sleumer) R.A.Howard",Accepted,,H,WCSP,382944,607721-1,"Contr. Gray Herb.","142: 77","","1942"
kew-2723775,A,Cardiopteridaceae,,Citronella,,"moorei",,"","(F.Muell. ex Benth.) R.A.Howard",Accepted,,H,WCSP,382945,607722-1,"J. Arnold Arbor.","21: 472","","1940"
kew-2723776,A,Cardiopteridaceae,,Citronella,,"mucronata",,"","(Ruiz & Pav.) D.Don",Accepted,,L,WCSP,382946,1143328-2,"Edinburgh New Philos. J.","13(Oct. ): 243","","1832"
kew-2723777,A,Cardiopteridaceae,,Citronella,,"paniculata",,"","(Mart.) R.A.Howard",Accepted,,L,WCSP,382947,1096961-2,"J. Arnold Arbor.","21: 473","","1940"
kew-2723780,A,Cardiopteridaceae,,Citronella,,"philippinensis",,"","(Merr.) R.A.Howard",Accepted,,H,WCSP,382950,607727-1,"J. Arnold Arbor.","21: 474","","1940"
kew-2723782,A,Cardiopteridaceae,,Citronella,,"samoensis",,"","(A.Gray) R.A.Howard",Accepted,,H,WCSP,382952,607729-1,"J. Arnold Arbor.","21: 475","","1940"
kew-2723783,A,Cardiopteridaceae,,Citronella,,"sarmentosa",,"","(Baill.) R.A.Howard",Accepted,,H,WCSP,382953,607730-1,"J. Arnold Arbor.","21: 475","","1940"
kew-2723784,A,Cardiopteridaceae,,Citronella,,"silvatica",,"","Cuatrec.",Accepted,,H,WCSP,382954,607731-1,"Lloydia","11: 219","","1949"
kew-2723785,A,Cardiopteridaceae,,Citronella,,"smythii",,"","(F.Muell.) R.A.Howard",Accepted,,H,WCSP,382955,607732-1,"J. Arnold Arbor.","21: 475","","1940"
kew-2723786,A,Cardiopteridaceae,,Citronella,,"suaveolens",,"","(Blume) R.A.Howard",Accepted,,H,WCSP,382956,607733-1,"J. Arnold Arbor.","21: 475","","1940"
kew-2723787,A,Cardiopteridaceae,,Citronella,,"sucumbiensis",,"","Cuatrec.",Accepted,,H,WCSP,382957,607734-1,"Lloydia","11: 218","","1949"
