ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-10417,A,Caryocaraceae,,Anthodiscus,,"amazonicus",,"","Gleason & A.C.Sm.",Accepted,,H,WCSP,10417,15001-2,"Brittonia","2: 156","","1936"
kew-10418,A,Caryocaraceae,,Anthodiscus,,"chocoensis",,"","Prance",Accepted,,H,WCSP,10418,15002-2,"Brittonia","32: 530","","1980 publ. 1981"
kew-10419,A,Caryocaraceae,,Anthodiscus,,"fragrans",,"","Sleumer",Accepted,,H,WCSP,10419,15003-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 375","","1941"
kew-10423,A,Caryocaraceae,,Anthodiscus,,"klugii",,"","Standl. ex Prance",Accepted,,H,WCSP,10423,15005-2,"Brittonia","23: 443","","1971"
kew-10424,A,Caryocaraceae,,Anthodiscus,,"mazarunensis",,"","Gilly",Accepted,,H,WCSP,10424,15006-2,"Trop. Woods","72: 16","","1942"
kew-10425,A,Caryocaraceae,,Anthodiscus,,"montanus",,"","Gleason",Accepted,,H,WCSP,10425,15007-2,"Phytologia","1: 29","","1933"
kew-10426,A,Caryocaraceae,,Anthodiscus,,"obovatus",,"","Benth. ex Wittm.",Accepted,,H,WCSP,10426,828454-1,"Fl. Bras.","12(1): 358","","1886"
kew-10427,A,Caryocaraceae,,Anthodiscus,,"peruanus",,"","Baill.",Accepted,,H,WCSP,10427,828455-1,"Adansonia","10: 241","","1872"
kew-10428,A,Caryocaraceae,,Anthodiscus,,"pilosus",,"","Ducke",Accepted,,H,WCSP,10428,15009-2,"Trop. Woods","90: 23","","1947"
kew-10429,A,Caryocaraceae,,Anthodiscus,,"trifoliatus",,"","G.Mey.",Accepted,,H,WCSP,10429,828456-1,"Prim. Fl. Esseq.","194","","1818"
kew-34622,A,Caryocaraceae,,Caryocar,,"amygdaliferum",,"","Mutis ex Cav.",Accepted,,H,WCSP,34622,828590-1,"Icon.","4: 37","","1798"
kew-34623,A,Caryocaraceae,,Caryocar,,"amygdaliforme",,"","G.Don",Accepted,,H,WCSP,34623,,"Gen. Hist.","1: 654","","1831"
kew-34625,A,Caryocaraceae,,Caryocar,,"brasiliense",,"","A.St.-Hil.",Accepted,,H,WCSP,34625,,"Fl. Bras. Merid.","1: 322","","1828"
kew-34626,A,Caryocaraceae,,Caryocar,,"brasiliense",subsp.,"brasiliense","",Accepted,,L,WCSP,34626,,"Unknown","","",""
kew-34628,A,Caryocaraceae,,Caryocar,,"brasiliense",subsp.,"intermedium","(Wittm.) Prance & M.F.Silva",Accepted,,L,WCSP,34628,47858-2,"Fl. Neotrop. Monogr.","12: 26","","1973"
kew-34632,A,Caryocaraceae,,Caryocar,,"coriaceum",,"","Wittm.",Accepted,,H,WCSP,34632,47861-2,"Fl. Bras.","12(1): 352","","1886"
kew-34633,A,Caryocaraceae,,Caryocar,,"costaricense",,"","Donn.Sm.",Accepted,,H,WCSP,34633,47862-2,"Bot. Gaz.","55: 431","","1913"
kew-34635,A,Caryocaraceae,,Caryocar,,"cuneatum",,"","Wittm.",Accepted,,H,WCSP,34635,47864-2,"Fl. Bras.","12(1): 352","","1886"
kew-34636,A,Caryocaraceae,,Caryocar,,"dentatum",,"","Gleason",Accepted,,H,WCSP,34636,47865-2,"Bull. Torrey Bot. Club","60: 380","","1933"
kew-34637,A,Caryocaraceae,,Caryocar,,"edule",,"","Casar.",Accepted,,H,WCSP,34637,828598-1,"Nov. Stirp. Bras.","67","","1844"
kew-34638,A,Caryocaraceae,,Caryocar,,"glabrum",,"","(Aubl.) Pers.",Accepted,,H,WCSP,34638,828599-1,"Syn. Pl.","2: 84","","1806"
kew-34641,A,Caryocaraceae,,Caryocar,,"glabrum",subsp.,"glabrum","",Accepted,,L,WCSP,34641,,"Unknown","","",""
kew-34642,A,Caryocaraceae,,Caryocar,,"glabrum",subsp.,"parviflorum","(A.C.Sm.) Prance & M.F.Silva",Accepted,,L,WCSP,34642,47869-2,"Fl. Neotrop. Monogr.","12: 43","","1973"
kew-34644,A,Caryocaraceae,,Caryocar,,"gracile",,"","Wittm.",Accepted,,H,WCSP,34644,47871-2,"Fl. Bras.","12(1): 350","","1886"
kew-34645,A,Caryocaraceae,,Caryocar,,"harlingii",,"","Prance & Encarn.",Accepted,,H,WCSP,34645,274157-2,"Opera Bot.","92: 182","","1987"
kew-34648,A,Caryocaraceae,,Caryocar,,"microcarpum",,"","Ducke",Accepted,,H,WCSP,34648,47874-2,"Arch. Jard. Bot. Rio de Janeiro","4: 133","","1925"
kew-34649,A,Caryocaraceae,,Caryocar,,"montanum",,"","Prance",Accepted,,H,WCSP,34649,47875-2,"Mem. New York Bot. Gard.","23: 128","","1972"
kew-34650,A,Caryocaraceae,,Caryocar,,"nuciferum",,"","L.",Accepted,,H,WCSP,34650,828602-1,"Mant. Pl.","2: 247","","1771"
kew-34651,A,Caryocaraceae,,Caryocar,,"pallidum",,"","A.C.Sm.",Accepted,,H,WCSP,34651,47876-2,"J. Arnold Arbor.","20: 297","","1939"
kew-34658,A,Caryocaraceae,,Caryocar,,"villosum",,"","(Aubl.) Pers.",Accepted,,H,WCSP,34658,828606-1,"Syn. Pl.","2: 84","","1806"
