ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615027,A,Caryophyllaceae,,Acanthophyllum,,"acerosum",,"","Sosn.",Accepted,,M,WCSP (in review),738898,150208-1,"Vestn. Tiflissk. Bot. Sada","11: 7","","1915"
kew-2615029,A,Caryophyllaceae,,Acanthophyllum,,"aculeatum",,"","Schischk.",Accepted,,M,WCSP (in review),738900,150210-1,"Fl. URSS","6: 895","","1936"
kew-2615030,A,Caryophyllaceae,,Acanthophyllum,,"adenophorum",,"","Freyn",Accepted,,M,WCSP (in review),738901,150211-1,"Bull. Herb. Boissier","II, 3: 867","","1903"
kew-2615031,A,Caryophyllaceae,,Acanthophyllum,,"albidum",,"","Schischk.",Accepted,,M,WCSP (in review),738902,150212-1,"Fl. URSS","6: 893","","1936"
kew-2615034,A,Caryophyllaceae,,Acanthophyllum,,"andarabicum",,"","Podlech ex Schiman-Czeika",Accepted,,M,WCSP (in review),738905,935233-1,"in Fl. Iran.","163: 317","","1988"
kew-2615035,A,Caryophyllaceae,,Acanthophyllum,,"andersenii",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),738906,935229-1,"in Fl. Iran.","163: 301","","1988"
kew-2615036,A,Caryophyllaceae,,Acanthophyllum,,"anisocladum",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),738907,941037-1,"in Fl. Iran.","163: 326","","1988"
kew-2615038,A,Caryophyllaceae,,Acanthophyllum,,"bilobum",,"","Schiman-Czeika",Accepted,,M,WCSP (in review),738909,935235-1,"in Fl. Iran.","163: 328","","1988"
kew-2615039,A,Caryophyllaceae,,Acanthophyllum,,"borsczowii",,"","Litv.",Accepted,,M,WCSP (in review),738910,150215-1,"Trudy Bot. Muz. Imp. Akad. Nauk","7: 71","","1910"
kew-2615040,A,Caryophyllaceae,,Acanthophyllum,,"bracteatum",,"","Boiss.",Accepted,,M,WCSP (in review),738911,150216-1,"Diagn. Pl. Orient.","1: 43","","1843"
kew-2615041,A,Caryophyllaceae,,Acanthophyllum,,"brevibracteatum",,"","Lipsky",Accepted,,M,WCSP (in review),738912,150217-1,"Zap. Kievsk. Obsc. Estestvoisp.","12: 6","","1889"
kew-2615044,A,Caryophyllaceae,,Acanthophyllum,,"caespitosum",,"","Boiss.",Accepted,,M,WCSP (in review),738915,150220-1,"Diagn. Pl. Orient.","1: 42","","1843"
kew-2615046,A,Caryophyllaceae,,Acanthophyllum,,"chloroleucum",,"","Rech.f. & Aellen",Accepted,,M,WCSP (in review),738917,150222-1,"Bot. Jahrb. Syst.","75: 360","","1951"
kew-2615047,A,Caryophyllaceae,,Acanthophyllum,,"coloratum",,"","(Preobr.) Schischk.",Accepted,,M,WCSP (in review),738918,150223-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","3: 182","","1937"
