ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2629029,A,Casuarinaceae,,Allocasuarina,,"acuaria",,"","(F.Muell.) L.A.S.Johnson",Accepted,,H,WCSP,382112,909934-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629030,A,Casuarinaceae,,Allocasuarina,,"acutivalvis",,"","(F.Muell.) L.A.S.Johnson",Accepted,,H,WCSP,382113,909935-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629031,A,Casuarinaceae,,Allocasuarina,,"acutivalvis",subsp.,"prinsepiana","(C.R.P.Andrews) L.A.S.Johnson",Accepted,,L,WCSP,382114,920492-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629032,A,Casuarinaceae,,Allocasuarina,,"brachystachya",,"","L.A.S.Johnson",Accepted,,H,WCSP,382115,937327-1,"in Fl. Australia","3: 193","","1989"
kew-2629033,A,Casuarinaceae,,Allocasuarina,,"campestris",,"","(Diels) L.A.S.Johnson",Accepted,,H,WCSP,382116,909936-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629036,A,Casuarinaceae,,Allocasuarina,,"corniculata",,"","(F.Muell.) L.A.S.Johnson",Accepted,,H,WCSP,382119,909937-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629037,A,Casuarinaceae,,Allocasuarina,,"crassa",,"","L.A.S.Johnson",Accepted,,H,WCSP,382120,937328-1,"in Fl. Australia","3: 194","","1989"
kew-2629038,A,Casuarinaceae,,Allocasuarina,,"decaisneana",,"","(F.Muell.) L.A.S.Johnson",Accepted,,L,WCSP,382121,909938-1,"J. Adelaide Bot. Gard.","6: 74","","1982"
kew-2629039,A,Casuarinaceae,,Allocasuarina,,"decussata",,"","(Benth.) L.A.S.Johnson",Accepted,,H,WCSP,382122,909939-1,"J. Adelaide Bot. Gard.","6: 75","","1982"
kew-2629040,A,Casuarinaceae,,Allocasuarina,,"defungens",,"","L.A.S.Johnson",Accepted,,H,WCSP,382123,937329-1,"in Fl. Australia","3: 194","","1989"
kew-2629041,A,Casuarinaceae,,Allocasuarina,,"dielsiana",,"","(Gardner) L.A.S.Johnson",Accepted,,H,WCSP,382124,909940-1,"J. Adelaide Bot. Gard.","6: 75","","1982"
kew-2629042,A,Casuarinaceae,,Allocasuarina,,"diminuta",,"","L.A.S.Johnson",Accepted,,H,WCSP,382125,937330-1,"in Fl. Australia","3: 194","","1989"
kew-2629045,A,Casuarinaceae,,Allocasuarina,,"distyla",,"","(Vent.) L.A.S.Johnson",Accepted,,H,WCSP,382128,909941-1,"J. Adelaide Bot. Gard.","6: 75","","1982"
kew-2629046,A,Casuarinaceae,,Allocasuarina,,"drummondiana",,"","(Miq.) L.A.S.Johnson",Accepted,,H,WCSP,382129,909942-1,"J. Adelaide Bot. Gard.","6: 75","","1982"
kew-2629047,A,Casuarinaceae,,Allocasuarina,,"duncanii",,"","L.A.S.Johnson & D.I.Morris",Accepted,,H,WCSP,382130,976823-1,"Telopea","5: 793","","1994"
