ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1632,A,Celastraceae,,Acanthothamnus,,"aphyllus",,"","(Schltdl.) Standl.",Accepted,,L,WCSP,1632,1714-2,"Contr. U. S. Natl. Herb.","23: 684","","1923"
kew-2629026,A,Celastraceae,,Allocassine,,"laurifolia",,"","(Harv.) N.Robson",Accepted,,M,WCSP (in review),752851,159957-1,"Bol. Soc. Brot.","II, 39: 32","","1965"
kew-2641675,A,Celastraceae,,Anthodon,,"decussatum",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),765361,430910-1,"Fl. Peruv.","1: 45","","1798"
kew-2641684,A,Celastraceae,,Anthodon,,"panamensis",,"","A.C.Sm.",Accepted,,M,WCSP (in review),765370,15016-2,"Brittonia","3: 422","","1940"
kew-2641686,A,Celastraceae,,Anthodon,,"selloanum",,"","Schult.",Accepted,,M,WCSP (in review),765372,430921-1,"Mant.","3(2): 411","","1827"
kew-2641687,A,Celastraceae,,Anthodon,,"trinerve",,"","(Spreng.) Schult.",Accepted,,M,WCSP (in review),765373,430922-1,"Mant.","3(2): 411","","1827"
kew-2643226,A,Celastraceae,,Apatophyllum,,"constablei",,"","McGill.",Accepted,,M,WCSP (in review),766905,159961-1,"Kew Bull.","25: 403","","1971"
kew-2643227,A,Celastraceae,,Apatophyllum,,"flavovirens",,"","A.R.Bean & Jessup",Accepted,,M,WCSP (in review),766906,1018316-1,"Austrobaileya","5: 693","","2000"
kew-2643228,A,Celastraceae,,Apatophyllum,,"macgillivrayi",,"","Cranfield & Lander",Accepted,,M,WCSP (in review),766907,961031-1,"Nuytsia","8: 191","","1992"
kew-2643229,A,Celastraceae,,Apatophyllum,,"olsenii",,"","McGill.",Accepted,,M,WCSP (in review),766908,159962-1,"Kew Bull.","25: 405","","1971"
kew-2643230,A,Celastraceae,,Apatophyllum,,"teretifolium",,"","A.R.Bean & Jessup",Accepted,,M,WCSP (in review),766909,1018315-1,"Austrobaileya","5: 693","","2000"
kew-2644261,A,Celastraceae,,Apodostigma,,"pallens",,"","(Planch. ex Oliv.) R.Wilczek",Accepted,,M,WCSP (in review),767927,,"Bull. Jard. Bot. État","26: 403","","1956"
kew-2644262,A,Celastraceae,,Apodostigma,,"pallens",var.,"buchholzii","(Loes.) N.Hallé",Accepted,,L,WCSP (in review),767928,,"in Fl. Gabon","29: 197","","1986"
kew-2653045,A,Celastraceae,,Arnicratea,,"cambodiana",,"","(Pierre) N.Hallé",Accepted,,M,WCSP (in review),776711,913683-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","6: 16","","1984"
kew-2653046,A,Celastraceae,,Arnicratea,,"ferruginea",,"","(King) N.Hallé",Accepted,,M,WCSP (in review),776712,913684-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","6: 16","","1984"
kew-2653047,A,Celastraceae,,Arnicratea,,"grahamii",,"","(Wight) N.Hallé",Accepted,,M,WCSP (in review),776713,913685-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","6: 14","","1984"
kew-2673339,A,Celastraceae,,Bequaertia,,"mucronata",,"","(Exell) R.Wilczek",Accepted,,M,WCSP (in review),796802,430927-1,"Bull. Jard. Bot. État","26: 400","","1956"
kew-2681966,A,Celastraceae,,Brassiantha,,"pentamera",,"","A.C.Sm.",Accepted,,M,WCSP (in review),805312,430928-1,"J. Arnold Arbor.","22: 390","","1941"
kew-2683262,A,Celastraceae,,Brexia,,"alaticarpa",,"","G.E.Schatz & Lowry",Accepted,,M,WCSP (in review),806603,60436054-2,"Adansonia","III, 26: 70","","2004"
kew-2683266,A,Celastraceae,,Brexia,,"australis",,"","G.E.Schatz & Lowry",Accepted,,M,WCSP (in review),806607,60436055-2,"Adansonia","III, 26: 73","","2004"
kew-2683276,A,Celastraceae,,Brexia,,"madagascariensis",,"","(Lam.) Thouars ex Ker Gawl.",Accepted,,M,WCSP (in review),806617,790429-1,"Bot. Reg.","9: t. 730","","1823"
kew-2683279,A,Celastraceae,,Brexia,,"marioniae",,"","G.E.Schatz & Lowry",Accepted,,M,WCSP (in review),806620,60436056-2,"Adansonia","III, 26: 78","","2004"
kew-2683287,A,Celastraceae,,Brexiella,,"cymosa",,"","H.Perrier",Accepted,,M,WCSP (in review),806628,790436-1,"Bull. Soc. Bot. France","80: 207","","1933"
kew-2683288,A,Celastraceae,,Brexiella,,"ilicifolia",,"","H.Perrier",Accepted,,M,WCSP (in review),806629,790437-1,"Bull. Soc. Bot. France","80: 207","","1933"
kew-2695582,A,Celastraceae,,Campylostemon,,"angolense",,"","Welw. ex Oliv.",Accepted,,M,WCSP (in review),818704,160001-1,"J. Linn. Soc., Bot.","10: 44","","1869"
kew-2695583,A,Celastraceae,,Campylostemon,,"bequaertii",,"","De Wild.",Accepted,,M,WCSP (in review),818705,430931-1,"Pl. Bequaert.","2: 59","","1923"
kew-2695584,A,Celastraceae,,Campylostemon,,"danckelmannianus",,"","Loes.",Accepted,,M,WCSP (in review),818706,430933-1,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 573","","1937"
