ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-220565,A,Centrolepidaceae,,Aphelia,,"brizula",,"","F.Muell.",Accepted,,H,WCSP,220565,131220-3,"Fragm.","5: 203","","1866"
kew-220566,A,Centrolepidaceae,,Aphelia,,"cyperoides",,"","R.Br.",Accepted,,H,WCSP,220566,162963-1,"Prodr. Fl. Nov. Holl.","252","","1810"
kew-220567,A,Centrolepidaceae,,Aphelia,,"drummondii",,"","(Hieron.) Benth.",Accepted,,H,WCSP,220567,162964-1,"Fl. Austral.","7: 201","","1878"
kew-220568,A,Centrolepidaceae,,Aphelia,,"gracilis",,"","Sond.",Accepted,,H,WCSP,220568,162965-1,"Linnaea","28: 227","","1856"
kew-220571,A,Centrolepidaceae,,Aphelia,,"nutans",,"","Hook.f. ex Benth.",Accepted,,H,WCSP,220571,162968-1,"Fl. Austral.","7: 200","","1878"
kew-220572,A,Centrolepidaceae,,Aphelia,,"pumilio",,"","F.Muell. ex Sond.",Accepted,,H,WCSP,220572,131376-3,"Linnaea","28: 226","","1856"
kew-232576,A,Centrolepidaceae,,Centrolepis,,"alepyroides",,"","(Nees) Walp.",Accepted,,H,WCSP,232576,58019-3,"Ann. Bot. Syst.","1: 897","","1849"
kew-232577,A,Centrolepidaceae,,Centrolepis,,"aristata",,"","(R.Br.) Roem. & Schult.",Accepted,,H,WCSP,232577,58028-3,"Syst. Veg.","1: 44","","1817"
kew-232580,A,Centrolepidaceae,,Centrolepis,,"banksii",,"","(R.Br.) Roem. & Schult.",Accepted,,H,WCSP,232580,58062-3,"Syst. Veg.","1: 44","","1817"
kew-232583,A,Centrolepidaceae,,Centrolepis,,"caespitosa",,"","D.A.Cooke",Accepted,,H,WCSP,232583,162982-1,"Muelleria","4: 269","","1980"
kew-232584,A,Centrolepidaceae,,Centrolepis,,"cambodiana",,"","Hance",Accepted,,H,WCSP,232584,162983-1,"J. Bot.","14: 14","","1876"
kew-232585,A,Centrolepidaceae,,Centrolepis,,"cephaloformis",,"","Reader",Accepted,,H,WCSP,232585,162984-1,"Victoria Naturalist","19: 97","","1902"
kew-232587,A,Centrolepidaceae,,Centrolepis,,"cephaloformis",subsp.,"murrayi","(J.M.Black) D.A.Cooke",Accepted,,L,WCSP,232587,876059-1,"Muelleria","4: 269","","1980"
kew-232588,A,Centrolepidaceae,,Centrolepis,,"ciliata",,"","(Hook.f.) Druce",Accepted,,H,WCSP,232588,162985-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","1916: 614","","1917"
kew-232589,A,Centrolepidaceae,,Centrolepis,,"curta",,"","D.A.Cooke",Accepted,,H,WCSP,232589,961485-1,"J. Adelaide Bot. Gard.","15: 41","","1992"
kew-232591,A,Centrolepidaceae,,Centrolepis,,"drummondiana",,"","(Nees) Walp.",Accepted,,H,WCSP,232591,58177-3,"Ann. Bot. Syst.","1: 896","","1849"
kew-232592,A,Centrolepidaceae,,Centrolepis,,"eremica",,"","D.A.Cooke",Accepted,,H,WCSP,232592,931213-1,"in Fl. S. Australia","4: 1826","","1986"
kew-232593,A,Centrolepidaceae,,Centrolepis,,"exserta",,"","(R.Br.) Roem. & Schult.",Accepted,,H,WCSP,232593,58189-3,"Syst. Veg.","1: 44","","1817"
kew-232594,A,Centrolepidaceae,,Centrolepis,,"fascicularis",,"","Labill.",Accepted,,H,WCSP,232594,162989-1,"Nov. Holl. Pl.","1: 7","","1804"
kew-232595,A,Centrolepidaceae,,Centrolepis,,"glabra",,"","(F.Muell.) Hieron.",Accepted,,H,WCSP,232595,162990-1,"Abh. Naturf. Ges. Halle","12: 209","","1873"
kew-232597,A,Centrolepidaceae,,Centrolepis,,"humillima",,"","F.Muell. ex Benth.",Accepted,,H,WCSP,232597,162992-1,"Fl. Austral.","7: 203","","1878"
kew-232598,A,Centrolepidaceae,,Centrolepis,,"inconspicua",,"","W.Fitzg.",Accepted,,H,WCSP,232598,162993-1,"Proc. Linn. Soc. New South Wales","28: 107","","1904"
kew-232602,A,Centrolepidaceae,,Centrolepis,,"minima",,"","Kirk",Accepted,,H,WCSP,232602,,"Trans. & Proc. New Zealand Inst.","23: 441","","1892"
kew-232603,A,Centrolepidaceae,,Centrolepis,,"monogyna",,"","(Hook.f.) Benth.",Accepted,,H,WCSP,232603,162997-1,"Fl. Austral.","7: 205","","1878"
kew-232605,A,Centrolepidaceae,,Centrolepis,,"monogyna",subsp.,"paludicola","(W.M.Curtis) D.A.Cooke",Accepted,,L,WCSP,232605,967752-1,"J. Adelaide Bot. Gard.","15: 22","","1992"
kew-232607,A,Centrolepidaceae,,Centrolepis,,"muscoides",,"","(Hook.f.) Hieron.",Accepted,,H,WCSP,232607,162999-1,"Abh. Naturf. Ges. Halle","12: 209","","1873"
kew-232608,A,Centrolepidaceae,,Centrolepis,,"mutica",,"","(R.Br.) Hieron.",Accepted,,H,WCSP,232608,163000-1,"Abh. Naturf. Ges. Halle","12: 211","","1873"
kew-232610,A,Centrolepidaceae,,Centrolepis,,"pallida",,"","(Hook.f.) Cheeseman",Accepted,,H,WCSP,232610,163002-1,"Man. New Zealand Fl.","757","","1906"
kew-232613,A,Centrolepidaceae,,Centrolepis,,"pedderensis",,"","W.M.Curtis",Accepted,,H,WCSP,232613,905834-1,"Brunonia","7: 299","","1985"
