ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-36902,A,Ceratophyllaceae,,Ceratophyllum,,"demersum",,"","L.",Accepted,,H,WCSP,36902,330841-2,"Sp. Pl.","992","","1753"
kew-36903,A,Ceratophyllaceae,,Ceratophyllum,,"demersum",var.,"apiculatum","(Cham.) Asch.",Accepted,,L,WCSP,36903,60445041-2,"Fl. Brandenburg","1: 219","","1860"
kew-36905,A,Ceratophyllaceae,,Ceratophyllum,,"demersum",var.,"demersum","",Accepted,,L,WCSP,36905,,"Unknown","","",""
kew-36910,A,Ceratophyllaceae,,Ceratophyllum,,"demersum",f.,"missionis","(Wall. ex Wight & Arn.) Wilmot-Dear",Accepted,,L,WCSP,36910,924144-1,"Kew Bull.","40: 259","","1985"
kew-36936,A,Ceratophyllaceae,,Ceratophyllum,,"muricatum",,"","Cham.",Accepted,,H,WCSP,36936,163079-1,"Linnaea","4: 504","","1829"
kew-36937,A,Ceratophyllaceae,,Ceratophyllum,,"muricatum",subsp.,"australe","(Griseb.) Les",Accepted,,L,WCSP,36937,274302-2,"Syst. Bot.","13: 85","","1988"
kew-36938,A,Ceratophyllaceae,,Ceratophyllum,,"muricatum",subsp.,"kossinskyi","(Kuzen.) Les",Accepted,,L,WCSP,36938,954254-1,"Syst. Bot.","13: 85","","1988"
kew-36939,A,Ceratophyllaceae,,Ceratophyllum,,"muricatum",subsp.,"muricatum","",Accepted,,L,WCSP,36939,,"Unknown","","",""
kew-36946,A,Ceratophyllaceae,,Ceratophyllum,,"platyacanthum",,"","Cham.",Accepted,,H,WCSP,36946,163086-1,"Linnaea","4: 504","","1829"
kew-36947,A,Ceratophyllaceae,,Ceratophyllum,,"platyacanthum",subsp.,"oryzetorum","(Kom.) Les",Accepted,,L,WCSP,36947,954751-1,"Syst. Bot.","13: 517","","1988"
kew-36949,A,Ceratophyllaceae,,Ceratophyllum,,"platyacanthum",subsp.,"platyacanthum","",Accepted,,L,WCSP,36949,,"Unknown","","",""
kew-36951,A,Ceratophyllaceae,,Ceratophyllum,,"submersum",,"","L.",Accepted,,H,WCSP,36951,163088-1,"Sp. Pl. ed. 2","1409","","1763"
kew-36953,A,Ceratophyllaceae,,Ceratophyllum,,"submersum",var.,"haynaldianum","(Borbás) Wilmot-Dear",Accepted,,L,WCSP,36953,924146-1,"Kew Bull.","40: 266","","1985"
kew-36958,A,Ceratophyllaceae,,Ceratophyllum,,"submersum",var.,"submersum","",Accepted,,L,WCSP,36958,,"Unknown","","",""
