ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-360154,A,Chrysobalanaceae,,Acioa,,"edulis",,"","Prance",Accepted,,H,WCSP,360154,3187-2,"Acta Amazon.","2: 12","","1972"
kew-360160,A,Chrysobalanaceae,,Acioa,,"guianensis",,"","Aubl.",Accepted,,H,WCSP,360160,720171-1,"Hist. Pl. Guiane","2: 698","","1775"
kew-360183,A,Chrysobalanaceae,,Acioa,,"schultesii",,"","Maguire",Accepted,,H,WCSP,360183,3188-2,"Brittonia","7: 272","","1951"
kew-360186,A,Chrysobalanaceae,,Acioa,,"somnolens",,"","Maguire",Accepted,,H,WCSP,360186,3189-2,"Brittonia","7: 272","","1951"
kew-360616,A,Chrysobalanaceae,,Afrolicania,,"elaeosperma",,"","Mildbr.",Accepted,,H,WCSP,360616,720235-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 483","","1921"
kew-360808,A,Chrysobalanaceae,,Atuna,,"cordata",,"","Cockburn ex Prance",Accepted,,H,WCSP,360808,932941-1,"Brittonia","39: 364","","1987"
kew-360810,A,Chrysobalanaceae,,Atuna,,"elliptica",,"","(Kosterm.) Kosterm.",Accepted,,H,WCSP,360810,167937-1,"Reinwardtia","7: 421","","1969"
kew-360812,A,Chrysobalanaceae,,Atuna,,"indica",,"","(Bedd.) Kosterm.",Accepted,,H,WCSP,360812,167939-1,"Reinwardtia","7: 422","","1969"
kew-360814,A,Chrysobalanaceae,,Atuna,,"latifrons",,"","(Kosterm.) Prance & F.White",Accepted,,H,WCSP,360814,945601-1,"Philos. Trans., Ser. B","320(1197): 132","","1988"
kew-360815,A,Chrysobalanaceae,,Atuna,,"nannodes",,"","(Kosterm.) Kosterm.",Accepted,,H,WCSP,360815,167941-1,"Reinwardtia","7: 422","","1969"
kew-360817,A,Chrysobalanaceae,,Atuna,,"penangiana",,"","(Kosterm. & Prance) Kosterm.",Accepted,,H,WCSP,360817,167942-1,"Reinwardtia","7: 422","","1969"
kew-360818,A,Chrysobalanaceae,,Atuna,,"racemosa",,"","Raf.",Accepted,,H,WCSP,360818,822142-1,"Sylva Tellur.","152","","1838"
kew-360819,A,Chrysobalanaceae,,Atuna,,"racemosa",subsp.,"excelsa","(Jack) Prance",Accepted,,L,WCSP,360819,955475-1,"in Fl. Males.","10: 670","","1989"
kew-371444,A,Chrysobalanaceae,,Atuna,,"racemosa",subsp.,"racemosa","",Accepted,,L,WCSP,371444,,"Unknown","","",""
kew-360821,A,Chrysobalanaceae,,Atuna,,"travancorica",,"","(Bedd.) Kosterm.",Accepted,,H,WCSP,360821,167944-1,"Reinwardtia","7: 422","","1969"
kew-360834,A,Chrysobalanaceae,,Bafodeya,,"benna",,"","(Scott-Elliot) Prance ex F.White",Accepted,,H,WCSP,360834,167946-1,"Bull. Jard. Bot. Natl. Belg.","46: 271","","1976"
kew-367584,A,Chrysobalanaceae,,Chrysobalanus,,"cuspidatus",,"","Griseb. ex Duss",Accepted,,H,WCSP,367584,,"Fl. Phan. Antill. Franç.","258","","1897"
kew-367588,A,Chrysobalanaceae,,Chrysobalanus,,"icaco",,"","L.",Accepted,,H,WCSP,367588,722181-1,"Sp. Pl.","513","","1753"
kew-367590,A,Chrysobalanaceae,,Chrysobalanus,,"icaco",subsp.,"atacorensis","(A.Chev.) F.White",Accepted,,L,WCSP,367590,,"Bull. Jard. Bot. Natl. Belg.","46: 275","","1976"
