ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2727142,A,Cleomaceae,,Cleome,,"aculeata",,"","L.",Accepted,,M,WCSP (in review),849190,316362-2,"Syst. Nat. ed. 12","3: 232","","1768"
kew-2727143,A,Cleomaceae,,Cleome,,"aculeata",var.,"cordobensis","(Eichler ex Griseb.) Kuntze",Accepted,,L,WCSP (in review),849191,60478-2,"Revis. Gen. Pl.","3(2): 7","","1898"
kew-2727148,A,Cleomaceae,,Cleome,,"affinis",,"","DC.",Accepted,,M,WCSP (in review),849196,146907-1,"Prodr.","1: 241","","1824"
kew-2727151,A,Cleomaceae,,Cleome,,"afrospina",,"","H.H.Iltis",Accepted,,M,WCSP (in review),849199,146909-1,"Amer. J. Bot.","54: 955","","1967"
kew-2727152,A,Cleomaceae,,Cleome,,"albescens",,"","Franch.",Accepted,,M,WCSP (in review),849200,146910-1,"Sert. Somal.","11","","1882"
kew-2727155,A,Cleomaceae,,Cleome,,"allamanii",,"","Chiov.",Accepted,,M,WCSP (in review),849203,146912-1,"Racc. Bot. Miss. Consol. Kenya","3","","1935"
kew-2727159,A,Cleomaceae,,Cleome,,"amblyocarpa",,"","Barratte & Murb.",Accepted,,M,WCSP (in review),849207,146916-1,"Acta Univ. Lund.","n.s., 1(4): 25","","1905"
kew-2727162,A,Cleomaceae,,Cleome,,"angustifolia",,"","Forssk.",Accepted,,M,WCSP (in review),849210,146918-1,"Fl. Aegypt.-Arab.","120","","1775"
kew-2727164,A,Cleomaceae,,Cleome,,"angustifolia",subsp.,"diandra","(Burch.) Kers",Accepted,,L,WCSP (in review),849212,,"Svensk Bot. Tidskr.","63: 21","","1969"
kew-2727166,A,Cleomaceae,,Cleome,,"angustifolia",subsp.,"petersiana","(Klotzsch) Kers",Accepted,,L,WCSP (in review),849214,,"Svensk Bot. Tidskr.","63: 17","","1969"
kew-2727167,A,Cleomaceae,,Cleome,,"angustifolia",var.,"pteropoda","(Welw. ex Oliv.) Kers",Accepted,,L,WCSP (in review),849215,,"Svensk Bot. Tidskr.","63: 24","","1969"
kew-2727168,A,Cleomaceae,,Cleome,,"anomala",,"","Kunth",Accepted,,M,WCSP (in review),849216,146919-1,"Nov. Gen. Sp.","5: 85","","1821"
kew-2727170,A,Cleomaceae,,Cleome,,"arabica",,"","L.",Accepted,,M,WCSP (in review),849218,146921-1,"Cent. Pl. I","20","","1755"
kew-2727173,A,Cleomaceae,,Cleome,,"arborea",,"","Kunth",Accepted,,M,WCSP (in review),849221,146924-1,"Nov. Gen. Sp.","5: 86","","1821"
kew-2727177,A,Cleomaceae,,Cleome,,"ariana",,"","Hedge & Lamond",Accepted,,M,WCSP (in review),849225,146928-1,"in Fl. Iran.","68: 17","","1970"
kew-2727180,A,Cleomaceae,,Cleome,,"aspera",,"","J.König ex DC.",Accepted,,M,WCSP (in review),849228,,"Prodr.","1: 241","","1824"
kew-2727181,A,Cleomaceae,,Cleome,,"asperrima",,"","Blatt.",Accepted,,M,WCSP (in review),849229,146932-1,"J. Proc. Asiat. Soc. Bengal","26: 340","","1930 publ. 1931"
kew-2727183,A,Cleomaceae,,Cleome,,"augustinensis",,"","(Hochr.) Briq.",Accepted,,M,WCSP (in review),849231,146934-1,"Annuaire Conserv. Jard. Bot. Genève","17: 360","","1914"
kew-2727186,A,Cleomaceae,,Cleome,,"austroarabica",,"","D.F.Chamb. & Lamond",Accepted,,M,WCSP (in review),849234,977323-1,"Edinburgh J. Bot.","51: 51","","1994"
kew-2727188,A,Cleomaceae,,Cleome,,"bangiana",,"","Gilg ex Heilbr.",Accepted,,M,WCSP (in review),849236,,"Ark. Bot.","23A(10): 12","","1931"
kew-2727191,A,Cleomaceae,,Cleome,,"bicolor",,"","Gardner",Accepted,,M,WCSP (in review),849239,146941-1,"London J. Bot.","2: 330","","1843"
kew-2727194,A,Cleomaceae,,Cleome,,"bojeri",,"","Hadj-Moust.",Accepted,,M,WCSP (in review),849242,146944-1,"Adansonia","n.s., 5: 36","","1965"
kew-2727195,A,Cleomaceae,,Cleome,,"boliviensis",,"","Iltis",Accepted,,M,WCSP (in review),849243,60438462-2,"Novon","15: 147","","2005"
kew-2727196,A,Cleomaceae,,Cleome,,"bororensis",,"","(Klotzsch) Oliv.",Accepted,,M,WCSP (in review),849244,146945-1,"Fl. Trop. Afr.","1: 81","","1868"
kew-2727197,A,Cleomaceae,,Cleome,,"brachiata",,"","(Bojer) Briq.",Accepted,,M,WCSP (in review),849245,146946-1,"Annuaire Conserv. Jard. Bot. Genève","17: 359","","1914"
kew-2727198,A,Cleomaceae,,Cleome,,"brachyadenia",,"","Schwartz",Accepted,,M,WCSP (in review),849246,146947-1,"Mitt. Inst. Allg. Bot. Hamburg","10: 62","","1939"
kew-2727199,A,Cleomaceae,,Cleome,,"brachycarpa",,"","(Forssk.) Vahl ex DC.",Accepted,,M,WCSP (in review),849247,146948-1,"Prodr.","1: 240","","1824"
kew-2727206,A,Cleomaceae,,Cleome,,"brasiliensis",,"","Weinm.",Accepted,,M,WCSP (in review),849254,146952-1,"Syll. Ratisb.","1: 122","","1824"
kew-2727208,A,Cleomaceae,,Cleome,,"brevipetiolata",,"","D.F.Chamb. & Lamond",Accepted,,M,WCSP (in review),849256,977322-1,"Edinburgh J. Bot.","51: 49","","1994"
kew-2727211,A,Cleomaceae,,Cleome,,"briquetii",,"","Polhill",Accepted,,M,WCSP (in review),849259,146956-1,"Kew Bull.","17 163","","1963"
kew-2727214,A,Cleomaceae,,Cleome,,"burttii",,"","R.A.Graham",Accepted,,M,WCSP (in review),849262,146959-1,"Kew Bull.","13: 179","","1958"
tro-5900697,A,Cleomaceae,,Cleome,,"canescens",,"","Stev. ex DC.",Accepted,,M,TRO,5900697,,"","","",""
