ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2606174,A,Clusiaceae,,Agasthiyamalaia,,"pauciflora",,"","(Bedd.) S.Rajkumar & Janarth.",Accepted,,L,WCSP (in review),730786,60448443-2,"J. Bot. Res. Inst. Texas","1: 131","","2007"
kew-2628579,A,Clusiaceae,,Allanblackia,,"floribunda",,"","Oliv.",Accepted,,M,WCSP (in review),752405,427040-1,"J. Linn. Soc., Bot.","10: 43","","1869"
kew-2628582,A,Clusiaceae,,Allanblackia,,"gabonensis",,"","(Pellegr.) Bamps",Accepted,,M,WCSP (in review),752408,427041-1,"Bull. Jard. Bot. Natl. Belg.","39: 356","","1969"
kew-2628583,A,Clusiaceae,,Allanblackia,,"kimbiliensis",,"","Spirlet",Accepted,,M,WCSP (in review),752409,427042-1,"Bull. Jard. Bot. État","29: 357","","1959"
kew-2628584,A,Clusiaceae,,Allanblackia,,"kisonghi",,"","Vermoesen",Accepted,,M,WCSP (in review),752410,,"Man. Ess. Forest. Congo","11","","1923"
kew-2628586,A,Clusiaceae,,Allanblackia,,"marienii",,"","Staner",Accepted,,M,WCSP (in review),752412,427044-1,"Bull. Jard. Bot. État","13: 110","","1934"
kew-2628588,A,Clusiaceae,,Allanblackia,,"parviflora",,"","A.Chev.",Accepted,,M,WCSP (in review),752414,427047-1,"Veg. Ut. Afr. Trop. Franç.","5: 163","","1909"
kew-2628590,A,Clusiaceae,,Allanblackia,,"staneriana",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),752416,427049-1,"J. Bot.","74(Suppl.): 20","","1936"
kew-2628591,A,Clusiaceae,,Allanblackia,,"stuhlmannii",,"","(Engl.) Engl.",Accepted,,M,WCSP (in review),752417,427050-1,"Nat. Pflanzenfam.","Nachtr. 1: 249","","1897"
kew-2628592,A,Clusiaceae,,Allanblackia,,"ulugurensis",,"","Engl.",Accepted,,M,WCSP (in review),752418,427051-1,"Bot. Jahrb. Syst.","28: 435","","1900"
tro-7800051,A,Clusiaceae,,Astrotheca,,"sulphurea",,"","(Poepp. & Endl.) Vesque",Accepted,,M,TRO,7800051,25951-2,"Monogr. Phan.","8: 173","173","1893"
kew-2719948,A,Clusiaceae,,Chrysochlamys,,"allenii",,"","(Maguire) Hammel",Accepted,,M,WCSP (in review),842055,1005406-2,"Novon","9: 363","","1999"
kew-2719949,A,Clusiaceae,,Chrysochlamys,,"alterninervia",,"","Cuatrec.",Accepted,,M,WCSP (in review),842056,57601-2,"Revista Acad. Colomb. Ci. Exact.","8: 59","","1950"
kew-2719950,A,Clusiaceae,,Chrysochlamys,,"angustifolia",,"","(Maguire) Hammel",Accepted,,M,WCSP (in review),842057,1218311-2,"Novon","9: 363","","1999"
kew-2719951,A,Clusiaceae,,Chrysochlamys,,"balboa",,"","Hammel",Accepted,,M,WCSP (in review),842058,3009878-1,"Novon","9: 373","","1999"
kew-2719952,A,Clusiaceae,,Chrysochlamys,,"bracteolata",,"","Cuatrec.",Accepted,,M,WCSP (in review),842059,57602-2,"Revista Acad. Colomb. Ci. Exact.","8: 58","","1950"
kew-2719953,A,Clusiaceae,,Chrysochlamys,,"caribaea",,"","Urb.",Accepted,,M,WCSP (in review),842060,57603-2,"Symb. Antill.","5: 434","","1908"
kew-2719956,A,Clusiaceae,,Chrysochlamys,,"clusioides",,"","Griseb.",Accepted,,M,WCSP (in review),842063,427388-1,"Cat. Pl. Cub.","37","","1866"
kew-2719957,A,Clusiaceae,,Chrysochlamys,,"colombiana",,"","(Cuatrec.) Cuatrec.",Accepted,,M,WCSP (in review),842064,57606-2,"Revista Acad. Colomb. Ci. Exact.","8: 60","","1950"
kew-2719958,A,Clusiaceae,,Chrysochlamys,,"conferta",,"","Cuatrec.",Accepted,,M,WCSP (in review),842065,57607-2,"Revista Acad. Colomb. Ci. Exact.","8: 57","","1950"
kew-2719960,A,Clusiaceae,,Chrysochlamys,,"cuneata",,"","(Planch. & Triana) Cuatrec.",Accepted,,M,WCSP (in review),842067,57608-2,"Revista Acad. Colomb. Ci. Exact.","8: 60","","1950"
kew-2719962,A,Clusiaceae,,Chrysochlamys,,"dependens",,"","Planch. & Triana",Accepted,,M,WCSP (in review),842069,427393-1,"Ann. Sci. Nat., Bot.","IV, 14: 259","","1860"
kew-2719965,A,Clusiaceae,,Chrysochlamys,,"eclipes",,"","L.O.Williams",Accepted,,M,WCSP (in review),842072,57613-2,"Trop. Woods","111: 15","","1959"
kew-2719966,A,Clusiaceae,,Chrysochlamys,,"floribunda",,"","Cuatrec.",Accepted,,M,WCSP (in review),842073,57614-2,"Revista Acad. Colomb. Ci. Exact.","8: 58","","1950"
kew-2719968,A,Clusiaceae,,Chrysochlamys,,"gloriosa",,"","Cuatrec.",Accepted,,M,WCSP (in review),842075,57615-2,"Revista Acad. Colomb. Ci. Exact.","8: 59","","1950"
kew-2719969,A,Clusiaceae,,Chrysochlamys,,"goudotii",,"","Planch. & Triana",Accepted,,M,WCSP (in review),842076,427398-1,"Ann. Sci. Nat., Bot.","IV, 14: 259","","1860"
kew-2719970,A,Clusiaceae,,Chrysochlamys,,"grandifolia",,"","(L.O.Williams) Hammel",Accepted,,M,WCSP (in review),842077,1173684-2,"Novon","9: 365","","1999"
kew-2719972,A,Clusiaceae,,Chrysochlamys,,"laxa",,"","Planch. & Triana",Accepted,,M,WCSP (in review),842079,427400-1,"Ann. Sci. Nat., Bot.","IV, 14: 259","","1860"
kew-2719973,A,Clusiaceae,,Chrysochlamys,,"macrophylla",,"","Pax",Accepted,,M,WCSP (in review),842080,57618-2,"Repert. Spec. Nov. Regni Veg.","7: 111","","1909"
kew-2719975,A,Clusiaceae,,Chrysochlamys,,"membrillensis",,"","(D'Arcy) Hammel",Accepted,,M,WCSP (in review),842082,1128039-2,"Novon","9: 366","","1999"
kew-2719976,A,Clusiaceae,,Chrysochlamys,,"micrantha",,"","Engl.",Accepted,,M,WCSP (in review),842083,57620-2,"Bot. Jahrb. Syst.","58(130): 9","","1923"
kew-2719977,A,Clusiaceae,,Chrysochlamys,,"multiflora",,"","Poepp.",Accepted,,M,WCSP (in review),842084,427404-1,"Nov. Gen. Sp. Pl.","3: 13","","1840"
kew-2719980,A,Clusiaceae,,Chrysochlamys,,"nicaraguensis",,"","(Oerst.) Hemsl.",Accepted,,M,WCSP (in review),842087,1069231-2,"Biol. Cent.-Amer., Bot.","1: 87","","1879"
