ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-299038,A,Colchicaceae,,Androcymbium,,"albanense",,"","Schönland",Accepted,,H,WCSP,299038,530088-1,"Rec. Albany Mus.","1: 123","","1904"
kew-299039,A,Colchicaceae,,Androcymbium,,"albanense",subsp.,"clanwilliamense","Pedrola, Membrives & G.Monts.",Accepted,,L,WCSP,299039,,"Fontqueria","54: 8","","1999"
kew-299040,A,Colchicaceae,,Androcymbium,,"albomarginatum",,"","Schinz",Accepted,,H,WCSP,299040,530089-1,"Bull. Herb. Boissier","4: 415","","1896"
kew-299041,A,Colchicaceae,,Androcymbium,,"amphigaripense",,"","U.Müll.-Doblies & al.",Accepted,,H,WCSP,299041,,"Feddes Repert.","113: 569","","2002"
kew-299043,A,Colchicaceae,,Androcymbium,,"austrocapense",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299043,1004843-1,"Feddes Repert.","109: 568","","1998"
kew-299044,A,Colchicaceae,,Androcymbium,,"bellum",,"","Schltr. & K.Krause",Accepted,,H,WCSP,299044,530090-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 525","","1921"
kew-299045,A,Colchicaceae,,Androcymbium,,"buchubergense",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299045,20010665-1,"Feddes Repert.","113: 579","","2002"
kew-299046,A,Colchicaceae,,Androcymbium,,"burchellii",,"","Baker",Accepted,,H,WCSP,299046,530091-1,"J. Bot.","12: 246","","1874"
kew-309290,A,Colchicaceae,,Androcymbium,,"burchellii",subsp.,"pulchrum","(Schltr. & K.Krause) Pedrola, Membrives, J.M.Monts. & Caujapé",Accepted,,L,WCSP,309290,,"Bot. Macaronés., IV, Ci.","24: 113","","2003"
kew-299047,A,Colchicaceae,,Androcymbium,,"burkei",,"","Baker",Accepted,,H,WCSP,299047,530092-1,"J. Bot.","12: 246","","1874"
kew-299048,A,Colchicaceae,,Androcymbium,,"capense",,"","(L.) Druce",Accepted,,H,WCSP,299048,530093-1,"Rep. Bot. Exch. Club Soc. Brit. Isles","3: 413","","1913 publ. 1914"
kew-299049,A,Colchicaceae,,Androcymbium,,"cedarbergense",,"","U.Müll.-Doblies & al.",Accepted,,H,WCSP,299049,,"Feddes Repert.","113: 578","","2002"
kew-299050,A,Colchicaceae,,Androcymbium,,"ciliolatum",,"","Schltr. & K.Krause",Accepted,,H,WCSP,299050,530095-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 515","","1921"
kew-299051,A,Colchicaceae,,Androcymbium,,"circinatum",,"","Baker",Accepted,,H,WCSP,299051,530096-1,"J. Linn. Soc., Bot.","17: 443","","1880"
kew-311598,A,Colchicaceae,,Androcymbium,,"circinatum",subsp.,"circinatum","",Accepted,,L,WCSP,311598,,"Unknown","","",""
kew-299052,A,Colchicaceae,,Androcymbium,,"circinatum",subsp.,"vestitum","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,L,WCSP,299052,,"Feddes Repert.","113: 573","","2002"
kew-299053,A,Colchicaceae,,Androcymbium,,"crenulatum",,"","U.Müll.-Doblies, E.G.H.Oliv. & D.Müll.-Doblies",Accepted,,H,WCSP,299053,20010671-1,"Feddes Repert.","113: 574","","2002"
kew-299054,A,Colchicaceae,,Androcymbium,,"crispum",,"","Schinz",Accepted,,H,WCSP,299054,530097-1,"Bull. Herb. Boissier","4: 415","","1896"
kew-299055,A,Colchicaceae,,Androcymbium,,"cruciatum",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299055,903512-1,"Willdenowia","14: 187","","1984"
kew-299056,A,Colchicaceae,,Androcymbium,,"cuspidatum",,"","Baker",Accepted,,H,WCSP,299056,530099-1,"J. Bot.","12: 245","","1874"
kew-299057,A,Colchicaceae,,Androcymbium,,"decipiens",,"","N.E.Br.",Accepted,,H,WCSP,299057,530100-1,"Bull. Misc. Inform. Kew","1906: 29","","1906"
kew-299058,A,Colchicaceae,,Androcymbium,,"dregei",,"","C.Presl",Accepted,,H,WCSP,299058,530101-1,"Abh. Königl. Böhm. Ges. Wiss.","V, 3: 546","","1845"
kew-299059,A,Colchicaceae,,Androcymbium,,"eghimocymbion",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299059,1004839-1,"Feddes Repert.","109: 563","","1998"
kew-299060,A,Colchicaceae,,Androcymbium,,"etesionamibense",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299060,20010666-1,"Feddes Repert.","113: 570","","2002"
kew-299061,A,Colchicaceae,,Androcymbium,,"eucomoides",,"","(Jacq.) Willd.",Accepted,,H,WCSP,299061,530103-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","2: 21","","1808"
kew-299064,A,Colchicaceae,,Androcymbium,,"exiguum",,"","Roessler",Accepted,,H,WCSP,299064,530105-1,"Mitt. Bot. Staatssamml. München","11: 553","","1974"
kew-299065,A,Colchicaceae,,Androcymbium,,"exiguum",subsp.,"vogelii","(U.Müll.-Doblies & D.Müll.-Doblies) U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,L,WCSP,299065,,"Willdenowia","19: 460","","1990"
kew-299068,A,Colchicaceae,,Androcymbium,,"gramineum",,"","(Cav.) J.F.Macbr.",Accepted,,H,WCSP,299068,530108-1,"Contr. Gray Herb.","53: 6","","1918"
kew-311600,A,Colchicaceae,,Androcymbium,,"gramineum",subsp.,"gramineum","",Accepted,,L,WCSP,311600,,"Unknown","","",""
kew-299071,A,Colchicaceae,,Androcymbium,,"gramineum",subsp.,"psammophilum","(Svent.) G.Kunkel",Accepted,,L,WCSP,299071,,"Cuad. Bot. Canaria","28: 11","","1976 publ. 1977"
kew-299074,A,Colchicaceae,,Androcymbium,,"greuterocymbium",,"","U.Müll.-Doblies, Raus & D.Müll.-Doblies",Accepted,,H,WCSP,299074,20010661-1,"Feddes Repert.","113: 568","","2002"
kew-299076,A,Colchicaceae,,Androcymbium,,"hantamense",,"","Engl. ex Diels",Accepted,,H,WCSP,299076,530111-1,"Bot. Jahrb. Syst.","44: 115","","1909"
kew-299077,A,Colchicaceae,,Androcymbium,,"henssenianum",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299077,903513-1,"Willdenowia","14: 190","","1984"
kew-299078,A,Colchicaceae,,Androcymbium,,"hierrense",,"","A.Santos",Accepted,,H,WCSP,299078,896334-1,"Fund. Juan March, Ser. Univ. Ci. Agrar","114: 44","","1980"
kew-299080,A,Colchicaceae,,Androcymbium,,"hughocymbion",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299080,1004835-1,"Feddes Repert.","109: 560","","1998"
kew-299081,A,Colchicaceae,,Androcymbium,,"huntleyi",,"","Pedrola, Membrives, J.M.Monts. & Caujapé",Accepted,,H,WCSP,299081,1007265-1,"Fontqueria","53: 1","","1999"
kew-299082,A,Colchicaceae,,Androcymbium,,"irroratum",,"","Schltr. & K.Krause",Accepted,,H,WCSP,299082,530112-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 520","","1921"
kew-299083,A,Colchicaceae,,Androcymbium,,"karooparkense",,"","U.Müll.-Doblies & al.",Accepted,,H,WCSP,299083,,"Feddes Repert.","113: 578","","2002"
kew-299084,A,Colchicaceae,,Androcymbium,,"knersvlaktense",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299084,20010662-1,"Feddes Repert.","113: 568","","2002"
kew-299085,A,Colchicaceae,,Androcymbium,,"kunkelianum",,"","U.Müll.-Doblies & al.",Accepted,,H,WCSP,299085,,"Feddes Repert.","109: 559","","1998"
kew-299087,A,Colchicaceae,,Androcymbium,,"leistneri",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299087,1004830-1,"Feddes Repert.","109: 557","","1998"
kew-299089,A,Colchicaceae,,Androcymbium,,"longipes",,"","Baker",Accepted,,H,WCSP,299089,530116-1,"J. Bot.","12: 246","","1874"
kew-299090,A,Colchicaceae,,Androcymbium,,"melanthioides",,"","Willd.",Accepted,,H,WCSP,299090,530117-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","2: 21","","1808"
kew-299091,A,Colchicaceae,,Androcymbium,,"melanthioides",subsp.,"australe","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,L,WCSP,299091,,"Feddes Repert.","109: 570","","1998"
kew-311602,A,Colchicaceae,,Androcymbium,,"melanthioides",subsp.,"melanthioides","",Accepted,,L,WCSP,311602,,"Unknown","","",""
kew-299093,A,Colchicaceae,,Androcymbium,,"melanthioides",subsp.,"transvaalense","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,L,WCSP,299093,,"Feddes Repert.","109: 570","","1998"
kew-299094,A,Colchicaceae,,Androcymbium,,"natalense",,"","Baker",Accepted,,H,WCSP,299094,530118-1,"Fl. Cap.","6: 519","","1897"
kew-299095,A,Colchicaceae,,Androcymbium,,"orienticapense",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299095,1004847-1,"Feddes Repert.","109: 571","","1998"
kew-299096,A,Colchicaceae,,Androcymbium,,"palaestinum",,"","Baker",Accepted,,H,WCSP,299096,530119-1,"J. Linn. Soc., Bot.","17: 445","","1880"
kew-299097,A,Colchicaceae,,Androcymbium,,"poeltianum",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299097,903514-1,"Willdenowia","14: 188","","1984"
kew-299098,A,Colchicaceae,,Androcymbium,,"praeirroratum",,"","U.Müll.-Doblies & D.Müll.-Doblies",Accepted,,H,WCSP,299098,20010668-1,"Feddes Repert.","113: 572","","2002"
kew-299106,A,Colchicaceae,,Androcymbium,,"rechingeri",,"","Greuter",Accepted,,H,WCSP,299106,530125-1,"Candollea","22: 248","","1967"
kew-299107,A,Colchicaceae,,Androcymbium,,"roseum",,"","Engl.",Accepted,,H,WCSP,299107,530126-1,"Bot. Jahrb. Syst.","10: 289","","1889"
kew-299108,A,Colchicaceae,,Androcymbium,,"roseum",subsp.,"albiflorum","U.Müll.-Doblies & al.",Accepted,,L,WCSP,299108,,"Feddes Repert.","113: 556","","2002"
kew-299109,A,Colchicaceae,,Androcymbium,,"scabromarginatum",,"","Schltr. & K.Krause",Accepted,,H,WCSP,299109,530127-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 518","","1921"
kew-349137,A,Colchicaceae,,Androcymbium,,"schimperianum",,"","(Hochst.) K.Perss.",Accepted,,H,WCSP,349137,77087133-1,"Bot. Jahrb. Syst.","127: 228","","2007"
kew-299111,A,Colchicaceae,,Androcymbium,,"stirtonii",,"","U.Müll.-Doblies & al.",Accepted,,H,WCSP,299111,,"Feddes Repert.","113: 561","","2002"
