ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641162,A,Combretaceae,,Anogeissus,,"acuminata",,"","(Roxb. ex DC.) Guill.",Accepted,,L,WCSP (in review),764848,60452260-2,"Fl. Seneg. Tent.","279","","1832"
kew-2641165,A,Combretaceae,,Anogeissus,,"acuminata",var.,"phillyreifolia","(Van Heurck & Müll.Arg.) Kurz",Accepted,,L,WCSP (in review),764851,,"Forest Fl. Burma","466","","1877"
kew-2641166,A,Combretaceae,,Anogeissus,,"bentii",,"","Baker",Accepted,,M,WCSP (in review),764852,169725-1,"Hooker's Icon. Pl.","24: t. 2354","","1895"
kew-2641168,A,Combretaceae,,Anogeissus,,"dhofarica",,"","A.J.Scott",Accepted,,M,WCSP (in review),764854,169727-1,"Kew Bull.","33: 559","","1979"
kew-2641173,A,Combretaceae,,Anogeissus,,"latifolia",,"","(Roxb. ex DC.) Wall. ex Bedd.",Accepted,,M,WCSP (in review),764859,169731-1,"Fl. Sylv. S. India","1: 15","","1869"
kew-2641178,A,Combretaceae,,Anogeissus,,"leiocarpa",,"","(DC.) Guill. & Perr.",Accepted,,M,WCSP (in review),764864,169732-1,"Fl. Seneg. Tent.","280","","1832"
tro-8200495,A,Combretaceae,,Anogeissus,,"leiocarpus",,"","(DC.) Guill. & Perr.",Accepted,,M,TRO,8200495,169732-1,"Fl. Seneg. Tent.","1: 280, t. 65","280","1832"
kew-2641183,A,Combretaceae,,Anogeissus,,"pendula",,"","Edgew.",Accepted,,M,WCSP (in review),764869,169735-1,"J. Asiat. Soc. Bengal","21: 171","","1853"
kew-2641186,A,Combretaceae,,Anogeissus,,"rivularis",,"","(Gagnep.) O.Lecompte",Accepted,,L,WCSP (in review),764872,169738-1,"in Fl. Camb., Laos & Vietn.","10: 111","","1969"
kew-2641189,A,Combretaceae,,Anogeissus,,"sericea",,"","Brandis",Accepted,,M,WCSP (in review),764875,169741-1,"Indian Forester","25: 287","","1899"
kew-2641190,A,Combretaceae,,Anogeissus,,"sericea",var.,"nummularia","King ex Duthie",Accepted,,L,WCSP (in review),764876,,"Fl. Gangetic Plain","1(1): 340","","1903"
kew-2684847,A,Combretaceae,,Buchenavia,,"acuminata",,"","Exell & Stace",Accepted,,M,WCSP (in review),808180,37618-2,"Bull. Brit. Mus. (Nat. Hist.) Bot.","3: 29","","1963"
