ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-218344,A,Commelinaceae,,Aetheolirion,,"stenolobium",,"","Forman",Accepted,,H,WCSP,218344,171494-1,"Kew Bull.","16: 209","","1962"
kew-219140,A,Commelinaceae,,Amischotolype,,"gracilis",,"","(Ridl.) I.M.Turner",Accepted,,H,WCSP,219140,977276-1,"Gard. Bull. Singapore","45: 53","","1993"
kew-219141,A,Commelinaceae,,Amischotolype,,"griffithii",,"","(C.B.Clarke) I.M.Turner",Accepted,,H,WCSP,219141,989676-1,"Novon","6: 221","","1996"
kew-219142,A,Commelinaceae,,Amischotolype,,"hispida",,"","(A.Rich.) D.Y.Hong",Accepted,,H,WCSP,219142,171501-1,"Acta Phytotax. Sin.","12: 461","","1974"
kew-219143,A,Commelinaceae,,Amischotolype,,"hookeri",,"","(Hassk.) H.Hara",Accepted,,H,WCSP,219143,171502-1,"in Fl. E. Himal.","399","","1966"
kew-219144,A,Commelinaceae,,Amischotolype,,"irritans",,"","(Ridl.) I.M.Turner",Accepted,,H,WCSP,219144,989677-1,"Novon","6: 221","","1996"
kew-219145,A,Commelinaceae,,Amischotolype,,"laxiflora",,"","(Merr.) Faden",Accepted,,H,WCSP,219145,994497-1,"Checklist Fl. Pl. Gymn. Brunei","434","","1996"
kew-219147,A,Commelinaceae,,Amischotolype,,"mollissima",,"","(Blume) Hassk.",Accepted,,H,WCSP,219147,171504-1,"Flora","46: 391","","1863"
kew-219150,A,Commelinaceae,,Amischotolype,,"monosperma",,"","(C.B.Clarke) I.M.Turner",Accepted,,H,WCSP,219150,989678-1,"Novon","6: 221","","1996"
kew-219151,A,Commelinaceae,,Amischotolype,,"sphagnorrhiza",,"","Cowley",Accepted,,H,WCSP,219151,994498-1,"Checklist Fl. Pl. Gymn. Brunei","434","","1996"
kew-219152,A,Commelinaceae,,Amischotolype,,"tenuis",,"","(C.B.Clarke) R.S.Rao",Accepted,,H,WCSP,219152,999768-1,"Maharashtra Vidnyan Mandir Patrika","6(2): 53","","1971"
kew-219960,A,Commelinaceae,,Aneilema,,"acuminatum",,"","R.Br.",Accepted,,H,WCSP,219960,171509-1,"Prodr. Fl. Nov. Holl.","270","","1810"
kew-219963,A,Commelinaceae,,Aneilema,,"aequinoctiale",,"","(P.Beauv.) Loudon",Accepted,,H,WCSP,219963,60441888-2,"Hort. Brit.","15","","1830"
kew-219970,A,Commelinaceae,,Aneilema,,"alatum",,"","Koord.",Accepted,,H,WCSP,219970,,"Exkurs.-Fl. Java","1: 280","","1912"
kew-219973,A,Commelinaceae,,Aneilema,,"angolense",,"","C.B.Clarke",Accepted,,H,WCSP,219973,171518-1,"Fl. Trop. Afr.","8: 67","","1901"
kew-456378,A,Commelinaceae,,Aneilema,,"angolense",var.,"luteum","(C.B.Clarke) Faden",Accepted,,L,WCSP,456378,77095522-1,"Strelitzia","22: 176","","2008"
kew-219977,A,Commelinaceae,,Aneilema,,"aparine",,"","H.Perrier",Accepted,,H,WCSP,219977,171522-1,"Notul. Syst. (Paris)","5: 196","","1936"
kew-219978,A,Commelinaceae,,Aneilema,,"arenicola",,"","Faden",Accepted,,H,WCSP,219978,903526-1,"Bothalia","15: 94","","1984"
kew-219981,A,Commelinaceae,,Aneilema,,"benadirense",,"","Chiov.",Accepted,,H,WCSP,219981,171526-1,"Atti Ist. Bot. ""Giovani Briosi""","IV, 7: 154","","1936"
kew-219982,A,Commelinaceae,,Aneilema,,"beniniense",,"","(P.Beauv.) Kunth",Accepted,,H,WCSP,219982,,"Enum. Pl.","4: 73","","1843"
kew-219986,A,Commelinaceae,,Aneilema,,"biflorum",,"","R.Br.",Accepted,,H,WCSP,219986,171528-1,"Prodr. Fl. Nov. Holl.","270","","1810"
kew-219991,A,Commelinaceae,,Aneilema,,"brasiliense",,"","C.B.Clarke",Accepted,,H,WCSP,219991,171534-1,"Monogr. Phan.","3: 225","","1881"
kew-219992,A,Commelinaceae,,Aneilema,,"brenanianum",,"","Faden",Accepted,,H,WCSP,219992,2959042-1,"Smithsonian Contr. Bot.","76: 73","","1991"
kew-219993,A,Commelinaceae,,Aneilema,,"brunneospermum",,"","Faden",Accepted,,H,WCSP,219993,903527-1,"Bothalia","15: 91","","1984"
kew-219995,A,Commelinaceae,,Aneilema,,"calceolus",,"","Brenan",Accepted,,H,WCSP,219995,171537-1,"Kew Bull.","15: 223","","1961"
kew-220000,A,Commelinaceae,,Aneilema,,"chrysopogon",,"","Brenan",Accepted,,H,WCSP,220000,171542-1,"Kew Bull.","15: 222","","1961"
kew-220002,A,Commelinaceae,,Aneilema,,"clarkei",,"","Rendle",Accepted,,H,WCSP,220002,171545-1,"J. Linn. Soc., Bot.","30: 430","","1895"
kew-220019,A,Commelinaceae,,Aneilema,,"dispermum",,"","Brenan",Accepted,,H,WCSP,220019,171563-1,"Kew Bull.","7: 198","","1952"
kew-220022,A,Commelinaceae,,Aneilema,,"dregeanum",,"","Kunth",Accepted,,H,WCSP,220022,171566-1,"Enum. Pl.","4: 73","","1843"
kew-220023,A,Commelinaceae,,Aneilema,,"dregeanum",subsp.,"dregeanum","",Accepted,,L,WCSP,220023,,"Unknown","","",""
kew-220038,A,Commelinaceae,,Aneilema,,"forsskalii",,"","Kunth",Accepted,,H,WCSP,220038,,"Enum. Pl.","4: 71","","1843"
kew-220042,A,Commelinaceae,,Aneilema,,"gillettii",,"","Brenan",Accepted,,H,WCSP,220042,171588-1,"Kew Bull.","15: 212","","1961"
kew-220048,A,Commelinaceae,,Aneilema,,"grandibracteolatum",,"","Faden",Accepted,,H,WCSP,220048,2959043-1,"Smithsonian Contr. Bot.","76: 82","","1991"
kew-220057,A,Commelinaceae,,Aneilema,,"hirtum",,"","A.Rich.",Accepted,,H,WCSP,220057,171601-1,"Tent. Fl. Abyss.","2: 343","","1850"
kew-220059,A,Commelinaceae,,Aneilema,,"hockii",,"","De Wild.",Accepted,,H,WCSP,220059,171603-1,"Repert. Spec. Nov. Regni Veg.","12: 290","","1913"
kew-220061,A,Commelinaceae,,Aneilema,,"homblei",,"","De Wild.",Accepted,,H,WCSP,220061,171605-1,"Repert. Spec. Nov. Regni Veg.","12: 290","","1913"
kew-220067,A,Commelinaceae,,Aneilema,,"indehiscens",,"","Faden",Accepted,,H,WCSP,220067,903528-1,"Bothalia","15: 96","","1984"
kew-220073,A,Commelinaceae,,Aneilema,,"johnstonii",,"","K.Schum.",Accepted,,H,WCSP,220073,171614-1,"Pflanzenw. Ost-Afrikas","C: 135","","1895"
kew-220082,A,Commelinaceae,,Aneilema,,"lamuense",,"","Faden",Accepted,,H,WCSP,220082,2959048-1,"Smithsonian Contr. Bot.","76: 133","","1991"
kew-220083,A,Commelinaceae,,Aneilema,,"lanceolatum",,"","Benth.",Accepted,,H,WCSP,220083,171625-1,"Niger Fl.","546","","1849"
kew-220085,A,Commelinaceae,,Aneilema,,"lanceolatum",subsp.,"lanceolatum","",Accepted,,L,WCSP,220085,,"Unknown","","",""
kew-220087,A,Commelinaceae,,Aneilema,,"lanceolatum",subsp.,"subnudum","(A.Chev.) J.K.Morton",Accepted,,L,WCSP,220087,,"J. Linn. Soc., Bot.","59: 455","","1966"
kew-220093,A,Commelinaceae,,Aneilema,,"leiocaule",,"","K.Schum.",Accepted,,H,WCSP,220093,171632-1,"Pflanzenw. Ost-Afrikas","C: 136","","1895"
