ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2625968,A,Connaraceae,,Agelaea,,"annobonensis",,"","Schellenb.",Accepted,,M,WCSP (in review),749816,264044-1,"Bot. Jahrb. Syst.","58: 207","","1923"
kew-2625970,A,Connaraceae,,Agelaea,,"baronii",,"","Schellenb.",Accepted,,M,WCSP (in review),749818,264046-1,"Pflanzenr.","IV, 127: 79","","1938"
kew-2625971,A,Connaraceae,,Agelaea,,"borneensis",,"","(Hook.f.) Merr.",Accepted,,M,WCSP (in review),749819,264047-1,"Philipp. J. Sci., C","4: 127","","1909"
kew-2625974,A,Connaraceae,,Agelaea,,"claessensii",,"","De Wild.",Accepted,,M,WCSP (in review),749822,264050-1,"Bull. Jard. Bot. État","3: 256","","1911"
kew-2625975,A,Connaraceae,,Agelaea,,"coccinea",,"","Exell",Accepted,,M,WCSP (in review),749823,264051-1,"Cat. Vasc. Pl. S. Tomé","147","","1944"
kew-2625976,A,Connaraceae,,Agelaea,,"conraui",,"","Schellenb.",Accepted,,M,WCSP (in review),749824,264052-1,"Bot. Jahrb. Syst.","58: 207","","1923"
kew-2625990,A,Connaraceae,,Agelaea,,"gabonensis",,"","Jongkind",Accepted,,M,WCSP (in review),749838,959283-1,"Bull. Jard. Bot. Natl. Belg.","61: 72","","1991"
kew-2626000,A,Connaraceae,,Agelaea,,"insignis",,"","(Schellenb.) Leenh.",Accepted,,M,WCSP (in review),749848,264074-1,"in Fl. Males.","5: 505","","1958"
kew-2626012,A,Connaraceae,,Agelaea,,"macrophylla",,"","(Zoll.) Leenh.",Accepted,,M,WCSP (in review),749860,264086-1,"in Fl. Males.","5: 502","","1958"
kew-2626024,A,Connaraceae,,Agelaea,,"palmata",,"","Jongkind",Accepted,,M,WCSP (in review),749872,1006699-1,"Bull. Jard. Bot. Natl. Belg.","66: 149","","1997"
kew-2626025,A,Connaraceae,,Agelaea,,"paradoxa",,"","Gilg",Accepted,,M,WCSP (in review),749873,264098-1,"Nat. Pflanzenfam.","3(3): 65","","1888"
kew-2626026,A,Connaraceae,,Agelaea,,"paradoxa",var.,"microcarpa","Jongkind",Accepted,,L,WCSP (in review),749874,951254-1,"Agric. Univ. Wageningen Pap.","89(6): 142","","1989"
kew-2626027,A,Connaraceae,,Agelaea,,"pentagyna",,"","(Lam.) Baill.",Accepted,,L,WCSP (in review),749875,264099-1,"Bull. Mens. Soc. Linn. Paris","1: 345","","1882"
kew-2626033,A,Connaraceae,,Agelaea,,"poggeana",,"","Gilg",Accepted,,M,WCSP (in review),749881,264107-1,"Notizbl. Königl. Bot. Gart. Berlin","1: 65","","1895"
kew-2626041,A,Connaraceae,,Agelaea,,"rubiginosa",,"","Gilg",Accepted,,M,WCSP (in review),749889,264116-1,"Bot. Jahrb. Syst.","14: 319","","1891"
kew-2626051,A,Connaraceae,,Agelaea,,"trinervis",,"","(Llanos) Merr.",Accepted,,M,WCSP (in review),749899,264126-1,"Sp. Blancoan.","164","","1918"
kew-2687712,A,Connaraceae,,Burttia,,"prunoides",,"","Baker f. & Exell",Accepted,,M,WCSP (in review),811036,264146-1,"J. Bot.","69: 249","","1931"
kew-2728830,A,Connaraceae,,Cnestidium,,"bakerianum",,"","(Britton) Schellenb.",Accepted,,M,WCSP (in review),850862,61746-2,"Candollea","2: 102","","1925"
kew-2728831,A,Connaraceae,,Cnestidium,,"froesii",,"","Pires",Accepted,,M,WCSP (in review),850863,61747-2,"Bol. Técn. Inst. Agron. N.","28: 47","","1954"
kew-2728832,A,Connaraceae,,Cnestidium,,"guianense",,"","(Schellenb.) Schellenb.",Accepted,,M,WCSP (in review),850864,61748-2,"Pflanzenr.","IV, 127: 194","","1938"
kew-2728834,A,Connaraceae,,Cnestidium,,"rufescens",,"","Planch.",Accepted,,M,WCSP (in review),850866,264202-1,"Linnaea","23: 440","","1850"
kew-2728843,A,Connaraceae,,Cnestis,,"bomiensis",,"","Lemmens",Accepted,,M,WCSP (in review),850875,938311-1,"Agric. Univ. Wageningen Pap.","89(6): 179","","1989"
kew-2728852,A,Connaraceae,,Cnestis,,"corniculata",,"","Lam.",Accepted,,M,WCSP (in review),850884,264219-1,"Encycl.","3: 23","","1789"
kew-2728858,A,Connaraceae,,Cnestis,,"ferruginea",,"","Vahl ex DC.",Accepted,,M,WCSP (in review),850890,264225-1,"Prodr.","2: 87","","1825"
kew-2728882,A,Connaraceae,,Cnestis,,"macrantha",,"","Baill.",Accepted,,M,WCSP (in review),850914,264251-1,"Adansonia","7: 242","","1867"
kew-2728883,A,Connaraceae,,Cnestis,,"macrophylla",,"","Gilg ex Schellenb.",Accepted,,M,WCSP (in review),850915,264252-1,"Mitt. Bot. Mus. Univ. Zürich","50: 18","","1910"
kew-2728885,A,Connaraceae,,Cnestis,,"mannii",,"","Schellenb.",Accepted,,M,WCSP (in review),850917,264255-1,"Bot. Jahrb. Syst.","55: 436","","1919"
kew-2728886,A,Connaraceae,,Cnestis,,"mildbraedii",,"","Gilg",Accepted,,M,WCSP (in review),850918,264256-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 229","","1911"
kew-2728893,A,Connaraceae,,Cnestis,,"palala",,"","(Lour.) Merr.",Accepted,,M,WCSP (in review),850925,264264-1,"J. Straits Branch Roy. Asiat. Soc.","85: 201","","1922"
kew-2728900,A,Connaraceae,,Cnestis,,"polyphylla",,"","Lam.",Accepted,,M,WCSP (in review),850932,264269-1,"Encycl.","3: 23","","1789"
kew-2728903,A,Connaraceae,,Cnestis,,"racemosa",,"","G.Don",Accepted,,M,WCSP (in review),850935,264275-1,"Gen. Hist.","2: 91","","1832"
kew-2728915,A,Connaraceae,,Cnestis,,"uncata",,"","Lemmens",Accepted,,M,WCSP (in review),850947,938312-1,"Agric. Univ. Wageningen Pap.","89(6): 228","","1989"
kew-2728916,A,Connaraceae,,Cnestis,,"urens",,"","Gilg",Accepted,,M,WCSP (in review),850948,264287-1,"Nat. Pflanzenfam.","3(3): 67","","1891"
kew-2728920,A,Connaraceae,,Cnestis,,"yangambiensis",,"","Louis ex Troupin",Accepted,,M,WCSP (in review),850952,264291-1,"Bull. Jard. Bot. État","21: 369","","1951"
kew-2734208,A,Connaraceae,,Connarus,,"africanus",,"","Lam.",Accepted,,M,WCSP (in review),856229,264294-1,"Encycl.","2: 95","","1786"
kew-2734211,A,Connaraceae,,Connarus,,"agamae",,"","Merr.",Accepted,,M,WCSP (in review),856232,264297-1,"Philipp. J. Sci., C","13: 68","","1918"
kew-2734214,A,Connaraceae,,Connarus,,"andamanicus",,"","M.S.Mondal",Accepted,,M,WCSP (in review),856235,960393-1,"J. Econ. Taxon. Bot.","15: 459","","1991"
kew-2734216,A,Connaraceae,,Connarus,,"annamensis",,"","Gagnep.",Accepted,,M,WCSP (in review),856237,264301-1,"Bull. Soc. Bot. France","99: 31","","1952"
kew-2734221,A,Connaraceae,,Connarus,,"bariensis",,"","Pierre",Accepted,,M,WCSP (in review),856242,264306-1,"Fl. Forest. Cochinch.","t. 377","","1898"
kew-2734222,A,Connaraceae,,Connarus,,"beyrichii",,"","Planch.",Accepted,,M,WCSP (in review),856243,264307-1,"Linnaea","23: 430","","1850"
kew-2734223,A,Connaraceae,,Connarus,,"blanchetii",,"","Planch.",Accepted,,M,WCSP (in review),856244,264308-1,"Linnaea","23: 431","","1850"
kew-2734224,A,Connaraceae,,Connarus,,"blanchetii",var.,"laurifolius","(Baker) Forero",Accepted,,L,WCSP (in review),856245,64160-2,"Fl. Neotrop. Monogr.","36: 79","","1983"
kew-2734226,A,Connaraceae,,Connarus,,"brachybotryosus",,"","Donn.Sm.",Accepted,,M,WCSP (in review),856247,64161-2,"Bot. Gaz.","57: 417","","1914"
kew-2734228,A,Connaraceae,,Connarus,,"bracteosovillosus",,"","Forero",Accepted,,M,WCSP (in review),856249,64162-2,"Ann. Missouri Bot. Gard.","68: 218","","1981"
kew-2734232,A,Connaraceae,,Connarus,,"celatus",,"","Forero",Accepted,,M,WCSP (in review),856253,64163-2,"Brittonia","32: 33","","1980"
kew-2734234,A,Connaraceae,,Connarus,,"championii",,"","Thwaites",Accepted,,M,WCSP (in review),856255,264317-1,"Enum. Pl. Zeyl.","80","","1858"
kew-2734235,A,Connaraceae,,Connarus,,"cochinchinensis",,"","(Baill.) Pierre",Accepted,,L,WCSP (in review),856256,264318-1,"Fl. Forest. Cochinch.","t. 378","","1898"
kew-2734236,A,Connaraceae,,Connarus,,"conchocarpus",,"","F.Muell.",Accepted,,M,WCSP (in review),856257,264319-1,"Fragm.","5: 105","","1866"
kew-2734237,A,Connaraceae,,Connarus,,"conchocarpus",subsp.,"schumannianus","(Gilg) Leenh.",Accepted,,L,WCSP (in review),856258,878562-1,"in Fl. Males.","6: 936","","1972"
kew-2734239,A,Connaraceae,,Connarus,,"congolanus",,"","Schellenb.",Accepted,,M,WCSP (in review),856260,264321-1,"Pflanzenr.","IV, 127: 289","","1938"
kew-2734240,A,Connaraceae,,Connarus,,"cordatus",,"","L.A.Vidal, Carbonó & Forero",Accepted,,M,WCSP (in review),856261,274855-2,"Revista Brasil. Bot.","7: 65","","1984"
kew-2734241,A,Connaraceae,,Connarus,,"coriaceus",,"","Schellenb.",Accepted,,M,WCSP (in review),856262,64164-2,"Candollea","2: 108","","1925"
kew-2734242,A,Connaraceae,,Connarus,,"costaricensis",,"","Schellenb.",Accepted,,M,WCSP (in review),856263,64165-2,"Pflanzenr.","IV, 127: 224","","1938"
kew-2734244,A,Connaraceae,,Connarus,,"culionensis",,"","Merr.",Accepted,,M,WCSP (in review),856265,264326-1,"Philipp. J. Sci., C","4: 120","","1909"
kew-2734245,A,Connaraceae,,Connarus,,"culionensis",var.,"stellatus","(Merr.) Leenh.",Accepted,,L,WCSP (in review),856266,,"in Fl. Males.","5: 533","","1958"
kew-2734246,A,Connaraceae,,Connarus,,"cuneifolius",,"","Baker",Accepted,,M,WCSP (in review),856267,264327-1,"Fl. Bras.","14(2): 194","","1871"
kew-2734251,A,Connaraceae,,Connarus,,"detersoides",,"","Schellenb.",Accepted,,M,WCSP (in review),856272,64167-2,"Candollea","2: 118","","1925"
kew-2734252,A,Connaraceae,,Connarus,,"detersus",,"","Planch.",Accepted,,M,WCSP (in review),856273,264332-1,"Linnaea","23: 435","","1850"
kew-2734257,A,Connaraceae,,Connarus,,"ecuadorensis",,"","Schellenb.",Accepted,,M,WCSP (in review),856278,64168-2,"Pflanzenr.","IV, 127: 238","","1938"
tro-50300878,A,Connaraceae,,Connarus,,"ellipticus",,"","(Zoll.) G. Schellenb.",Accepted,,M,TRO,50300878,,"Pflanzenr.","IV. 127(Heft 103): 274","274","1938"
kew-2734260,A,Connaraceae,,Connarus,,"elsae",,"","Forero",Accepted,,M,WCSP (in review),856281,64169-2,"Ann. Missouri Bot. Gard.","68: 220","","1981"
kew-2734262,A,Connaraceae,,Connarus,,"erianthus",,"","Benth. ex Baker",Accepted,,M,WCSP (in review),856283,264341-1,"Fl. Bras.","14(2): 191","","1871"
kew-2734266,A,Connaraceae,,Connarus,,"euphlebius",,"","Merr.",Accepted,,M,WCSP (in review),856287,264343-1,"J. Straits Branch Roy. Asiat. Soc.","85: 200","","1922"
kew-2734270,A,Connaraceae,,Connarus,,"fasciculatus",,"","(DC.) Planch.",Accepted,,M,WCSP (in review),856291,264345-1,"Linnaea","23: 432","","1850"
kew-2734271,A,Connaraceae,,Connarus,,"fasciculatus",subsp.,"pachyneurus","(Radlk.) Forero",Accepted,,L,WCSP (in review),856292,64172-2,"Fl. Neotrop. Monogr.","36: 54","","1983"
kew-2734272,A,Connaraceae,,Connarus,,"favosus",,"","Planch.",Accepted,,M,WCSP (in review),856293,264346-1,"Linnaea","23: 434","","1850"
kew-2734275,A,Connaraceae,,Connarus,,"ferrugineus",,"","Jack",Accepted,,M,WCSP (in review),856296,264349-1,"Malayan Misc.","2(7): 37","","1822"
kew-2734287,A,Connaraceae,,Connarus,,"gabonensis",,"","Lemmens",Accepted,,M,WCSP (in review),856308,938313-1,"Agric. Univ. Wageningen Pap.","89(6): 250","","1989"
kew-2734294,A,Connaraceae,,Connarus,,"grandifolius",,"","Planch.",Accepted,,M,WCSP (in review),856315,316365-2,"Linnaea","23: 432","","1850"
kew-2734295,A,Connaraceae,,Connarus,,"grandis",,"","Jack",Accepted,,M,WCSP (in review),856316,264368-1,"Malayan Misc.","2(7): 40","","1822"
kew-2734297,A,Connaraceae,,Connarus,,"griffonianus",,"","Baill.",Accepted,,L,WCSP (in review),856318,264370-1,"Adansonia","7: 235","","1866"
kew-2734298,A,Connaraceae,,Connarus,,"guggenheimii",,"","Forero",Accepted,,M,WCSP (in review),856319,64175-2,"Caldasia","13: 3","","1980"
kew-2734307,A,Connaraceae,,Connarus,,"impressinervis",,"","B.C.Stone",Accepted,,M,WCSP (in review),856328,264380-1,"Malaysian Forester","43: 255","","1980"
kew-2734308,A,Connaraceae,,Connarus,,"incomptus",,"","Planch.",Accepted,,M,WCSP (in review),856329,264381-1,"Linnaea","23: 433","","1850"
kew-2734312,A,Connaraceae,,Connarus,,"jaramilloi",,"","Forero",Accepted,,M,WCSP (in review),856333,64178-2,"Caldasia","13: 5","","1980"
kew-2734316,A,Connaraceae,,Connarus,,"kingii",,"","Schellenb.",Accepted,,M,WCSP (in review),856337,264389-1,"Candollea","2: 96","","1925"
kew-2734319,A,Connaraceae,,Connarus,,"lambertii",,"","(DC.) Britton",Accepted,,M,WCSP (in review),856340,64181-2,"N. Amer. Fl.","22: 234","","1908"
kew-2734320,A,Connaraceae,,Connarus,,"lamii",,"","Leenh.",Accepted,,M,WCSP (in review),856341,264393-1,"Blumea, Suppl.","4: 106","","1958"
kew-2734322,A,Connaraceae,,Connarus,,"latifolius",,"","Wall. ex Planch.",Accepted,,M,WCSP (in review),856343,,"Linnaea","23: 427","","1850"
kew-2734324,A,Connaraceae,,Connarus,,"lentiginosus",,"","Brandegee",Accepted,,M,WCSP (in review),856345,64183-2,"Univ. Calif. Publ. Bot.","6: 186","","1915"
kew-2734327,A,Connaraceae,,Connarus,,"longipetalus",,"","Gagnep.",Accepted,,M,WCSP (in review),856348,264399-1,"Bull. Soc. Bot. France","99: 29","","1952"
kew-2734328,A,Connaraceae,,Connarus,,"longistipitatus",,"","Gilg",Accepted,,M,WCSP (in review),856349,264400-1,"Pflanzenw. Ost-Afrikas","C: 191","","1895"
kew-2734329,A,Connaraceae,,Connarus,,"lucens",,"","Schellenb.",Accepted,,M,WCSP (in review),856350,264401-1,"Bot. Jahrb. Syst.","59(131): 36","","1924"
kew-2734339,A,Connaraceae,,Connarus,,"marginatus",,"","Planch.",Accepted,,M,WCSP (in review),856360,264412-1,"Linnaea","23: 429","","1850"
kew-2734340,A,Connaraceae,,Connarus,,"marlenei",,"","Forero",Accepted,,M,WCSP (in review),856361,64186-2,"Brittonia","32: 35","","1980"
kew-2734341,A,Connaraceae,,Connarus,,"martii",,"","Schellenb.",Accepted,,M,WCSP (in review),856362,64187-2,"Candollea","2: 116","","1925"
kew-2734342,A,Connaraceae,,Connarus,,"megacarpus",,"","S.F.Blake",Accepted,,M,WCSP (in review),856363,64188-2,"Bull. Torrey Bot. Club","50: 273","","1923"
