ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-8502647,A,Convolvulaceae,,Aniseia,,"argentina",,"","(N.E. Br.) O'Donell",Accepted,,M,TRO,8502647,13953-2,"Lilloa","23: 473","473","1950"
tro-50152517,A,Convolvulaceae,,Aniseia,,"cernua",,"","Choisy",Accepted,,M,TRO,50152517,30209834-2,"Mém. Soc. Phys. Genève","8: 66","66","1837"
tro-50162594,A,Convolvulaceae,,Aniseia,,"harmandii",,"","(Gagnep.) P.H. Hô",Accepted,,M,TRO,50162594,976729-1,"Cayco Vietnam","2(2): 978","978","1993"
tro-50149128,A,Convolvulaceae,,Aniseia,,"heterophylla",,"","(Ortega) Meisn.",Accepted,,M,TRO,50149128,1172996-2,"Fl. Bras.","7: 321","321","1869"
tro-8500612,A,Convolvulaceae,,Aniseia,,"martinicensis",,"","(Jacq.) Choisy",Accepted,,M,TRO,8500612,265098-1,"Convolv. Diss. Sec.","144","144","1837"
tro-8503120,A,Convolvulaceae,,Aniseia,,"martinicensis",var.,"ambigua","Hallier f.",Accepted,,L,TRO,8503120,,"Bot. Jahrb. Syst.","18: 96","96","1893"
tro-8503020,A,Convolvulaceae,,Argyreia,,"acuta",,"","Lour.",Accepted,,M,TRO,8503020,265118-1,"Fl. Cochinch.","1: 135","135","1790"
tro-8502977,A,Convolvulaceae,,Argyreia,,"baoshanensis",,"","S.H. Huang",Accepted,,M,TRO,8502977,929524-1,"Acta Phytotax. Sin.","24(1): 19-20, pl. 2","19","1986"
tro-8502708,A,Convolvulaceae,,Argyreia,,"baronii",,"","Deroin",Accepted,,M,TRO,8502708,973220-1,"Candollea","48: 451-453, f. 2, 4(map), 5-6","451","1993"
tro-8502992,A,Convolvulaceae,,Argyreia,,"capitiformis",,"","(Poir.) Ooststr.",Accepted,,M,TRO,8502992,265154-1,"Fl. Malesiana, Ser. 1, Spermatoph.","6(6): 941","941","1972"
tro-8502980,A,Convolvulaceae,,Argyreia,,"cheliensis",,"","C.Y. Wu",Accepted,,M,TRO,8502980,895856-1,"Fl. Rep. Trop. Subtrop. Yunnan","1: 126, pl. 36, f. 4","126","1965"
tro-8502985,A,Convolvulaceae,,Argyreia,,"eriocephala",,"","C.Y. Wu",Accepted,,M,TRO,8502985,895857-1,"Rep. Stud. Pl. Trop. Subtrop. Yunnan","1: 125, pl. 19","125","1965"
tro-8503024,A,Convolvulaceae,,Argyreia,,"formosana",,"","Ishigami ex T. Yamazaki",Accepted,,M,TRO,8503024,265182-1,"J. Jap. Bot.","44(5): 160","160","1969"
tro-8503026,A,Convolvulaceae,,Argyreia,,"fulvocymosa",,"","C.Y. Wu",Accepted,,M,TRO,8503026,895858-1,"Rep. Stud. Pl. Trop. Subtrop. Yunnan","1: 135, pl. 38, f. 2","135","1965"
tro-8502975,A,Convolvulaceae,,Argyreia,,"fulvovillosa",,"","C.Y. Wu & S.H. Huang",Accepted,,M,TRO,8502975,265185-1,"Fl. Reipubl. Popularis Sin.","64(1): 164, pl. 28a, f. 6-9","164","1979"
tro-8503003,A,Convolvulaceae,,Argyreia,,"henryi",,"","(Craib) Craib",Accepted,,M,TRO,8503003,265191-1,"Bull. Misc. Inform. Kew","1914(1): 9","9","1914"
tro-8503006,A,Convolvulaceae,,Argyreia,,"henryi",var.,"henryi","",Accepted,,L,TRO,8503006,,"","","",""
